bsp2_bi_amp,bsp2_break_bi_amp,bsp2_retrace_rate,bsp3_bi_amp,bsp3_zs_height,bsp_bi_amp,divergence_rate,index,is_buy,is_segbsp,kdj_k,macd_dea,macd_diff,macd_value,ppo,rsi,timestamp,type,volume
2.339899733021303,7.393459355236773,0.31648239620928686,,,2.339899733021303,,313,False,False,,-0.9538684868476294,-0.8798070607679627,0.1481228521593334,-0.050973874867914465,44.14864008373685,2001/03/30,2,438700.0
2.114512258206082,2.57229735234932,0.8220325913234191,,,2.114512258206082,,392,True,False,,-0.04841612142302622,-0.17406869902943178,-0.25130515521281116,-0.01165757584415581,34.4416640432746,2001/07/24,2,812500.0
2.5222820941569806,12.412705542717198,0.20320163766688704,,,2.5222820941569806,,439,False,False,,-2.257959459344236,-2.214627913795516,0.08666309109744041,-0.20694798264729009,27.73382075502856,2001/10/04,2,1507900.0
1.6545114867697173,4.662720081187935,0.3548382613498412,,,1.6545114867697173,,710,True,False,,0.4788112949284182,0.42025473575359307,-0.11711311834965021,0.031062913474924958,53.60406663591046,2002/10/31,2,769800.0
1.287316670934981,4.373952218938976,0.29431429665851616,,,1.287316670934981,,755,False,False,,-0.44600271138063563,-0.4112582640283051,0.06948889470466102,-0.02965276775523934,44.72305085931044,2003/01/07,2,1840600.0
1.835459567784529,3.369043010983834,0.5448014649265445,,,1.835459567784529,,813,True,False,,0.20241382441750383,0.2456924337973021,0.08655721875959654,0.02187853681354855,49.90281216617275,2003/04/01,2,1494700.0
2.8900933090719114,3.482364143806411,0.8299227736456316,,,2.8900933090719114,,951,False,False,,0.1168613060779028,0.2423416490612489,0.2509606859666922,0.010335940697805787,60.79830378678749,2003/10/16,2,1786600.0
6.7072437853743345,15.58234628933246,0.43043862976951397,,,6.7072437853743345,,1054,True,False,,0.7355932611819062,0.12780131629310176,-1.2155838897776088,0.0038711571101216983,31.015211212836917,2004/03/16,2,3618100.0
2.1431027401543616,2.5120759968670043,0.8531201853873782,,,2.1431027401543616,,1267,False,False,,0.5987617504524748,0.5383803267605032,-0.12076284738394327,0.012939028208426979,64.26043300120674,2005/01/19,2,3487300.0
1.3303653866148224,2.25928616323408,0.5888432409599925,,,1.3303653866148224,,1345,True,False,,-0.49884246075575955,-0.356415254520968,0.2848544124695831,-0.010542696348947481,45.198079217001904,2005/05/11,2,848600.0
2.596867622231393,6.244315660848017,0.41587705735534874,,,2.596867622231393,,1440,False,False,,-0.4671609055885731,-0.27102437660055045,0.3922730579760453,-0.00791865586681288,58.03452912664659,2005/09/26,2,2692500.0
1.4065951073787062,7.495361365670082,0.18766208041964863,1.4065951073787062,0.10389872492388423,1.4065951073787062,,1715,True,False,,0.7610234974825957,0.6458667118012364,-0.23031357136271846,0.020242432761325216,58.32586092422644,2006/10/27,"2,3b",1742200.0
1.4118811044114778,5.034443452168553,0.2804443267315515,,,1.4118811044114778,,1795,False,False,,-0.4805770555403811,-0.5350380442983607,-0.10892197751595911,-0.015755824426364293,44.789134241852516,2007/02/26,2,2086700.0
2.6640114024444443,3.9595548397453726,0.6728057850603628,,,2.6640114024444443,,1835,True,False,,-0.0387913991909811,-0.15584242946412274,-0.2341020605462833,-0.0046143573769410065,42.871930561950215,2007/04/24,2,1264100.0
1.9502126265471418,3.226298648476522,0.6044736830138289,,,1.9502126265471418,,1881,False,False,,0.0023978494504335295,0.022871481232463964,0.040947263564060865,0.0006631057210466046,56.118870550744354,2007/06/28,2,800600.0
4.576371041217307,7.530138877398308,0.6077405896129316,,,4.576371041217307,,1976,True,False,,0.20337139973350266,-0.2538681544652803,-0.914479108397566,-0.007724277745273821,35.108644626185054,2007/11/12,2,1984700.0
8.169320761177474,9.658088575610066,0.8458527479037381,,,8.169320761177474,,2031,False,False,,-0.5589456812563032,0.11683699771655398,1.3515653579457143,0.0037441719382587226,61.76901804407132,2008/02/01,2,2730700.0
1.6124394861292792,3.3994236324989124,0.4743273155820173,,,1.6124394861292792,,2322,True,False,,0.2147421772107913,0.3265391527049166,0.22359395098825063,0.05035787771854724,49.7967705308657,2009/03/30,2,2599500.0
2.4934679312365216,3.8482492521487277,0.6479486560919245,,,2.4934679312365216,,2365,False,False,,0.7196838728930419,0.5751747757038785,-0.28901819437832676,0.04807569486377597,58.443801564674054,2009/06/01,2,3551200.0
2.1111269479960413,7.1146912244386815,0.29672783841193334,,,2.1111269479960413,,2431,True,False,,0.8752206805443151,0.7546637177992324,-0.24111392549016553,0.05149742735034248,52.2711837980983,2009/09/02,2,4292000.0
2.0030853161363105,2.2607440295382055,0.8860292408006376,,,2.0030853161363105,,2456,False,False,,1.04739225594057,0.8978008136851088,-0.29918288451092234,0.047922138102572745,64.54862150490158,2009/10/08,2,3323100.0
2.892421849846137,7.206110984113884,0.4013845826441723,,,2.892421849846137,,2538,True,False,,0.17308955066028991,0.08081044552246297,-0.1845582102756539,0.003737497762880075,44.35090452393662,2010/02/05,2,4689000.0
3.972921135045219,9.982164365170565,0.3980019752937953,,,3.972921135045219,,2627,False,False,,-0.9043021029495346,-0.6224617283290321,0.563680749241005,-0.025298798722836326,54.34541783822178,2010/06/15,2,4021800.0
5.49393748338866,6.765604412128461,0.8120394200908158,,,5.49393748338866,,2677,True,False,,-0.17844770156817064,-0.5368845259602608,-0.7168736487841804,-0.024374060015621226,38.00550690339864,2010/08/25,2,2848100.0
3.1251354040791526,4.5547092465073575,0.6861327990311499,,,3.1251354040791526,,2795,False,False,,0.08531636830490089,0.07484314217957433,-0.020946452250653114,0.0019314742873694016,57.125421048737465,2011/02/11,2,2607600.0
