date,p_day,buy_level,sell_level,gate,reward,cum_equity
2018-10-01,0.2237968751383164,0.1,0.25,FREE,0.0,1.0
2018-10-02,0.2048845205890116,0.15,0.3,FREE,0.0,1.0
2018-10-03,0.2816206210568594,0.2,0.3,FREE,0.0,1.0
2018-10-04,0.2127612155077751,0.2,0.35,FREE,0.0,1.0
2018-10-05,0.2400771673577247,0.25,0.4,FORCE_BUY,0.0,1.0
2018-10-08,0.1647708703748161,0.25,0.5,FORCE_BUY,0.0,1.0
2018-10-09,0.1811165968653827,0.15,0.3,FREE,0.0,1.0
2018-10-10,0.2198363689060951,0.2,0.35,FREE,0.0,1.0
2018-10-11,0.2099351196714043,0.1,0.25,FREE,0.0,1.0
2018-10-12,0.1515378340681979,0.25,0.4,FORCE_BUY,0.0,1.0
2018-10-15,0.1625129224191464,0.2,0.3,FORCE_BUY,0.0,1.0
2018-10-16,0.1582509231709466,0.25,0.4,FORCE_BUY,0.0,1.0
2018-10-17,0.1565888963070498,0.25,0.5,FORCE_BUY,0.0,1.0
2018-10-18,0.1458630999690065,0.2,0.3,FORCE_BUY,0.0,1.0
2018-10-19,0.1450525294586735,0.15,0.3,FORCE_BUY,0.0,1.0
2018-10-22,0.1513693777370904,0.1,0.25,FREE,0.0,1.0
2018-10-23,0.1516703157754141,0.2,0.35,FORCE_BUY,0.0,1.0
2018-10-24,0.1456914993268597,0.2,0.3,FORCE_BUY,0.0,1.0
2018-10-25,0.1475234507599485,0.25,0.4,FORCE_BUY,0.0,1.0
2018-10-26,0.1447071839810118,0.25,0.5,FORCE_BUY,0.0,1.0
2018-10-29,0.1470619792466761,0.15,0.3,FORCE_BUY,0.0,1.0
2018-10-30,0.1545057131521533,0.1,0.25,FREE,0.0,1.0
2018-10-31,0.1498548177971125,0.2,0.35,FORCE_BUY,0.0,1.0
2018-11-01,0.1609611031729499,0.2,0.3,FORCE_BUY,0.0,1.0
2018-11-02,0.1562377097475954,0.25,0.4,FORCE_BUY,0.0,1.0
2018-11-05,0.1646482100593828,0.25,0.5,FORCE_BUY,0.0,1.0
2018-11-06,0.1672032885083718,0.15,0.3,FREE,0.0,1.0
2018-11-07,0.1678975204614149,0.1,0.25,FREE,0.0,1.0
2018-11-08,0.1578378017267048,0.2,0.35,FORCE_BUY,0.0,1.0
2018-11-09,0.1646505447582474,0.25,0.4,FORCE_BUY,0.0,1.0
2018-11-12,0.1606141175073479,0.2,0.3,FORCE_BUY,0.0,1.0
2018-11-13,0.1613168717175679,0.25,0.5,FORCE_BUY,0.0,1.0
2018-11-14,0.1562697076324364,0.15,0.3,FREE,0.0,1.0
2018-11-15,0.1622438602317048,0.2,0.35,FORCE_BUY,0.0,1.0
2018-11-16,0.159491146599999,0.1,0.25,FREE,0.0,1.0
2018-11-19,0.1559149573489267,0.2,0.3,FORCE_BUY,0.0,1.0
2018-11-20,0.2327816676433004,0.25,0.5,FORCE_BUY,0.0,1.0
2018-11-21,0.2271092057347789,0.25,0.4,FORCE_BUY,0.0,1.0
2018-11-23,0.2321323115065225,0.15,0.3,FREE,0.0,1.0
2018-11-26,0.2114928181567892,0.2,0.35,FREE,0.0,1.0
2018-11-27,0.2129465763692822,0.1,0.25,FREE,0.0,1.0
2018-11-28,0.2192114715529057,0.2,0.3,FREE,0.0,1.0
2018-11-29,0.2351267966279731,0.25,0.4,FORCE_BUY,0.0,1.0
2018-11-30,0.2109313223600551,0.25,0.5,FORCE_BUY,0.0,1.0
2018-12-03,0.2146849747659579,0.15,0.3,FREE,0.0,1.0
2018-12-04,0.2410929359039995,0.2,0.35,FREE,0.0,1.0
2018-12-06,0.2111275167774016,0.1,0.25,FREE,0.0,1.0
2018-12-07,0.2472893405159235,0.2,0.3,FREE,0.0,1.0
2018-12-10,0.1739582318052751,0.25,0.5,FORCE_BUY,0.0,1.0
2018-12-11,0.1675423094223428,0.25,0.4,FORCE_BUY,0.0,1.0
2018-12-12,0.1862558511146698,0.15,0.3,FREE,0.0,1.0
2018-12-13,0.1948093486652622,0.1,0.25,FREE,0.0,1.0
2018-12-14,0.201668396549824,0.2,0.35,FREE,0.0,1.0
2018-12-17,0.217023655241356,0.25,0.5,FORCE_BUY,0.0,1.0
2018-12-18,0.1837833575163393,0.2,0.3,FORCE_BUY,0.0,1.0
2018-12-19,0.200756883586188,0.25,0.4,FORCE_BUY,0.0,1.0
2018-12-20,0.1975678297492872,0.15,0.3,FREE,0.0,1.0
2018-12-21,0.2405650141283014,0.1,0.25,FREE,0.0,1.0
2018-12-24,0.2389467092072729,0.2,0.35,FREE,0.0,1.0
2018-12-26,0.2100604743870935,0.2,0.3,FREE,0.0,1.0
2018-12-27,0.2375273274623285,0.25,0.5,FORCE_BUY,0.0,1.0
2018-12-28,0.2819154434826528,0.25,0.4,FREE,0.0,1.0
2018-12-31,0.1860335034346013,0.15,0.3,FREE,0.0,1.0
2019-01-02,0.156901796370536,0.2,0.35,FORCE_BUY,0.0,1.0
2019-01-03,0.2790136960676299,0.1,0.25,FORCE_SELL,0.0,1.0
2019-01-04,0.1520051704067535,0.25,0.5,FORCE_BUY,0.0,1.0
2019-01-07,0.1896593355533625,0.2,0.3,FORCE_BUY,0.0,1.0
2019-01-08,0.1634629969623804,0.1,0.25,FREE,0.0,1.0
2019-01-09,0.3298340103517337,0.15,0.3,FORCE_SELL,0.0,1.0
2019-01-10,0.2107210250077208,0.25,0.5,FORCE_BUY,0.0,1.0
2019-01-11,0.1541204281031752,0.2,0.35,FORCE_BUY,0.0,1.0
2019-01-14,0.1847593356588031,0.25,0.5,FORCE_BUY,0.0,1.0
2019-01-15,0.215681673975505,0.25,0.4,FORCE_BUY,0.0,1.0
2019-01-16,0.3269671710597329,0.2,0.3,FORCE_SELL,0.0,1.0
2019-01-17,0.2377425125621262,0.2,0.35,FREE,0.0,1.0
2019-01-18,0.2512734215557368,0.1,0.25,FORCE_SELL,0.0,1.0
2019-01-22,0.3551416015345809,0.15,0.3,FORCE_SELL,0.0,1.0
2019-01-23,0.3003956939328469,0.25,0.5,FREE,0.0,1.0
2019-01-24,0.2315048509395867,0.25,0.4,FORCE_BUY,0.0,1.0
2019-01-25,0.2489264058443344,0.2,0.35,FREE,0.0,1.0
2019-01-28,0.2650667503554421,0.25,0.5,FREE,0.0,1.0
2019-01-29,0.2754104112863901,0.25,0.4,FREE,0.0,1.0
2019-01-30,0.3028996407990497,0.1,0.25,FORCE_SELL,0.0,1.0
2019-01-31,0.3161738625995539,0.2,0.3,FORCE_SELL,0.0,1.0
2019-02-01,0.2614796576620213,0.2,0.35,FREE,0.0,1.0
2019-02-04,0.220084127346568,0.25,0.4,FORCE_BUY,0.0,1.0
2019-02-05,0.2995336939873383,0.15,0.3,FREE,0.0,1.0
2019-02-06,0.3092716180003349,0.2,0.35,FREE,0.0,1.0
2019-02-07,0.3388013458101918,0.25,0.5,FREE,0.0,1.0
2019-02-08,0.1832169336247736,0.2,0.3,FORCE_BUY,0.0,1.0
