date,equity,cash,pos,buy_th,sell_th,p_day,QQQ,Return %,QQQ %
1/2/2024,99076.764,0,1,2.25,1.6,0.204251424,402.59,0.00%,0.00%
1/3/2024,98180.60958,0,1,1.95,-0.5,0.206792234,398.33,-0.90%,-1.06%
1/4/2024,98252.0065,98252.0065,0,2.45,-0.5,0.374514881,396.28,-0.83%,-1.57%
1/5/2024,98252.0065,98252.0065,0,2.3,1.25,0.326412915,396.75,-0.83%,-1.45%
1/8/2024,98252.0065,98252.0065,0,2.3,1.25,0.31542193,404.95,-0.83%,0.59%
1/9/2024,98252.0065,98252.0065,0,1.05,2.1,0.286376363,405.75,-0.83%,0.78%
1/10/2024,98778.85283,98778.85283,0,0.7,2.3,0.284815122,408.5,-0.30%,1.47%
1/11/2024,98778.85283,98778.85283,0,0.4,1.3,0.323566264,409.35,-0.30%,1.68%
1/12/2024,98778.85283,98778.85283,0,0.7,1.15,0.306264829,409.56,-0.30%,1.73%
1/16/2024,99138.88281,0,1,1.45,1.6,0.243037092,409.52,0.06%,1.72%
1/17/2024,98589.51322,98589.51322,0,1.25,0.85,0.214456338,407.21,-0.49%,1.15%
1/18/2024,98589.51322,98589.51322,0,1.75,2.4,0.15381439,412.99,-0.49%,2.58%
1/19/2024,98589.51322,98589.51322,0,1.75,2.4,0.173904494,421.18,-0.49%,4.62%
1/22/2024,98767.36469,98767.36469,0,1.75,2.4,0.207022137,421.73,-0.31%,4.75%
1/23/2024,99568.96033,0,1,-0.5,2.5,0.192849377,423.48,0.50%,5.19%
1/24/2024,99918.27007,99918.27007,0,-0.5,2.5,0.267209893,425.83,0.85%,5.77%
1/25/2024,99117.6729,0,1,-0.5,2.1,0.271255217,426.35,0.04%,5.90%
1/26/2024,99382.01788,99382.01788,0,-0.5,2.5,0.234298026,423.81,0.31%,5.27%
1/29/2024,99382.01788,99382.01788,0,-0.5,2.5,0.208931381,428.15,0.31%,6.35%
1/30/2024,97999.90539,0,1,2.5,-0.5,0.225214566,425.3,-1.09%,5.64%
1/31/2024,98152.09088,98152.09088,0,2.5,2.25,0.285389044,416.97,-0.93%,3.57%
