bsp2s_bi_amp,bsp2s_bi_amp_rate,bsp2s_bi_klu_cnt,bsp2s_break_bi_amp,bsp2s_break_bi_amp_rate,bsp2s_break_bi_klu_cnt,bsp2s_lv,bsp2s_retrace_rate,bsp3_bi_amp,bsp3_bi_amp_rate,bsp3_bi_klu_cnt,bsp3_zs_height,bsp_bi_amp,divergence_rate,index,is_buy,is_segbsp,kdj_d,kdj_j,kdj_k,macd_dea,macd_diff,macd_value,next_bi_return,ppo,rsi,timestamp,type,volume
,,,,,,,,0.31499481201171875,0.004428126837031268,9,0.0029953186255440383,0.31499481201171875,,572,False,False,62.10875320335987,92.32861711168943,72.18204117280305,-0.14414965471749705,-0.11368055455997705,0.06093820031503999,0.0052484256965279795,-0.0015901257851012123,42.58140112765405,2025/05/21 15:40,3b,8829.0
,,,,,,,,0.214996337890625,0.0031292676247837107,10,0.0021576745270724448,0.214996337890625,,903,False,False,64.40579048109322,86.24773688133581,71.68643928117409,-0.12068330536897028,-0.08509958640529192,0.07116743792735672,0.00522345647005219,-0.0012346731500983373,45.60663568442572,2025/05/28 17:15,3b,13106.0
,,,,,,,,0.2949981689453125,0.0042555996861514496,8,0.006878810050595854,0.2949981689453125,,1937,False,False,63.77981595755641,112.91859509091785,80.15940900201022,-0.14128443108476105,-0.1010410820345129,0.0804866981004963,0.012569130601889819,-0.0014514916758091758,44.60905102061484,2025/06/16 18:55,3b,11006.0
0.3600006103515625,0.005234849904385721,9,0.5450057983398438,0.007837862510055856,19,3.0,0.2568768810807027,0.3600006103515625,0.005234849904385721,9,0.003392628699986766,0.3600006103515625,,2090,False,False,71.12533411448132,101.11841439613497,81.1230275416992,-0.04259709252624712,-0.01275811432952878,0.059677956393436676,0.006003195892023922,-0.0001849663902947406,58.96772799332493,2025/06/18 18:40,"2s,3b",15625.0
