feature,importance
ma_5,0.09454737
ma_20,0.05708195
norm_close,0.047240056
ma_10,0.036694545
feat_bsp2s_lv,0.032177594
feat_bsp2_break_bi_bi_klu_cnt,0.031927314
feat_level,0.029449683
klu_low,0.027472273
feat_bsp2s_break_bi_klu_cnt,0.026308307
norm_low,0.024428025
feat_bi_klu_cnt,0.02383592
norm_macd_dea,0.0227816
norm_dmi_plus,0.0204316
norm_open,0.020302063
norm_high,0.019872136
feat_bsp2_break_bi_amp,0.019818362
feat_bsp2_bi_amp,0.019555898
macd_dea,0.018690437
feat_macd_dea,0.017795296
feat_zs_cnt,0.016885407
feat_bsp2s_bi_amp_rate,0.015773123
feat_bsp2_break_bi_amp_rate,0.015310454
feat_break_bi_amp_rate,0.013223171
norm_kdj_d,0.012500178
feat_bsp_bi_amp,0.0120495595
feat_bsp2s_retrace_rate,0.011248097
dmi_plus,0.010813642
feat_bsp1_bi_amp_rate,0.01068759
feat_divergence_rate,0.0105906
feat_break_bi_amp,0.010456721
klu_close,0.010288632
feat_bsp2s_bi_klu_cnt,0.009228245
feat_bsp2s_break_bi_amp,0.008891601
dmi_minus,0.008796756
feat_bsp1_bi_amp,0.00875621
norm_dmi_adx,0.008701369
feat_macd_diff,0.008598732
dmi_adx,0.008552946
norm_dmi_minus,0.0084478455
norm_volume,0.008358298
norm_macd_dif,0.008282065
feat_bsp2s_break_bi_amp_rate,0.007929345
kdj_d,0.0077075865
feat_bsp2s_bi_amp,0.0072612213
feat_bsp2_bi_amp_rate,0.0070494744
feat_bsp3_bi_klu_cnt,0.0068943896
feat_bsp1_bi_klu_cnt,0.0062663313
feat_bsp3_zs_height,0.0061963624
feat_bi_amp_rate,0.0058482736
rsi,0.005524803
feat_break_bi_klu_cnt,0.005483779
feat_ppo,0.0053902306
feat_rsi,0.0053692874
klu_open,0.0053337854
rel_ma_20,0.0050631193
norm_kdj_k,0.005045331
klu_volume,0.004925106
feat_macd_value,0.004792518
price_pattern,0.004692879
lower_shadow,0.0045273276
macd_dif,0.0041231145
feat_kdj_d,0.003999758
rel_ma_10,0.0036121765
klu_high,0.0035770133
norm_macd,0.0035630497
body_size,0.003488335
high_low_spread_pct,0.0033979258
feat_volume,0.0033505368
upper_shadow,0.0027229264
kdj_k,0.002667833
kdj_j,0.0026337919
log_return,0.0025375437
feat_bsp2_retrace_rate,0.002340488
feat_bsp2_bi_klu_cnt,0.0023051735
rel_ma_5,0.0021742897
feat_kdj_k,0.0021369688
pct_change,0.0021256257
feat_kdj_j,0.0021242828
hl_range,0.0017257939
feat_bi_amp,0.0016812789
macd_value,0.0014399334
price_change_pct,0.0011933066
feat_bsp3_bi_amp,0.0011217719
norm_kdj_j,0.0009716274
price_pattern_encoded,0.00071964576
trend_strength,4.9066348e-05
norm_rsi,3.711224e-05
feat_bsp3_bi_amp_rate,1.7963011e-05
is_bullish_candle,8.93638e-06
is_segbsp,0.0
is_buy,0.0
