side,seen_idx,exec_px,qty,fee,reason,ts,p_day,pred,th,gate,pnl,entry_px,entry_idx
buy,5166,66.22,1510.1177891875566,0.0,FORCE_BUY->first acceptable 5m signal,2013-02-26 10:30:00,,2.4761922359466553,2.4499999999999993,FORCE_BUY,,,
sell,5291,66.9201,1510.1177891875566,0.0,5m SELL signal,2013-02-27 10:20:00,,2.156635284423828,1.9999999999999996,FREE,1057.2334642102176,66.22,5166.0
buy,6124,68.51,1475.072740683261,0.0,5m BUY signal,2013-03-07 10:00:00,,0.22697490453720093,0.19999999999999984,FREE,,,
sell,6137,68.659,1475.072740683261,0.0,5m SELL signal,2013-03-07 11:05:00,,3.114229202270508,-0.5,FREE,219.7858383618072,68.51,6124.0
buy,6166,68.569,1477.0088422256708,0.0,5m BUY signal,2013-03-07 13:30:00,,0.33126601576805115,0.19999999999999984,FREE,,,
sell,6181,68.62,1477.0088422256708,0.0,5m SELL signal,2013-03-07 14:45:00,,3.075571298599243,-0.5,FREE,75.32745095351207,68.569,6166.0
buy,6204,68.69,1475.5036650680672,0.0,5m BUY signal,2013-03-07 16:40:00,,0.2857848107814789,0.19999999999999984,FREE,,,
sell,6388,68.68,1475.5036650680672,0.0,FORCE_SELL->first acceptable 5m signal,2013-03-11 09:25:00,,3.127140760421753,-0.5,FORCE_SELL,-14.755036650667252,68.69,6204.0
buy,6532,68.68,1475.5036650680672,0.0,5m BUY signal,2013-03-12 10:40:00,,2.553178310394287,2.4499999999999993,FREE,,,
sell,6559,68.66,1475.5036650680672,0.0,5m SELL signal,2013-03-12 12:55:00,,1.541858434677124,1.3999999999999995,FREE,-29.51007330137644,68.68,6532.0
buy,6794,68.74,1473.7864655742435,0.0,FORCE_BUY->first acceptable 5m signal,2013-03-14 10:15:00,,2.523785352706909,2.4499999999999993,FORCE_BUY,,,
sell,6900,68.73,1473.7864655742435,0.0,FORCE_SELL->first acceptable 5m signal,2013-03-15 07:10:00,,1.1900278329849243,1.0999999999999996,FORCE_SELL,-14.73786465572903,68.74,6794.0
buy,7024,67.77,1494.6634761534272,0.0,5m BUY signal,2013-03-18 04:00:00,,2.509953498840332,2.499999999999999,FREE,,,
sell,7064,68.1301,1494.6634761534272,0.0,5m SELL signal,2013-03-18 10:00:00,,1.3717492818832397,1.2999999999999996,FREE,538.2283177628532,67.77,7024.0
buy,7144,68.43,1488.11299279089,0.0,5m BUY signal,2013-03-18 16:40:00,,2.5814409255981445,2.499999999999999,FREE,,,
