side,seen_idx,exec_px,qty,fee,reason,ts,p_day,pred,th,gate,pnl,entry_px,entry_idx
buy,101618,245.41,407.48135772788396,0.0,5m BUY signal,2019-01-02 04:00:00,0.2648966952159852,6.150645732879639,2.499999999999999,FREE,,,
sell,101676,245.82,407.48135772788396,0.0,5m SELL signal,2019-01-02 09:00:00,0.2648966952159852,5.124556064605713,-0.5,FREE,167.06735666843105,245.41,101618.0
buy,101713,248.9,402.43900103121103,0.0,5m BUY signal,2019-01-02 11:55:00,0.2648966952159852,5.662614345550537,2.499999999999999,FREE,,,
sell,101721,249.88,402.43900103121103,0.0,5m SELL signal,2019-01-02 12:35:00,0.2648966952159852,7.828154563903809,-0.5,FREE,394.3902210105827,248.9,101713.0
buy,101750,249.69,402.74523440137375,0.0,5m BUY signal,2019-01-02 15:00:00,0.2648966952159852,5.681546211242676,2.499999999999999,FREE,,,
sell,101800,246.98,402.74523440137375,0.0,5m SELL signal,2019-01-02 19:10:00,0.2648966952159852,6.599599361419678,-0.5,FREE,-1091.439585227726,249.69,101750.0
buy,101821,246.27,403.90635478317,0.0,5m BUY signal,2019-01-03 04:55:00,0.2567596782008153,2.235374689102173,-0.5,FREE,,,
sell,101828,246.13,403.90635478317,0.0,5m SELL signal,2019-01-03 05:30:00,0.2567596782008153,4.648638725280762,-0.5,FREE,-56.54688966964977,246.27,101821.0
buy,101837,246.2,403.79151544590434,0.0,5m BUY signal,2019-01-03 06:15:00,0.2567596782008153,2.126025915145874,-0.5,FREE,,,
sell,102003,246.66,403.79151544590434,0.0,5m SELL signal,2019-01-04 04:05:00,0.23223543430124102,4.358720779418945,-0.5,FREE,185.7440971051192,246.2,101837.0
buy,102199,252.11,395.06253302085105,0.0,5m BUY signal,2019-01-07 04:25:00,0.24592010482937268,1.9461486339569092,-0.5,FREE,,,
sell,102212,252.32,395.06253302085105,0.0,5m SELL signal,2019-01-07 05:45:00,0.24592010482937268,6.976980209350586,-0.5,FREE,82.96313193437064,252.11,102199.0
buy,102219,251.88,395.7526533739127,0.0,5m BUY signal,2019-01-07 06:20:00,0.24592010482937268,2.1713271141052246,-0.5,FREE,,,
sell,102228,252.05,395.7526533739127,0.0,5m SELL signal,2019-01-07 07:05:00,0.24592010482937268,6.747262477874756,-0.5,FREE,67.27795107357146,251.88,102219.0
buy,102244,252.31,395.344838820874,0.0,5m BUY signal,2019-01-07 08:25:00,0.24592010482937268,1.93686842918396,-0.5,FREE,,,
sell,102254,252.61,395.344838820874,0.0,5m SELL signal,2019-01-07 09:15:00,0.24592010482937268,6.694936275482178,-0.5,FREE,118.60345164626669,252.31,102244.0
buy,102307,255.66,390.6284116973362,0.0,5m BUY signal,2019-01-07 13:40:00,0.24592010482937268,1.5912389755249023,-0.5,FREE,,,
sell,102327,254.965,390.6284116973362,0.0,5m SELL signal,2019-01-07 15:20:00,0.24592010482937268,6.447757720947266,-0.5,FREE,-271.486746129646,255.66,102307.0
buy,102335,254.34,391.58831874031347,0.0,5m BUY signal,2019-01-07 16:00:00,0.24592010482937268,5.4918317794799805,-0.5,FREE,,,
sell,102417,256.32,391.58831874031347,0.0,5m SELL signal,2019-01-08 06:50:00,0.23100734929215427,3.253340005874634,-0.5,FREE,775.3448711058167,254.34,102335.0
buy,102424,255.91,392.21569246812214,0.0,5m BUY signal,2019-01-08 07:25:00,0.23100734929215427,2.1338536739349365,1.3499999999999996,FREE,,,
sell,102439,256.32,392.21569246812214,0.0,5m SELL signal,2019-01-08 08:40:00,0.23100734929215427,3.1993491649627686,-0.5,FREE,160.80843391192874,255.91,102424.0
buy,102457,255.57,393.3666952045587,0.0,5m BUY signal,2019-01-08 10:10:00,0.23100734929215427,2.2414238452911377,1.3499999999999996,FREE,,,
