date,equity,cash,shares,buy_th,sell_th,has_model,had_bsp,bsp_count
2023-04-03,100000.0,100000.0,0.0,0.0,0.0,0,1,23
2023-04-04,100000.0,100000.0,0.0,0.0,0.0,0,1,28
2023-04-05,100000.0,100000.0,0.0,0.0,0.0,0,1,42
2023-04-06,100000.0,100000.0,0.0,0.0,0.0,0,1,47
2023-04-10,100000.0,100000.0,0.0,0.0,0.0,0,1,42
2023-04-11,100000.0,100000.0,0.0,0.0,0.0,0,1,50
2023-04-12,100000.0,100000.0,0.0,0.0,0.0,0,1,28
2023-04-13,100000.0,100000.0,0.0,0.0,0.0,0,1,46
2023-04-14,100000.0,100000.0,0.0,0.0,0.0,0,1,40
2023-04-17,100000.0,100000.0,0.0,0.0,0.0,0,1,50
2023-04-18,100000.0,100000.0,0.0,0.0,0.0,0,1,20
2023-04-19,100000.0,100000.0,0.0,0.0,0.0,0,1,51
2023-04-20,100000.0,100000.0,0.0,0.0,0.0,0,1,32
2023-04-21,100000.0,100000.0,0.0,0.0,0.0,0,1,28
2023-04-24,100000.0,100000.0,0.0,0.0,0.0,0,1,56
2023-04-25,100000.0,100000.0,0.0,0.0,0.0,0,1,29
2023-04-26,100000.0,100000.0,0.0,0.0,0.0,0,1,45
2023-04-27,100000.0,100000.0,0.0,0.0,0.0,0,1,48
2023-04-28,100000.0,100000.0,0.0,0.0,0.0,0,1,52
2023-05-01,100000.0,100000.0,0.0,0.0,0.0,0,1,31
2023-05-02,100000.0,100000.0,0.0,0.0,0.0,0,1,46
2023-05-03,100000.0,100000.0,0.0,0.0,0.0,0,1,37
2023-05-04,100000.0,100000.0,0.0,0.0,0.0,0,1,40
2023-05-05,100000.0,100000.0,0.0,0.0,0.0,0,1,63
2023-05-08,100000.0,100000.0,0.0,0.0,0.0,0,1,30
2023-05-09,100000.0,100000.0,0.0,0.0,0.0,0,1,26
2023-05-10,100000.0,100000.0,0.0,0.0,0.0,0,1,46
2023-05-11,100000.0,100000.0,0.0,0.0,0.0,0,1,45
2023-05-12,100000.0,100000.0,0.0,0.0,0.0,0,1,41
2023-05-15,100000.0,100000.0,0.0,0.0,0.0,0,1,32
2023-05-16,100000.0,100000.0,0.0,0.0,0.0,0,1,24
2023-05-17,100000.0,100000.0,0.0,0.0,0.0,0,1,51
2023-05-18,100000.0,100000.0,0.0,0.0,0.0,0,1,50
2023-05-19,100000.0,100000.0,0.0,0.0,0.0,0,1,16
2023-05-22,100000.0,100000.0,0.0,0.0,0.0,0,1,16
2023-05-23,100000.0,100000.0,0.0,0.0,0.0,0,1,38
2023-05-24,100000.0,100000.0,0.0,0.0,0.0,0,1,56
2023-05-25,100000.0,100000.0,0.0,0.0,0.0,0,1,43
2023-05-26,100000.0,100000.0,0.0,0.0,0.0,0,1,57
