bsp1_bi_amp,bsp_bi_amp,divergence_rate,index,is_buy,is_segbsp,kdj_k,macd_dea,macd_diff,macd_value,ppo,rsi,timestamp,type,volume
6.010009765625,6.010009765625,0.2570566075148317,530,True,False,,-0.9836687121056261,-1.1432955082881335,-0.3192535923650148,-0.0016443560851132665,29.231030519661758,2025/06/17 18:41,1p,385.0
2.4849853515625,2.4849853515625,0.36743916322612297,566,False,False,,0.1420383710011029,0.2801940634370794,0.27631138487195306,0.0004027348531242978,61.51661358547296,2025/06/17 19:21,1p,1312.0
3.91497802734375,3.91497802734375,1.1843651931845702,602,True,False,,-0.13170507867813144,-0.331834765603503,-0.4002593738507431,-0.00047716911552015296,24.098629898947976,2025/06/18 13:30,1p,5958.0
3.8599853515625,3.8599853515625,7.893431920268464e-08,652,False,False,,1.1778495707880405,1.1728951827246874,-0.009908776126706265,0.001661871659494839,71.26432270331,2025/06/18 14:48,1p,1470.0
1.20501708984375,1.20501708984375,0.12422193763416538,737,True,False,,-0.34286615517411057,-0.3757330927996918,-0.06573387525116248,-0.0005330912676865748,31.207343308680677,2025/06/18 17:35,1p,1971.0
4.7449951171875,4.7449951171875,1.812200349792692,773,False,False,,0.39834582651762485,0.6887102622514476,0.5807288714676455,0.0009758569983923612,69.13322617036923,2025/06/18 18:41,1p,1013.0
6.4849853515625,6.4849853515625,0.44273301214030764,833,True,False,,-0.8116159312573125,-0.8334286021389516,-0.04362534176327837,-0.0011906719806860084,33.93892138301875,2025/06/18 19:58,1p,4717.0
5.83502197265625,5.83502197265625,3888927.4307394717,921,False,False,,0.29042570342155977,0.6706711798641436,0.7604909528851677,0.0009499523638243049,67.19789824027481,2025/06/20 15:43,1p,373.0
4.03997802734375,4.03997802734375,0.6947926619721932,976,True,False,,-0.30328346773591985,-0.546983842205691,-0.4874007489395422,-0.0007769283008413957,30.181354665099192,2025/06/20 17:30,1p,833.0
11.199951171875,11.199951171875,1.036064724508478,1153,True,False,,-1.7172172077991672,-2.247869938154736,-1.0613054607111372,-0.0032131311819684908,5.621220772277226,2025/06/23 16:37,1p,5091.0
