side,seen_idx,exec_px,qty,fee,reason,ts,p_day,pred,th,gate,pnl,entry_px,entry_idx
buy,249122,406.55,245.97220514081909,0.0,ADAPTIVE_FORCE_BUY->first acceptable 5m signal,2024-01-10 06:25:00,0.28486638583597906,1.1062384843826294,1.0499999999999996,FORCE_BUY,,,
sell,249285,411.03,245.97220514081909,0.0,5m SELL signal,2024-01-11 04:00:00,0.32356020326399443,2.823477268218994,2.2999999999999994,FREE,1101.95547903086,406.55,249122.0
buy,249342,408.32,247.60471071471116,0.0,5m BUY signal,2024-01-11 08:50:00,0.32356020326399443,1.521592140197754,0.6999999999999997,FREE,,,
sell,249402,407.99,247.60471071471116,0.0,5m SELL signal,2024-01-11 13:50:00,0.32356020326399443,2.3736119270324707,2.2999999999999994,FREE,-81.70955453585074,408.32,249342.0
buy,249419,408.71,247.16852028209493,0.0,5m BUY signal,2024-01-11 15:15:00,0.32356020326399443,1.6452643871307373,0.6999999999999997,FREE,,,
sell,251949,419.46,247.16852028209493,0.0,5m SELL signal,2024-02-01 04:00:00,0.1968018410779453,2.361943006515503,2.2499999999999996,FREE,2657.0615930325207,408.71,249419.0
buy,252021,419.08,247.39263987192788,0.0,5m BUY signal,2024-02-01 10:00:00,0.1968018410779453,3.1760125160217285,2.499999999999999,FREE,,,
sell,252046,420.6903,247.39263987192788,0.0,5m SELL signal,2024-02-01 12:05:00,0.1968018410779453,2.490389585494995,2.2499999999999996,FREE,398.37636798576426,419.08,252021.0
buy,252058,419.67,247.99409985348797,0.0,5m BUY signal,2024-02-01 13:05:00,0.1968018410779453,2.5485525131225586,2.499999999999999,FREE,,,
sell,252093,422.4,247.99409985348797,0.0,5m SELL signal,2024-02-01 16:00:00,0.1968018410779453,2.883852243423462,2.2499999999999996,FREE,677.0238926000126,419.67,252058.0
buy,252191,426.41,245.6619398656535,0.0,5m BUY signal,2024-02-02 08:15:00,0.23141137812245963,1.6817548274993896,-0.5,FREE,,,
