Sliding Window Analysis Summary
==============================

Window Size: 20%
Slide Increment: 5%
Number of Windows: 17

Window | Date Range | Buy Test1 R² | Buy Test2 R² | Buy Test1 Acc | Buy Test2 Acc | Sell Test1 R² | Sell Test2 R² | Sell Test1 Acc | Sell Test2 Acc
-------|------------|-------------|-------------|--------------|--------------|--------------|--------------|----------------|----------------
      1 | 2022-01-04-2022-08-04 | -0.1683       | -0.8033       | 100.00%        | 93.57%         | -0.4291        | -2.4151        | 69.73%           | 84.02%          
      2 | 2022-02-25-2022-09-21 | -1.8551       | -2.7601       | 99.00%         | 88.60%         | -0.5205        | -0.8679        | 87.02%           | 96.55%          
      3 | 2022-04-19-2022-11-10 | 0.0862        | -0.5025       | 94.74%         | 99.43%         | -0.2463        | -0.4979        | 78.87%           | 91.79%          
      4 | 2022-06-07-2023-01-09 | -0.1489       | -0.3151       | 81.17%         | 97.33%         | -0.3724        | -0.4600        | 90.91%           | 93.71%          
      5 | 2022-08-04-2023-03-01 | -0.2931       | -0.3618       | 81.82%         | 83.07%         | -0.5943        | -0.7092        | 92.86%           | 100.00%         
      6 | 2022-09-21-2023-04-25 | -0.5283       | -1.9750       | 100.00%        | 94.41%         | -1.8171        | -2.2954        | 89.55%           | 100.00%         
      7 | 2022-11-10-2023-06-20 | -0.6564       | -0.7160       | 99.14%         | 86.78%         | -3.6874        | -3.9014        | 84.90%           | 82.45%          
      8 | 2023-01-09-2023-08-07 | -1.2078       | -1.3431       | 98.31%         | 82.24%         | -1.7558        | -1.0020        | 75.26%           | 76.43%          
      9 | 2023-03-01-2023-09-28 | -0.6240       | -0.4027       | 98.57%         | 68.78%         | -0.2312        | -2.5342        | 95.24%           | 89.42%          
     10 | 2023-04-25-2023-11-20 | -0.3646       | -0.4368       | 100.00%        | 100.00%        | -0.8626        | -1.8813        | 68.62%           | 81.36%          
     11 | 2023-06-20-2024-01-23 | -0.2183       | -1.2505       | 82.86%         | 86.51%         | -0.7847        | -0.0305        | 82.71%           | 92.90%          
     12 | 2023-08-07-2024-03-19 | -0.4326       | -0.2881       | 96.99%         | 91.72%         | 0.0401         | -0.1582        | 88.00%           | 98.17%          
     13 | 2023-09-28-2024-05-21 | -0.1934       | -0.4255       | 92.54%         | 96.67%         | -1.2302        | -13.3830       | 74.71%           | 82.19%          
     14 | 2023-11-20-2024-07-17 | -0.5344       | -4.5599       | 97.60%         | 92.13%         | -0.2812        | -1.1420        | 90.07%           | 82.73%          
     15 | 2024-01-23-2024-09-06 | -2.5550       | -0.6576       | 100.00%        | 86.14%         | -1.9157        | -0.7892        | 75.97%           | 100.00%         
     16 | 2024-03-19-2024-10-30 | -0.1302       | -0.2631       | 98.17%         | 83.06%         | -1.4629        | -0.6878        | 84.42%           | 98.41%          
     17 | 2024-05-21-2024-12-31 | -0.8069       | -0.2436       | 95.33%         | 76.05%         | -0.2514        | -0.1171        | 96.20%           | 76.43%          
