policy,FORCE_BUY,FREE,FORCE_SELL
static,0.4840933191940615,0.3743372216330859,0.1415694591728526
adaptive_reward,0.19088016967126192,0.22322375397667021,0.5858960763520679
adaptive_accuracy,0.8658536585365854,0.04612937433722163,0.088016967126193
threshold_pair_bandit,0.34517497348886533,0.44750795334040294,0.2073170731707317
