date,p_day,buy_level,sell_level,gate,score,window_size
2018-10-01,0.2237968751383164,0.2,0.3,FREE,0.0,1
2018-10-02,0.2048845205890116,0.2,0.3,FREE,0.0,2
2018-10-03,0.2816206210568594,0.2,0.3,FREE,0.0,3
2018-10-04,0.2127612155077751,0.2,0.3,FREE,0.0,4
2018-10-05,0.2400771673577247,0.2,0.3,FREE,0.0,5
2018-10-08,0.1647708703748161,0.2,0.3,FORCE_BUY,0.0,6
2018-10-09,0.1811165968653827,0.2,0.3,FORCE_BUY,0.0,7
2018-10-10,0.2198363689060951,0.2,0.3,FREE,0.0,8
2018-10-11,0.2099351196714043,0.2,0.3,FREE,0.0,9
2018-10-12,0.1515378340681979,0.2,0.3,FORCE_BUY,0.0,10
2018-10-15,0.1625129224191464,0.2,0.3,FORCE_BUY,0.0,11
2018-10-16,0.1582509231709466,0.2,0.3,FORCE_BUY,0.0,12
2018-10-17,0.1565888963070498,0.2,0.3,FORCE_BUY,0.0,13
2018-10-18,0.1458630999690065,0.2,0.3,FORCE_BUY,0.0,14
2018-10-19,0.1450525294586735,0.2,0.3,FORCE_BUY,0.0,15
2018-10-22,0.1513693777370904,0.2,0.3,FORCE_BUY,0.0,16
2018-10-23,0.1516703157754141,0.2,0.3,FORCE_BUY,0.0,17
2018-10-24,0.1456914993268597,0.2,0.3,FORCE_BUY,0.0,18
2018-10-25,0.1475234507599485,0.2,0.3,FORCE_BUY,0.0,19
2018-10-26,0.1447071839810118,0.05,0.15,FREE,0.0,20
2018-10-29,0.1470619792466761,0.05,0.15,FREE,0.0,21
2018-10-30,0.1545057131521533,0.05,0.15,FORCE_SELL,0.0,22
2018-10-31,0.1498548177971125,0.05,0.15,FREE,0.0,23
2018-11-01,0.1609611031729499,0.05,0.15,FORCE_SELL,0.0,24
2018-11-02,0.1562377097475954,0.05,0.15,FORCE_SELL,0.0,25
2018-11-05,0.1646482100593828,0.05,0.15,FORCE_SELL,0.0,26
2018-11-06,0.1672032885083718,0.05,0.15,FORCE_SELL,0.0,27
2018-11-07,0.1678975204614149,0.05,0.15,FORCE_SELL,0.0,28
2018-11-08,0.1578378017267048,0.05,0.15,FORCE_SELL,0.0,29
2018-11-09,0.1646505447582474,0.05,0.15,FORCE_SELL,0.0,30
2018-11-12,0.1606141175073479,0.05,0.15,FORCE_SELL,0.0,31
2018-11-13,0.1613168717175679,0.05,0.15,FORCE_SELL,0.0,32
2018-11-14,0.1562697076324364,0.05,0.15,FORCE_SELL,0.0,33
2018-11-15,0.1622438602317048,0.05,0.15,FORCE_SELL,0.0,34
2018-11-16,0.159491146599999,0.05,0.15,FORCE_SELL,0.0,35
2018-11-19,0.1559149573489267,0.05,0.15,FORCE_SELL,0.0,36
2018-11-20,0.2327816676433004,0.05,0.15,FORCE_SELL,0.0,37
2018-11-21,0.2271092057347789,0.05,0.15,FORCE_SELL,0.0,38
2018-11-23,0.2321323115065225,0.05,0.15,FORCE_SELL,0.0,39
2018-11-26,0.2114928181567892,0.05,0.15,FORCE_SELL,0.0,40
2018-11-27,0.2129465763692822,0.05,0.15,FORCE_SELL,0.0,41
2018-11-28,0.2192114715529057,0.05,0.15,FORCE_SELL,0.0,42
2018-11-29,0.2351267966279731,0.05,0.15,FORCE_SELL,0.0,43
