bsp2_bi_amp,bsp2_bi_amp_rate,bsp2_break_bi_amp,bsp2_break_bi_amp_rate,bsp2_retrace_rate,bsp3_bi_amp,bsp3_bi_amp_rate,bsp3_zs_height,bsp_bi_amp,divergence_rate,index,is_buy,is_segbsp,kdj_d,kdj_j,kdj_k,macd_dea,macd_diff,macd_value,next_bi_return,ppo,rsi,timestamp,type,volume
0.30999755859375,0.003226788379082832,0.589996337890625,0.006179265994420187,0.52542285211814,,,,0.30999755859375,,171,True,False,26.896880343470553,-9.04820939590136,14.915183763679915,0.038252609667958154,0.011977944935310347,-0.05254932946529561,0.005743477549017225,0.00012494469500943866,41.33083389536103,2025/06/18 17:36,2,900.0
0.1399993896484375,0.0014648884597204769,0.19499969482421875,0.0020445577438974443,0.7179467115301851,,,,0.1399993896484375,,412,True,False,48.819937917079244,13.859162244822485,37.16634602632699,-0.01766201282993507,-0.015409893151186793,0.004504239357496553,0.007806798115892125,-0.00016132855128865364,41.56204732992791,2025/06/20 16:59,2,1230.0
0.26999664306640625,0.0028251192207655565,0.6050033569335938,0.006290650769285689,0.4462729668722178,,,,0.26999664306640625,,534,False,False,70.21040371123227,98.19380421246899,79.53820387831118,-0.04635991270101529,-0.018842319458400425,0.05503518648522973,0.013355580427863849,-0.00019681370279239687,52.88177397606498,2025/06/20 19:55,2,8135.0
0.42000579833984375,0.004386025365186745,1.2000045776367188,0.012690404067461407,0.3500034967924876,,,,0.42000579833984375,,553,True,False,61.01501449522085,3.7329701917563796,41.92099972739936,-0.04122921064126115,-0.03313327361674112,0.01619187404904006,0.007342192201852629,-0.00034674919405525525,41.95105996710829,2025/06/23 13:45,2,1299.0
0.1699981689453125,0.0017782235529149196,0.44000244140625,0.004581449783546516,0.3863573311138854,,,,0.1699981689453125,,587,False,False,60.770964417550736,104.1793219087918,75.2404169146311,0.006377099940530607,0.0006968839901873025,-0.01136043190068661,0.0025059817498375857,7.279737028451547e-06,52.639933327775175,2025/06/23 14:24,2,649.0
0.22859954833984375,0.0023864656660921722,0.26000213623046875,0.0027216805145277153,0.8792218081516476,,,,0.22859954833984375,,609,True,False,37.603181868757034,24.034687554551198,33.08035043068842,-0.014304723599745411,-0.01747340085634619,-0.006337354513201554,0.0027060960171887195,-0.0001826631308323894,44.93911736128949,2025/06/23 14:51,2,1698.0
0.18000030517578125,0.0018943413127232081,0.8000030517578125,0.008349019560694334,0.2249995231646608,,,,0.18000030517578125,,651,False,False,52.66050041467878,119.64944633711104,74.99014905548954,-0.1094650064607631,-0.08617645661378504,0.046577099693956125,0.005672198565577613,-0.0009048942886484646,46.69765052214185,2025/06/23 16:04,2,643.0
0.25,0.002629918014103706,0.399993896484375,0.004225585051867952,0.6250095368886854,,,,0.25,,693,True,False,40.296479883802114,-19.56847625608652,20.341494503839236,-0.028699786723188125,-0.03541190252855131,-0.013424231610726367,0.016664928506914336,-0.00037290443273155726,37.930408845984125,2025/06/23 16:57,2,1064.0
0.20000457763671875,0.0020758129818802076,0.45999908447265625,0.00475156591336803,0.4347934254391057,,,,0.20000457763671875,,955,False,False,83.91427245816556,72.50376276147185,80.11076922593432,-0.009247087779771544,0.009086923016198512,0.03666802159194011,0.002692927270971589,9.419044885754791e-05,50.67497810946258,2025/06/24 16:49,2,3607.0
0.09999847412109375,0.0010360925737292075,0.3249969482421875,0.0033786977855641293,0.3076905019014977,0.09999847412109375,0.0010360925737292075,0.0005189730415122212,0.09999847412109375,,1012,True,False,34.87036874723655,-18.118475590919367,17.20742063451791,0.02664929521254199,0.014561919012365365,-0.02417475240035325,0.0011927382946382485,0.00015098722321975916,44.8001627479651,2025/06/24 18:32,"2,3b",1131.0
1.55999755859375,0.01647130792602347,1.8799972534179688,0.01946368490212353,0.8297871476979891,1.55999755859375,0.01647130792602347,0.0010371671749368754,1.55999755859375,,1091,False,False,29.025504064721993,100.44065854153011,52.83055555699137,-0.36330663498000215,-0.29640780104570297,0.13379766786859837,,-0.0031010384645889033,62.209253420140996,2025/06/25 13:42,"2,3b",1.0
