bsp2_bi_amp,bsp2_bi_amp_rate,bsp2_break_bi_amp,bsp2_break_bi_amp_rate,bsp2_retrace_rate,bsp2s_bi_amp,bsp2s_bi_amp_rate,bsp2s_break_bi_amp,bsp2s_break_bi_amp_rate,bsp2s_lv,bsp2s_retrace_rate,bsp3_bi_amp,bsp3_bi_amp_rate,bsp3_zs_height,bsp_bi_amp,divergence_rate,index,is_buy,is_segbsp,kdj,kdj_,macd_dea,macd_diff,macd_value,next_bi_return,ppo,rsi,timestamp,type,volume
,,,,,,,,,,,0.18999481201171875,0.00259839722203238,0.0019037175401894484,0.18999481201171875,,257,False,False,<Math.KDJ.KDJ_Item object at 0x0000024149BC3830>,,-0.03668684425552732,-0.014112456895702508,0.04514877471964962,0.006411147679107093,-0.0001926973238805886,59.09444204665199,2025/06/17 17:57,3b,2675.0
,,,,,0.108001708984375,0.0014780581556786993,0.3274993896484375,0.0044606292265880355,1.0,0.26107720262777806,0.108001708984375,0.0014780581556786993,0.0012297941721142608,0.108001708984375,,1084,False,False,<Math.KDJ.KDJ_Item object at 0x0000024148222090>,<Math.KDJ.KDJ_Item object at 0x0000024148222090>,-0.026451814914156595,-0.017423557399368406,0.018056515029576378,0.003389011641139261,-0.00023821471446305056,51.19393751366204,2025/06/20 19:34,"2s,3b",3908.0
0.3899993896484375,0.005285977176755847,0.8499984741210938,0.011654990683727861,0.4588236350091104,,,,,,,0.3899993896484375,0.005285977176755847,0.001169786584665744,0.3899993896484375,,1124,True,False,<Math.KDJ.KDJ_Item object at 0x000002414A66F3B0>,,0.12778088092520973,0.1086240346289884,-0.03831369259244266,0.009674330159114303,0.0014789516199423453,55.38079838343697,2025/06/23 13:45,"2,3b",10597.0
0.43999481201171875,0.00592665442716081,0.970001220703125,0.013238723422200633,0.45360232814220547,,,,,,,0.43999481201171875,0.00592665442716081,0.00013603721214406578,0.43999481201171875,,1412,True,False,<Math.KDJ.KDJ_Item object at 0x0000024148FF2FF0>,,-0.04816288634510005,-0.06104419415127893,-0.025762615612357764,0.01720862588820932,-0.0008253885061794533,27.9461235842262,2025/06/23 18:51,"2,3b",2144.0
