side,entry_raw_idx,entry_price,entry_reason,exit_raw_idx,exit_price,pnl,return_pct,exit_reason
long,557,309.54,OPEN_LONG mr=0.79 ret=-0.16,2159,313.79,1373.0051043483982,1.3730051043483982,CLOSE_LONG mr=0.83 ret=-0.37
short,2938,326.29,OPEN_SHORT mr=0.81 ret=-0.24,4244,328.14,-574.7649619756703,-0.5669802936038402,CLOSE_SHORT mr=0.88 ret=3.59
long,4247,327.8928,OPEN_LONG mr=0.55 ret=-0.24,5741,334.57,2052.6526019438315,2.0363972615440082,CLOSE_LONG mr=0.86 ret=-0.46
short,5745,334.78,OPEN_SHORT mr=0.93 ret=-0.34,6090,333.78,307.2193462701398,0.29870362626202523,CLOSE_SHORT mr=0.66 ret=-0.18
long,6091,333.2,OPEN_LONG mr=0.73 ret=-0.17,8458,308.4,-7678.034753441025,-7.442977190876348,CLOSE_LONG mr=0.80 ret=-0.49
short,8459,308.9,OPEN_SHORT mr=0.84 ret=-0.44,8574,306.22,828.3800817855226,0.8675946908384505,CLOSE_SHORT mr=0.89 ret=0.01
short,8966,315.93,OPEN_SHORT mr=0.70 ret=0.22,9183,318.39,-749.9091737111594,-0.7786534991928453,CLOSE_SHORT mr=0.74 ret=-0.23
long,9297,312.42,OPEN_LONG mr=0.64 ret=-0.34,9483,316.02,1101.116361573484,1.1522949875167898,CLOSE_LONG mr=0.61 ret=-0.35
short,9484,316.0,OPEN_SHORT mr=0.59 ret=-0.35,9900,317.451,-443.8391561533499,-0.45917721518987714,CLOSE_SHORT mr=1.00 ret=0.19
long,10155,315.73,OPEN_LONG mr=0.87 ret=-0.19,10981,312.21,-1072.6877572174271,-1.1148766350996264,CLOSE_LONG mr=0.73 ret=0.00
long,11016,312.33,OPEN_LONG mr=0.57 ret=-0.23,11181,311.63,-213.23662915952445,-0.22412192232573966,CLOSE_LONG mr=0.58 ret=-0.15
short,11219,312.41,OPEN_SHORT mr=0.55 ret=-0.11,12537,330.82,-5594.121438472153,-5.89289715438046,CLOSE_SHORT mr=0.91 ret=0.29
long,12540,330.52,OPEN_LONG mr=0.87 ret=0.30,13231,336.72,1675.7891615633125,1.875832022267946,CLOSE_LONG mr=0.80 ret=-0.19
short,13232,336.62,OPEN_SHORT mr=0.83 ret=-0.17,13545,340.2,-967.920552132171,-1.0635137543818043,CLOSE_SHORT mr=0.78 ret=-0.38
long,14250,338.04,OPEN_LONG mr=0.76 ret=-0.08,14280,338.12,21.309584246890154,0.02366583836232717,CLOSE_LONG mr=0.84 ret=-0.01
long,14477,334.96,OPEN_LONG mr=0.60 ret=-0.15,15203,342.13,1927.889143675653,2.140554096011474,CLOSE_LONG mr=0.60 ret=-0.50
short,15223,342.09,OPEN_SHORT mr=0.66 ret=-0.37,15375,339.75,629.2591478668037,0.6840305182846494,CLOSE_SHORT mr=0.76 ret=-0.26
long,15895,337.16,OPEN_LONG mr=0.88 ret=0.11,17212,325.4,-3230.6203816155466,-3.4879582394115602,CLOSE_LONG mr=0.81 ret=0.42
short,17394,317.3,OPEN_SHORT mr=0.82 ret=0.09,17397,316.85,126.77645313025278,0.1418216199180621,CLOSE_SHORT mr=0.84 ret=-0.37
short,17848,325.7,OPEN_SHORT mr=0.63 ret=-0.16,18078,325.97,-74.20918265056389,-0.0828983727356688,CLOSE_SHORT mr=0.65 ret=0.88
short,19013,334.19,OPEN_SHORT mr=0.82 ret=-0.17,19230,333.55,171.29236039354873,0.1915078248900312,CLOSE_SHORT mr=0.59 ret=-0.12
long,19231,333.31,OPEN_LONG mr=0.85 ret=-0.13,19912,332.47,-225.8464795614418,-0.2520176412348797,CLOSE_LONG mr=0.56 ret=0.26
