date,equity,cash,pos,qty,bucket_today,bucket_next,prev_reg_score,prev_reg_slope,prev_reg_above_ma,today_reg_score,today_reg_slope,today_reg_above_ma,base_buy_bull,base_buy_side,base_buy_bear,base_sell_bull,base_sell_side,base_sell_bear,live_buy_today,live_sell_today,strength_s,strength_buy_k,strength_sell_k,strength_score,reg_score,reg_slope,reg_above_ma
2018-10-01,100000.0,100000.0,0,0.0,bull,bull,0.03366435812406658,0.0005983820766405114,0.021246141262763363,0.035626041610878914,0.00061144858091093,0.022527797245430747,0.3,0.3,0.3,0.3,0.3,0.3,0.27510561832215114,0.3298732580134186,0.8298127225949616,0.9170187277405039,1.0995775267113954,0.035626041610878914,,,
2018-10-02,100000.0,100000.0,0,0.0,bull,bull,0.035626041610878914,0.00061144858091093,0.022527797245430747,0.03118935005103936,0.000632585263198155,0.019527729507629932,0.3,0.3,0.3,0.3,0.3,0.3,0.27666756472419457,0.3279989223309665,0.7777478425268476,0.9222252157473152,1.0933297411032217,0.03118935005103936,,,
2018-10-03,100000.0,100000.0,0,0.0,bull,bull,0.03118935005103936,0.000632585263198155,0.019527729507629932,0.03199006756464697,0.0006669322750831934,0.01999284715959826,0.3,0.3,0.3,0.3,0.3,0.3,0.2763577005015618,0.3283707593981258,0.7880766499479408,0.9211923350052059,1.0945691979937529,0.03199006756464697,,,
2018-10-04,100000.0,100000.0,0,0.0,bull,side,0.03199006756464697,0.0006669322750831934,0.01999284715959826,0.002580212577784114,0.0006307739559763791,0.0004585938065699846,0.3,0.3,0.3,0.3,0.3,0.3,0.29742613078593183,0.30308864305688177,0.08579564046893856,0.9914204359531061,1.0102954768562726,0.002580212577784114,,,
2018-10-05,100000.0,100000.0,0,0.0,side,side,0.002580212577784114,0.0006307739559763791,0.0004585938065699846,-0.016036878609979086,0.0005469104289205633,-0.01178507326449385,0.3,0.3,0.3,0.3,0.3,0.3,0.31466583151195704,0.2824010021856515,-0.4888610503985683,1.0488861050398568,0.9413366739521718,-0.016036878609979086,,,
2018-10-08,100000.0,100000.0,0,0.0,side,side,-0.016036878609979086,0.0005469104289205633,-0.01178507326449385,-0.025720918468287488,0.0004129615076804106,-0.017973201994219146,0.3,0.3,0.3,0.3,0.3,0.3,0.32084691055379705,0.27498370733544353,-0.6948970184599009,1.0694897018459901,0.9166123577848119,-0.025720918468287488,,,
2018-10-09,100000.0,100000.0,0,0.0,side,side,-0.025720918468287488,0.0004129615076804106,-0.017973201994219146,-0.02205616560011253,0.00028811509073517494,-0.01528034058154537,0.3,0.3,0.3,0.3,0.3,0.3,0.3187871912429227,0.27745537050849267,-0.6262397080974248,1.0626239708097425,0.924851235028309,-0.02205616560011253,,,
2018-10-10,100000.0,100000.0,0,0.0,side,bear,-0.02205616560011253,0.00028811509073517494,-0.01528034058154537,-0.08707986737506618,2.3469960045060626e-05,-0.058100184836800906,0.3,0.3,0.3,0.3,0.3,0.3,0.32981985386230994,0.264216175365228,-0.9939951287436657,1.0993995128743665,0.8807205845507601,-0.08707986737506618,,,
2018-10-11,100000.0,100000.0,0,0.0,bear,bear,-0.08707986737506618,2.3469960045060626e-05,-0.058100184836800906,-0.1044937160985574,-0.000323853944621847,-0.06901476950979457,0.3,0.3,0.3,0.3,0.3,0.3,0.32994346220455323,0.26406784535453615,-0.9981154068184395,1.099811540681844,0.8802261511817873,-0.1044937160985574,,,
2018-10-12,100000.0,100000.0,0,0.0,bear,bear,-0.1044937160985574,-0.000323853944621847,-0.06901476950979457,-0.06547969637066846,-0.0005477493635970788,-0.042557632186584815,0.3,0.3,0.3,0.3,0.3,0.3,0.3292469315118005,0.2649036821858394,-0.9748977170600173,1.0974897717060017,0.8830122739527979,-0.06547969637066846,,,
