side,seen_idx,exec_px,qty,fee,reason,signal_ts,signal_dir,bsp_type,pred_ret,ret_th_live,bucket,strength_score,strength_s,strength_buy_k,base_buy_bucket,pnl,entry_px,entry_idx,strength_sell_k,base_sell_bucket
buy,11681,150.37,665.0262685376072,0.0,OPEN_LONG pred_ret=3.57% [bear],2019/01/02 04:00,buy,1,3.5675923824310303,-0.5,bear,-0.10106305790445715,-0.9976316810379567,1.0997631681037956,-0.5,,,,,
sell,11746,150.99,665.0262685376072,0.0,CLOSE_LONG pred_ret=2.73% [bear],2019/01/02 09:25,sell,3a,2.7270777225494385,-0.4401420991377226,bear,-0.10106305790445715,-0.9976316810379567,,,412.31628649331947,150.37,11681.0,0.8802841982754452,-0.5
buy,11776,153.7,653.3006915191497,0.0,OPEN_LONG pred_ret=1.98% [bear],2019/01/02 11:55,buy,2,1.9797656536102295,-0.5,bear,-0.10106305790445715,-0.9976316810379567,1.0997631681037956,-0.5,,,,,
sell,11786,154.58,653.3006915191497,0.0,CLOSE_LONG pred_ret=5.91% [bear],2019/01/02 12:45,sell,1p,5.908334732055664,-0.4401420991377226,bear,-0.10106305790445715,-0.9976316810379567,,,574.9046085368674,153.7,11776.0,0.8802841982754452,-0.5
buy,11813,154.71,652.7517348266445,0.0,OPEN_LONG pred_ret=1.98% [bear],2019/01/02 15:00,buy,2s,1.9803814888000488,-0.5,bear,-0.10106305790445715,-0.9976316810379567,1.0997631681037956,-0.5,,,,,
sell,11864,151.45,652.7517348266445,0.0,CLOSE_LONG pred_ret=2.83% [bear],2019/01/02 19:15,sell,2,2.8257834911346436,-0.4401420991377226,bear,-0.10106305790445715,-0.9976316810379567,,,-2127.9706555348735,154.71,11813.0,0.8802841982754452,-0.5
buy,11879,150.76,655.7392560327361,0.0,OPEN_LONG pred_ret=3.98% [bear],2019/01/03 04:30,buy,1p,3.981929302215576,-0.5,bear,-0.09215905017410533,-0.9957162807128516,1.0995716280712853,-0.5,,,,,
sell,11894,150.92,655.7392560327361,0.0,CLOSE_LONG pred_ret=2.30% [bear],2019/01/03 05:45,sell,2s,2.295860767364502,-0.4402570231572289,bear,-0.09215905017410533,-0.9957162807128516,,,104.91828096523554,150.76,11879.0,0.8805140463144578,-0.5
buy,11899,150.6,657.1325930973475,0.0,OPEN_LONG pred_ret=3.51% [bear],2019/01/03 06:10,buy,2,3.512532949447632,-0.5,bear,-0.09215905017410533,-0.9957162807128516,1.0995716280712853,-0.5,,,,,
sell,11910,151.48,657.1325930973475,0.0,CLOSE_LONG pred_ret=2.88% [bear],2019/01/03 07:05,sell,2s,2.8752927780151367,-0.4402570231572289,bear,-0.09215905017410533,-0.9957162807128516,,,578.2766819256627,150.6,11899.0,0.8805140463144578,-0.5
buy,11947,150.83,659.9644977947768,0.0,OPEN_LONG pred_ret=3.19% [bear],2019/01/03 10:10,buy,2s,3.185730457305908,-0.5,bear,-0.09215905017410533,-0.9957162807128516,1.0995716280712853,-0.5,,,,,
sell,11957,151.25,659.9644977947768,0.0,CLOSE_LONG pred_ret=2.58% [bear],2019/01/03 11:00,sell,2,2.5758473873138428,-0.4402570231572289,bear,-0.09215905017410533,-0.9957162807128516,,,277.185089073798,150.83,11947.0,0.8805140463144578,-0.5
buy,12007,149.76,666.530650984642,0.0,OPEN_LONG pred_ret=4.25% [bear],2019/01/03 15:10,buy,1p,4.2495646476745605,-0.5,bear,-0.09215905017410533,-0.9957162807128516,1.0995716280712853,-0.5,,,,,
sell,12065,151.6,666.530650984642,0.0,CLOSE_LONG pred_ret=3.19% [bear],2019/01/04 04:00,sell,2s,3.185176134109497,-0.4400148416970541,bear,-0.13496524118037098,-0.9997526383824311,,,1226.4163978117435,149.76,12007.0,0.8800296833941083,-0.5
buy,12077,152.07,664.4706167506525,0.0,OPEN_LONG pred_ret=2.92% [bear],2019/01/04 05:00,buy,2,2.9185445308685303,-0.5,bear,-0.13496524118037098,-0.9997526383824311,1.0999752638382432,-0.5,,,,,
sell,12087,152.56,664.4706167506525,0.0,CLOSE_LONG pred_ret=3.63% [bear],2019/01/04 05:50,sell,2s,3.627009868621826,-0.4400148416970541,bear,-0.13496524118037098,-0.9997526383824311,,,325.5906022078258,152.07,12077.0,0.8800296833941083,-0.5
buy,12102,152.34,665.4302040926844,0.0,OPEN_LONG pred_ret=2.40% [bear],2019/01/04 07:05,buy,2s,2.4038772583007812,-0.5,bear,-0.13496524118037098,-0.9997526383824311,1.0999752638382432,-0.5,,,,,
sell,12130,152.18,665.4302040926844,0.0,CLOSE_LONG pred_ret=5.30% [bear],2019/01/04 09:25,sell,2,5.295155048370361,-0.4400148416970541,bear,-0.13496524118037098,-0.9997526383824311,,,-106.46883265482724,152.34,12102.0,0.8800296833941083,-0.5
buy,12186,156.21,648.2630334730474,0.0,OPEN_LONG pred_ret=1.91% [bear],2019/01/04 14:05,buy,3a,1.9083800315856934,-0.5,bear,-0.13496524118037098,-0.9997526383824311,1.0999752638382432,-0.5,,,,,
sell,12192,156.685,648.2630334730474,0.0,CLOSE_LONG pred_ret=5.96% [bear],2019/01/04 14:35,sell,2,5.960034370422363,-0.4400148416970541,bear,-0.13496524118037098,-0.9997526383824311,,,307.9249408996938,156.21,12186.0,0.8800296833941083,-0.5
buy,12202,155.8,651.94540051171,0.0,OPEN_LONG pred_ret=3.24% [bear],2019/01/04 15:25,buy,1p,3.2381513118743896,-0.5,bear,-0.13496524118037098,-0.9997526383824311,1.0999752638382432,-0.5,,,,,
sell,12208,156.39,651.94540051171,0.0,CLOSE_LONG pred_ret=5.59% [bear],2019/01/04 15:55,sell,2s,5.587989330291748,-0.4400148416970541,bear,-0.13496524118037098,-0.9997526383824311,,,384.6477863018926,155.8,12202.0,0.8800296833941083,-0.5
buy,12255,156.19,652.780211191666,0.0,OPEN_LONG pred_ret=2.81% [bear],2019/01/07 04:20,buy,2,2.806495189666748,-0.5,bear,-0.07294067414335656,-0.9846595815577324,1.0984659581557732,-0.5,,,,,
sell,12264,156.23,652.780211191666,0.0,CLOSE_LONG pred_ret=5.82% [bear],2019/01/07 05:10,sell,2s,5.817464351654053,-0.44092042510653606,bear,-0.07294067414335656,-0.9846595815577324,,,26.111208447661447,156.19,12255.0,0.8818408502130721,-0.5
buy,12269,156.17,653.03100720032,0.0,OPEN_LONG pred_ret=3.04% [bear],2019/01/07 05:35,buy,2s,3.0445988178253174,-0.5,bear,-0.07294067414335656,-0.9846595815577324,1.0984659581557732,-0.5,,,,,
sell,12287,156.16,653.03100720032,0.0,CLOSE_LONG pred_ret=5.66% [bear],2019/01/07 07:15,sell,2s,5.659639358520508,-0.44092042510653606,bear,-0.07294067414335656,-0.9846595815577324,,,-6.530310071997261,156.17,12269.0,0.8818408502130721,-0.5
buy,12304,156.12,653.1983223443631,0.0,OPEN_LONG pred_ret=2.14% [bear],2019/01/07 08:40,buy,2,2.1429693698883057,-0.5,bear,-0.07294067414335656,-0.9846595815577324,1.0984659581557732,-0.5,,,,,
