date,equity,cash,pos,buy_th,sell_th,p_day,daily_action
2013-01-02,100000.0,100000.0,0,0.3,0.3,,FORCE_BUY
2013-01-03,100000.0,100000.0,0,0.3,0.3,,FORCE_BUY
2013-01-04,100000.0,100000.0,0,0.3,0.3,,FORCE_BUY
2013-01-07,100000.0,100000.0,0,0.3,0.3,,FORCE_BUY
2013-01-08,100000.0,100000.0,0,0.3,0.3,,FORCE_BUY
2013-01-09,100000.0,100000.0,0,0.3,0.3,,FORCE_BUY
2013-01-10,100000.0,100000.0,0,0.3,0.3,,FORCE_BUY
2013-01-11,100000.0,100000.0,0,0.3,0.3,,FORCE_BUY
2013-01-14,100000.0,100000.0,0,0.3,0.3,,FORCE_BUY
2013-01-15,100000.0,100000.0,0,0.3,0.3,,FORCE_BUY
2013-01-16,100000.0,100000.0,0,0.3,0.3,,FORCE_BUY
2013-01-17,100000.0,100000.0,0,0.3,0.3,,FORCE_BUY
2013-01-18,100000.0,100000.0,0,0.3,0.3,,FORCE_BUY
2013-01-22,100000.0,100000.0,0,0.3,0.3,,FORCE_BUY
2013-01-23,100000.0,100000.0,0,0.3,0.3,,FORCE_BUY
2013-01-24,100000.0,100000.0,0,0.3,0.3,,FORCE_BUY
2013-01-25,100000.0,100000.0,0,0.3,0.3,,FORCE_BUY
2013-01-28,100000.0,100000.0,0,0.3,0.3,,FORCE_BUY
2013-01-29,100000.0,100000.0,0,0.3,0.3,,FORCE_BUY
2013-01-30,100000.0,100000.0,0,0.3,0.3,,FORCE_BUY
2013-01-31,100000.0,100000.0,0,0.3,0.3,,FORCE_BUY
2013-02-01,100000.0,100000.0,0,0.3,0.3,,FORCE_BUY
2013-02-04,100000.0,100000.0,0,0.3,0.3,,FORCE_BUY
2013-02-05,100000.0,100000.0,0,0.3,0.3,,FORCE_BUY
2013-02-06,100000.0,100000.0,0,0.3,0.3,,FORCE_BUY
2013-02-07,100000.0,100000.0,0,0.3,0.3,,FORCE_BUY
2013-02-08,100000.0,100000.0,0,0.3,0.3,,FORCE_BUY
2013-02-11,100000.0,100000.0,0,0.3,0.3,,FORCE_BUY
2013-02-12,100000.0,100000.0,0,0.3,0.3,,FORCE_BUY
2013-02-13,100000.0,100000.0,0,0.3,0.3,,FORCE_BUY
2013-02-14,100000.0,100000.0,0,0.3,0.3,,FORCE_BUY
2013-02-15,100000.0,100000.0,0,0.3,0.3,,FORCE_BUY
2013-02-19,100000.0,100000.0,0,0.3,0.3,,FORCE_BUY
2013-02-20,100000.0,100000.0,0,0.3,0.3,,FORCE_BUY
2013-02-21,100000.0,100000.0,0,0.3,0.3,,FORCE_BUY
2013-02-22,100000.0,100000.0,0,0.3,0.3,,FORCE_BUY
2013-02-25,100000.0,100000.0,0,2.4499999999999993,1.8999999999999995,,FORCE_BUY
2013-02-26,100377.52944729688,0.0,1,2.4499999999999993,1.9999999999999996,,FORCE_BUY
2013-02-27,101057.2334642102,101057.2334642102,0,2.4499999999999993,1.9999999999999996,,FREE
2013-02-28,101057.2334642102,101057.2334642102,0,2.4499999999999993,1.9999999999999996,,FORCE_SELL
2013-03-01,101057.2334642102,101057.2334642102,0,2.1499999999999995,1.9499999999999993,,FORCE_BUY
2013-03-04,101057.2334642102,101057.2334642102,0,0.9499999999999997,2.499999999999999,,FREE
2013-03-05,101057.2334642102,101057.2334642102,0,0.9499999999999997,2.499999999999999,,FORCE_BUY
2013-03-06,101057.2334642102,101057.2334642102,0,0.19999999999999984,-0.5,,FORCE_SELL
2013-03-07,101219.5514236694,0.0,1,0.2999999999999998,-0.5,,FREE
2013-03-08,101367.10179017622,0.0,1,-0.5,-0.5,,FORCE_BUY
2013-03-11,101337.59171687487,101337.59171687487,0,2.4499999999999993,1.3999999999999995,,FORCE_SELL
2013-03-12,101308.08164357349,101308.08164357349,0,2.4499999999999993,-0.5,,FREE
2013-03-13,101308.08164357349,101308.08164357349,0,2.4499999999999993,-0.5,,FORCE_SELL
2013-03-14,101529.14961340964,0.0,1,2.4499999999999993,1.0999999999999996,,FORCE_BUY
2013-03-15,101293.34377891776,101293.34377891776,0,2.499999999999999,1.2999999999999996,,FORCE_SELL
2013-03-18,101786.92870689688,0.0,1,2.499999999999999,1.2999999999999996,,FREE
2013-03-19,101340.4948090596,0.0,1,0.8999999999999997,0.9999999999999996,,FORCE_BUY
2013-03-20,102292.88712444577,102292.88712444577,0,0.6499999999999997,0.8999999999999997,,FORCE_SELL
2013-03-21,102292.88712444577,102292.88712444577,0,-0.5,-0.5,,FORCE_SELL
2013-03-22,102636.80415468437,102636.80415468437,0,-0.5,-0.5,,FREE
2013-03-25,102457.02869856756,0.0,1,1.1999999999999997,-0.5,,FREE
2013-03-26,103011.33635492771,0.0,1,1.1999999999999997,1.6499999999999995,,FORCE_BUY
