date,chosen_action,reward_force_buy,reward_free,reward_force_sell,chosen_reward,best_action_ex_post,p_day,close
2013-02-26,FORCE_BUY,0.003775294472968817,-0.0009060706735125859,0.0,0.003775294472968817,FORCE_BUY,,66.56
2013-02-27,FREE,0.01310438319023952,0.007984636240397634,0.007984636240397634,0.007984636240397634,FORCE_BUY,,67.24
2013-02-28,FORCE_SELL,0.0,0.0,0.0,0.0,FORCE_BUY,,67.1
2013-03-01,FORCE_BUY,0.0,0.0,0.0,0.0,FORCE_BUY,,67.38
2013-03-04,FREE,0.0,0.0,0.0,0.0,FORCE_BUY,,67.68
2013-03-05,FORCE_BUY,0.0,0.0,0.0,0.0,FORCE_BUY,,68.68
2013-03-06,FORCE_SELL,0.0,0.0,0.0,0.0,FORCE_BUY,,68.51
2013-03-07,FREE,0.0013136768354984386,0.0016061983283628919,0.0,0.0016061983283628919,FREE,,68.69
2013-03-08,FORCE_BUY,-0.0013083296990842406,0.002216002958644963,0.0,-0.0013083296990842406,FREE,,68.77
2013-03-11,FORCE_SELL,0.006130491898992895,0.006129648225517639,0.002481389578163811,0.002481389578163811,FORCE_BUY,,68.97
2013-03-12,FREE,0.0007280139778683191,-0.0002912055911475574,0.0,-0.0002912055911475574,FORCE_BUY,,68.72
2013-03-13,FORCE_SELL,0.0020426028596439863,0.004893605633797517,0.0,0.0,FREE,,68.63
2013-03-14,FORCE_BUY,0.002182135583357704,0.002313063718359195,0.0,0.002182135583357704,FREE,,68.86
2013-03-15,FORCE_SELL,-0.0033488642981946678,0.0029919334032913014,0.0007280139778682248,0.0007280139778682248,FREE,,68.51
2013-03-18,FREE,0.009296148738379983,0.004872826876526306,0.0,0.004872826876526306,FORCE_BUY,,68.36
2013-03-19,FORCE_BUY,-0.003366017854529551,-0.003366017854529551,-0.003366017854529551,-0.003366017854529551,FORCE_BUY,,68.23
2013-03-20,FORCE_SELL,-0.0017518248175182555,0.0035036496350363683,0.0035036496350363683,0.0035036496350363683,FREE,,68.71
2013-03-21,FORCE_SELL,-0.0036656891495600277,-0.0036656891495600277,0.0,0.0,FORCE_SELL,,67.93
2013-03-22,FREE,0.004092968864201113,0.0026311942698435935,0.0,0.0026311942698435935,FORCE_BUY,,68.59
2013-03-25,FREE,-0.0017515691139980438,-0.0017515691139980438,0.0,-0.0017515691139980438,FORCE_SELL,,68.34
2013-03-26,FORCE_BUY,0.0030634573304158725,0.0001458789204961019,0.0001458789204961019,0.0030634573304158725,FORCE_BUY,,68.71
2013-03-27,FORCE_SELL,-0.0010177377144519617,0.00043617330619371804,0.00043617330619371804,0.00043617330619371804,FREE,,68.8
2013-03-28,FORCE_BUY,0.0,0.0,0.0,0.0,FORCE_BUY,,68.97
2013-04-01,FREE,0.0017554125219427605,0.0017554125219427605,0.0,0.0017554125219427605,FORCE_BUY,,68.5
2013-04-02,FORCE_SELL,0.006997084548105091,0.006268221574344079,0.006268221574344079,0.006268221574344079,FORCE_BUY,,69.04
2013-04-03,FORCE_BUY,-0.0031316000291312252,-0.0031316000291312252,0.0,-0.0031316000291312252,FORCE_SELL,,68.41
2013-04-04,FORCE_SELL,-0.005531295487627466,-0.003054871851221554,-0.004512372634643359,-0.004512372634643359,FREE,,68.43
2013-04-05,FREE,0.0,0.0,0.0,0.0,FORCE_BUY,,67.86
2013-04-08,FORCE_BUY,0.006331909880724467,0.006331909880724467,0.0,0.006331909880724467,FORCE_BUY,,68.22
2013-04-09,FREE,0.0033610989332162455,0.00043840420868020423,0.00043840420868020423,0.00043840420868020423,FORCE_BUY,,68.68
2013-04-10,FORCE_SELL,0.0,0.0,0.0,0.0,FORCE_BUY,,70.02
2013-04-11,FORCE_SELL,0.0,0.0,0.0,0.0,FORCE_BUY,,69.99
2013-04-12,FREE,0.0,0.0,0.0,0.0,FORCE_BUY,,69.94
2013-04-15,FORCE_SELL,-0.012374100719424467,-0.009815852599255966,0.0,0.0,FORCE_SELL,,68.56
2013-04-16,FORCE_BUY,-0.0003172222863075548,0.001413081093551759,0.0,-0.0003172222863075548,FREE,,69.47
2013-04-17,FREE,-0.012451136528159885,-0.012451136528159885,-0.012451136528159885,-0.012451136528159885,FORCE_BUY,,68.11
2013-04-18,FORCE_SELL,-0.010702243072863002,-0.010702243072863002,-0.010702243072863002,-0.010702243072863002,FORCE_BUY,,67.17
2013-04-19,FORCE_BUY,0.006358125092414704,0.007836758834836602,0.007836758834836602,0.006358125092414704,FREE,,68.09
2013-04-22,FREE,0.007180539273153693,0.01442321526001798,0.0035169988276671496,0.01442321526001798,FREE,,68.79
