date,p_day,buy_level,sell_level,chosen_action,reward_force_buy,reward_free,reward_force_sell,chosen_reward,best_action_ex_post,oracle_equity,close,buy_th_5m,sell_th_5m
2010-01-04,0.3002194057191758,0.2,0.3,FORCE_SELL,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,46.43,0.3,0.3
2010-01-05,0.30268156006446306,0.2,0.3,FORCE_SELL,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,46.35,0.3,0.3
2010-01-06,0.4063696183981011,0.2,0.3,FORCE_SELL,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,46.24,0.3,0.3
2010-01-07,0.3541576992552198,0.2,0.3,FORCE_SELL,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,46.22,0.3,0.3
2010-01-08,0.2970411289532346,0.2,0.3,FREE,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,46.54,0.3,0.3
2010-01-11,0.4011936411442992,0.2,0.3,FORCE_SELL,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,46.31,0.3,0.3
2010-01-12,0.33724986420254405,0.2,0.3,FORCE_SELL,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,45.95,0.3,0.3
2010-01-13,0.2969993229801992,0.2,0.3,FREE,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,46.37,0.3,0.3
2010-01-14,0.35106578447021075,0.2,0.3,FORCE_SELL,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,46.46,0.3,0.3
2010-01-15,0.35700943826867965,0.2,0.3,FORCE_SELL,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,45.81,0.3,0.3
2010-01-19,0.2758309705675958,0.2,0.3,FREE,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,46.55,0.3,0.3
2010-01-20,0.3313394320691119,0.2,0.3,FORCE_SELL,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,46.06,0.3,0.3
2010-01-21,0.3513014628140003,0.2,0.3,FORCE_SELL,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,45.3,0.3,0.3
