bsp_bi_amp,divergence_rate,index,is_buy,is_segbsp,kdj_k,macd_dea,macd_diff,macd_value,ppo,rsi,timestamp,type,volume,zs_cnt
1.7691626080666771,0.40530894554918234,131,True,False,,-0.16938217380723025,-0.16558465132176803,0.007595044970924447,-0.03875705143590462,48.53447084290711,2000/07/11,1,1537200.0,1
1.4507420276854122,0.42706818374779637,347,False,False,,0.18680588567733492,0.20891415281979242,0.04421653428491501,0.03417731892396416,68.01168540649442,2001/05/18,1,619200.0,1
2.1872909857807734,0.4368311052586787,1328,True,False,,-0.2754905344078598,-0.343505110005891,-0.1360291511960624,-0.03056242263484615,34.04329411767074,2005/04/18,1,3074400.0,1
4.743644330965431,1.2610653276873314,1708,False,False,,0.7529090511068051,0.9487117673281631,0.39160543244271606,0.045570906276881575,73.12839776290055,2006/10/18,1,5255200.0,1
18.490151198498697,1.1348364040989374,2023,True,False,,-1.860670509856962,-2.9451182247248298,-2.1688954297357355,-0.082390715316841,25.653931131096172,2008/01/22,1,3100600.0,1
14.256356509140346,0.43677465315864583,2957,True,False,,-0.8093711746475627,-1.4067794465029664,-1.1948165437108074,-0.022409014130276895,44.47543759482229,2011/10/04,1,5200000.0,2
13.505017587999667,0.8352304088073447,3215,True,False,,-1.223449899742635,-1.6580270642089232,-0.8691543289325763,-0.024735693035270904,27.20102087124674,2012/10/11,1,4691900.0,1
9.623426387361533,0.09094548492086924,3293,False,False,,1.7558752801256197,1.7746766659660835,0.03760277168092774,0.021626724759190155,74.12211717831383,2013/02/06,1,4058900.0,1
9.287679217859278,0.7692530404778809,3342,True,False,,-0.4628278018018282,-1.0324663514675052,-1.1392770993313541,-0.012572788870898391,33.9251703401785,2013/04/18,1,2250700.0,1
10.849819141549943,0.4821976617777324,3629,False,False,,1.2806713263941736,1.8656830372354563,1.1700234216825653,0.0165671404800625,75.4015642105387,2014/06/09,1,984500.0,3
29.005721837682643,0.8184798464683155,4546,False,False,,3.337224789931242,3.6283596890765466,0.5822697982906089,0.024224131126142683,72.20996851032253,2018/01/29,1,1289500.0,1
12.692562764267237,0.30052217036107237,4656,True,False,,-2.9850645201214627,-3.1788552050102368,-0.3875813697775481,-0.027791269781841314,26.92022327884611,2018/07/06,1,1543700.0,1
31.109729046037558,0.9237734541829797,5019,False,False,,1.5572317717075048,1.28130816488013,-0.5518472136547494,0.008183426558678618,55.71505358308815,2019/12/13,1,976800.0,2
45.089600447438414,1.1034568208665836,5333,False,False,,6.88660174525057,7.337166173441432,0.9011288563817228,0.031617702831284206,58.51722905808466,2021/03/16,1,1292800.0,2
20.171535896913895,0.21494623580206967,5618,True,False,,-2.2077988676895997,-2.4960077098979525,-0.5764176844167057,-0.013649632433384117,45.55172747652153,2022/05/02,1,1276500.0,2
19.872881444918534,0.3850215543707579,5830,False,False,,1.3525471365034591,2.151210685250163,1.597327097493408,0.009116100604494765,60.40937683920271,2023/03/07,1,1468000.0,2
77.04140627240105,0.7121970887227809,6106,False,False,,8.527593262161304,8.550281476732266,0.045376429141924746,0.03049951799278195,74.93020988974013,2024/04/11,1,631100.0,1
111.69869980026272,1.4678272837742992,6273,False,False,,10.289780953925758,10.215677794060127,-0.14820631973126197,0.028324140989135913,73.4590295091533,2024/12/09,1,1022100.0,1
124.87528454821557,1.1082163507182765,6353,True,False,,-11.096804950470688,-14.938598220799463,-7.683586540657551,-0.04670696337903538,22.598508849965313,2025/04/07,1,1903500.0,1
