date,train_start,train_end,strategy_return,signals,trades,win_rate,buy_threshold,sell_threshold,buy_hold_cum_return,strategy_cum_return
2023-02-16,2023-01-03,2023-02-13,-1.0974970515004512,27,0,0.0,0.5,2.0,0.0,0.0
2023-02-17,2023-01-03,2023-02-14,0.12315729925793661,32,0,0.0,1.75,2.25,-0.1967480882025363,0.12180565152986844
2023-02-21,2023-01-03,2023-02-15,-1.0932822013657528,39,0,0.0,2.25,2.25,-2.7656099190734427,-0.960809489419745
2023-02-22,2023-01-03,2023-02-16,0.6805730425017753,22,1,100.0,2.5,0.25,-2.2978691810825023,-0.2942447263675234
2023-02-24,2023-01-03,2023-02-21,-0.5195432852261761,36,2,50.0,2.0,-0.25,-3.816170465513391,-0.8065573106390929
2023-02-27,2023-01-03,2023-02-22,1.238185345945353,37,3,100.0,2.375,-0.25,-2.828717796421399,0.40805231321542124
2023-02-28,2023-01-03,2023-02-23,0.4226336910810202,71,2,100.0,2.5,1.25,-3.7307892196896564,0.8277721785510579
2023-03-01,2023-01-03,2023-02-24,0.2071714240634348,30,1,100.0,2.0,0.75,-4.198529957680597,1.0343848097541581
2023-03-02,2023-01-03,2023-02-27,0.5250975921511802,31,1,100.0,2.0,-0.25,-3.3335808152052717,1.559151001043574
2023-03-03,2023-01-03,2023-02-28,0.0,60,0,0.0,2.5,2.375,-0.6422154577177199,1.559151001043574
2023-03-06,2023-01-03,2023-03-01,-0.7129033858775835,41,0,0.0,1.75,2.0,-0.6793377385106556,0.842956468528655
2023-03-07,2023-01-03,2023-03-02,-1.2420912420912478,27,1,0.0,2.25,-0.25,-2.1568045140693446,-0.39597314727393496
2023-03-08,2023-01-03,2023-03-03,0.0,24,0,0.0,1.875,-0.25,-1.7113371445541592,-0.39597314727393496
2023-03-09,2023-01-03,2023-03-06,-2.5177210111007042,51,0,0.0,0.875,1.25,-3.9052639394164377,-2.876092745385563
