day,date,train_start,train_end,threshold_date,buy_threshold,sell_threshold,strategy_return,buy_hold_return,buy_hold_start_price,buy_hold_end_price,vs_buy_hold,signals,trades,win_rate,final_value,buy_signals,sell_signals,cumulative_strategy,cumulative_buy_hold
1,2022-02-17,2022-01-04,2022-02-15,2022-02-16,1.9000000000000004,1.2000000000000002,0.0,-1.6616756355121276,444.13,436.75,1.6616756355121276,35,0,0.0,10000.0,27,8,0.0,-1.6616756355121276
2,2022-02-18,2022-01-05,2022-02-16,2022-02-17,2.0,2.0,-0.02520392264688809,-0.025203922646876986,436.44,436.33,-1.1102230246251565e-14,14,1,0.0,9997.479607735311,6,8,-0.025203922646880983,-1.7562425415981853
3,2022-02-22,2022-01-06,2022-02-17,2022-02-18,1.8000000000000003,-0.5,1.277509429836754,0.7534230598773117,428.71,431.94,0.5240863699594422,56,6,66.66666666666666,10127.750942983675,34,22,1.251983524701373,-2.744691869497673
4,2022-02-23,2022-01-07,2022-02-18,2022-02-22,-0.5,1.1,-1.7833065622398503,-3.3549458916910746,433.39,418.85,1.5716393294512243,35,1,0.0,9821.669343776015,23,12,-0.5536497418926416,-5.692027109179742
5,2022-02-24,2022-01-10,2022-02-22,2022-02-23,-0.5,-0.5,3.639461057133264,2.74782273045282,414.51,425.9,0.891638326680444,20,3,66.66666666666666,10363.946105713327,18,2,3.065661448491525,-4.104654042735234
6,2022-02-25,2022-01-11,2022-02-23,2022-02-24,-0.5,-0.5,1.9033625224552209,3.5411400628381218,423.31,438.3,-1.637777540382901,42,2,100.0,10190.336252245523,13,29,5.027374622022691,-1.3126787201945378
7,2022-02-28,2022-01-12,2022-02-24,2022-02-25,-0.5,1.7000000000000002,1.3069496719243068,0.893229046142463,432.14,436.0,0.41372062578184376,34,4,75.0,10130.69496719243,11,23,6.400029550075928,-1.8305451106657933
8,2022-03-01,2022-01-13,2022-02-25,2022-02-28,1.8000000000000003,-0.5,0.8534593464452955,-1.489351936845973,435.76,429.27,2.3428112832912684,40,4,75.0,10085.345934644529,32,8,7.308110546891598,-3.345867201044739
9,2022-03-02,2022-01-14,2022-02-28,2022-03-01,1.7000000000000002,2.0,2.8243661224017114,1.8386893803453708,429.11,437.0,0.9856767420563406,26,2,100.0,10282.436612240172,14,12,10.338884467767386,-1.605385810460902
10,2022-03-03,2022-01-18,2022-03-01,2022-03-02,1.5,2.0,-0.9027521241226522,-1.8701845035323128,437.39,429.21,0.9674323794096606,49,1,0.0,9909.724787587735,15,34,9.342797844501376,-3.359376759057031
11,2022-03-04,2022-01-19,2022-03-02,2022-03-03,1.6,1.1,-0.06610812584604275,-0.12246689927674081,432.77,432.24,0.05635877343069806,39,3,66.66666666666666,9993.389187415396,18,21,9.270513370098769,-2.6771440794362
12,2022-03-07,2022-01-20,2022-03-03,2022-03-04,2.0,-0.5,0.7135737577591783,-1.8110495161138829,425.72,418.01,2.524623273873061,46,4,50.0,10071.357375775917,42,4,10.050239078476537,-5.881160921351858
13,2022-03-08,2022-01-21,2022-03-04,2022-03-07,2.0,-0.5,0.1761070298759826,-0.654450261780104,420.2,417.45,0.8305572916560866,62,5,40.0,10017.610702987598,24,38,10.244045285889044,-6.007250129466602
14,2022-03-09,2022-01-24,2022-03-07,2022-03-08,-0.5,1.2000000000000002,0.867979355881765,1.6800947867298577,422.0,429.09,-0.8121154308480927,41,3,100.0,10086.797935588176,6,35,11.200940840059516,-3.386395875081627
