day,date,buy_model_samples,sell_model_samples,buy_rmse,buy_mae,buy_r2,buy_accuracy,sell_rmse,sell_mae,sell_r2,sell_accuracy
1,2022-02-17,574,757,1.2467157573817347,1.1959054269953877,-21.28754032639979,59.25925925925925,0.37616774043540724,0.2922753374765559,0.23280184519541602,100.0
2,2022-02-18,585,740,2.030738305348889,2.0140689018003384,-429.66804943315,100.0,1.2357871025200635,1.2019460609331474,-23.628398429730936,100.0
3,2022-02-22,582,725,2.0606399306261203,2.0461651244656913,-21.957028218572496,100.0,2.88103631210442,2.5548489434617325,-4.517471443566861,100.0
4,2022-02-23,569,706,2.084647360178223,1.9074051281101994,-2.4599403910379585,100.0,3.547358595334542,3.5269823464514682,-194.3434823616058,100.0
5,2022-02-24,581,707,2.5888722528562855,2.3159780273567305,-2.589816665346256,100.0,0.7656160741465394,0.7655725268417184,-26.651613176406055,100.0
6,2022-02-25,566,690,0.8257623702557194,0.5479107830740223,-0.8547430347877811,100.0,1.7708069160584774,1.17944464555686,-10.09792884935588,100.0
7,2022-02-28,579,659,1.4750323067552902,1.2322027425474502,-3.02248672530701,81.81818181818183,2.1482424627958503,1.7433549796173256,-58.39934834038405,100.0
8,2022-03-01,584,661,1.0079948945411388,0.842676573961061,0.07507184720321702,81.25,1.8919241453850884,1.5216080948771065,-76.08843120869464,100.0
9,2022-03-02,575,651,0.5492660541042895,0.46208935525178335,0.4971861009250996,100.0,1.520312710795931,1.3912959006275611,-2.073035718256856,75.0
10,2022-03-03,573,654,1.4947264170875967,1.1606489977681242,-16.232000144725617,100.0,1.0162631220148104,0.9614074309303672,-10.730680043458552,100.0
11,2022-03-04,552,648,1.2636476268460268,1.181542100914218,-16.708719923664532,100.0,0.8987578387543212,0.6958406692531968,-5.99329575384694,100.0
12,2022-03-07,541,657,1.0038807430626813,0.8474675733326722,-1.0762420851384449,92.85714285714286,1.4570583444632244,1.3443918022746582,-2.1654500252265145,100.0
13,2022-03-08,533,654,0.5894657068610191,0.4938994129874148,0.11388273868431908,100.0,2.641065254419606,1.6445007059854442,-2.549042315162214,76.31578947368422
14,2022-03-09,532,645,0.7775542544768863,0.7137769179256791,-2.242317261131781,100.0,1.7547347035649543,1.538513315232897,-10.83750070349857,100.0
15,2022-03-10,526,671,0.5019009924969916,0.4612425782458831,-15.396796116907971,100.0,1.4566842953540111,1.3650778684148175,-18.91458575453023,100.0
16,2022-03-11,508,661,1.274292988047678,1.1019418552149849,-2.8903159534806107,75.0,1.2335856103709968,1.0930144277578089,-12.905338409224948,100.0
17,2022-03-14,517,654,0.9011235223601799,0.7553386814409645,0.4201219397603694,100.0,0.8948009498843174,0.8013981847356668,-1.0941943943708456,96.15384615384616
18,2022-03-15,509,634,1.5338471825694393,1.517865222716761,-17.651930220918608,100.0,1.1779762063806924,1.014357653805527,-12.958306953837202,65.21739130434783
