date,equity,cash,pos,qty,bucket_next,prev_reg_score,prev_reg_slope,prev_reg_above_ma,analog_sim,analog_fwd_mean,analog_fwd_winrate,flip_mode_today,flip_days_left,th_buy_today,th_sell_today,th_buy_bull,th_buy_side,th_buy_bear,th_sell_bull,th_sell_side,th_sell_bear,bucket_today,reg_score,reg_slope,reg_above_ma
2019-10-01,100000.0,100000.0,0,0.0,side,0.0018480337537601947,0.0010668516558668044,-0.0009016808092268125,0.44865316084127554,0.3271021336837906,0.5333333333333333,,0.0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,,,
2019-10-02,100000.0,100000.0,0,0.0,bear,-0.010047529745171856,0.0009001901959154777,-0.008498733555278859,0.4483766933506494,-0.07721673151151429,0.5666666666666667,,0.0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,,,
2019-10-03,100000.0,100000.0,0,0.0,side,-0.034660832639642876,0.0007168740247514366,-0.02454096980926479,0.4447031662984282,0.059190160724520734,0.5666666666666667,,0.0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,,,
2019-10-04,100000.0,100000.0,0,0.0,side,-0.01754722257746208,0.0005934071389586776,-0.012884962662892074,0.4557625161710122,0.24746338334182852,0.5,,0.0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,,,
2019-10-07,100000.0,100000.0,0,0.0,side,0.00500568367522392,0.0006043870083440887,0.0021283484334611025,0.4547365331031119,0.11684181436194792,0.5333333333333333,,0.0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,,,
2019-10-08,100000.0,100000.0,0,0.0,side,0.0014791914031328573,0.0005674258806329492,-0.00014872415917732695,0.457080292089495,0.2958879816556201,0.6333333333333333,,0.0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,,,
2019-10-09,100000.0,100000.0,0,0.0,side,-0.0199585285543693,0.0004290992595153065,-0.014163884221943479,0.4602041232720914,0.3591573801978568,0.6666666666666666,,0.0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,,,
2019-10-10,100000.0,100000.0,0,0.0,side,-0.004544246275463348,0.0004086044202324392,-0.0038467063574404436,0.4586266773764896,0.6570349784002653,0.6,,0.0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,,,
2019-10-11,100000.0,100000.0,0,0.0,side,0.007092239028955363,0.0003007986283823822,0.004126562095872144,0.45753954849718326,-0.08100121494705222,0.5,,0.0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,,,
2019-10-14,100000.0,100000.0,0,0.0,side,0.02612033813121712,0.00022940716556946403,0.01695474442300582,0.4586182387206116,0.13244771122565283,0.6,,0.0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,,,
2019-10-15,100000.0,100000.0,0,0.0,bull,0.02529644128315122,0.00021027735705588153,0.016443739474655716,0.4625294296283243,-0.29593932746875307,0.5,,0.0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,,,
2019-10-16,100000.0,100000.0,0,0.0,bull,0.04283342559940353,0.000292478044179059,0.0279706609779109,0.4582613745549615,0.31715702277258656,0.5333333333333333,,0.0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,,,
2019-10-17,100000.0,100000.0,0,0.0,bull,0.03752691547987248,0.0003306751962182329,0.024356593260811854,0.45509034994637504,-0.08604253375182892,0.5,,0.0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,,,
2019-10-18,100000.0,100000.0,0,0.0,side,0.040294840389243185,0.0004065281135189126,0.026050170699124298,0.45476821611850193,0.19811453089132236,0.5666666666666667,,0.0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,,,
2019-10-21,100000.0,100000.0,0,0.0,bull,0.025020032741328767,0.00042976389277096506,0.01582049404201058,0.45694266773472364,-0.40245145672411137,0.5333333333333333,,0.0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,,,
