side,seen_idx,exec_px,qty,fee,reason,signal_ts,signal_dir_raw,signal_dir_eff,bsp_type,pred_ret,ret_th,bucket,flip_mode,analog_sim,analog_fwd_mean,pnl,entry_px,entry_idx
buy,11705,212.42,470.76546464551365,0.0,OPEN_LONG pred_ret=2.12% [bull] eff=buy raw=buy,2020/01/06 04:00,buy,buy,1,2.115910291671753,1.6999999999999993,bull,,0.45493218482711606,0.6775440289808258,,,
sell,11891,215.91,470.76546464551365,0.0,CLOSE_LONG pred_ret=1.13% [bull] eff=sell raw=sell,2020/01/07 04:00,sell,sell,1p,1.1258147954940796,0.9999999999999996,bull,,0.45473807553999923,1.3540045320371565,1642.971471612847,212.42,11705.0
buy,11923,215.6,471.4423537644381,0.0,OPEN_LONG pred_ret=1.86% [bull] eff=buy raw=buy,2020/01/07 06:45,buy,buy,1p,1.860548973083496,1.6999999999999993,bull,,0.45473807553999923,1.3540045320371565,,,
sell,11934,215.92,471.4423537644381,0.0,CLOSE_LONG pred_ret=1.42% [bull] eff=sell raw=sell,2020/01/07 07:40,sell,sell,2s,1.4182270765304565,0.9999999999999996,bull,,0.45473807553999923,1.3540045320371565,150.86155320461697,215.6,11923.0
buy,11944,215.53,472.2954253459726,0.0,OPEN_LONG pred_ret=1.87% [bull] eff=buy raw=buy,2020/01/07 08:30,buy,buy,2,1.8712774515151978,1.6999999999999993,bull,,0.45473807553999923,1.3540045320371565,,,
sell,12096,215.24,472.2954253459726,0.0,CLOSE_LONG pred_ret=1.57% [bull] eff=sell raw=sell,2020/01/08 05:15,sell,sell,3a,1.5659089088439941,-0.5,bull,,0.4499558263607815,0.7050545967464409,-136.9656733503283,215.53,11944.0
buy,12651,219.41,463.3192076544695,0.0,OPEN_LONG pred_ret=1.83% [bull] eff=buy raw=buy,2020/01/13 06:15,buy,buy,2,1.830689787864685,1.4999999999999996,bull,,0.4548657974155291,-0.2749400111500293,,,
sell,12668,219.21,463.3192076544695,0.0,CLOSE_LONG pred_ret=1.47% [bull] eff=sell raw=sell,2020/01/13 07:45,sell,sell,2s,1.4711754322052002,1.2999999999999996,bull,,0.4548657974155291,-0.2749400111500293,-92.66384153088863,219.41,12651.0
buy,12682,219.25,463.234679634829,0.0,OPEN_LONG pred_ret=1.71% [bull] eff=buy raw=buy,2020/01/13 08:55,buy,buy,2s,1.7091190814971924,1.4999999999999996,bull,,0.4548657974155291,-0.2749400111500293,,,
sell,12791,221.15,463.234679634829,0.0,CLOSE_LONG pred_ret=1.39% [bull] eff=sell raw=sell,2020/01/13 18:05,sell,sell,1p,1.3868215084075928,1.2999999999999996,bull,,0.4548657974155291,-0.2749400111500293,880.1458913061776,219.25,12682.0
buy,13048,220.21,465.21206757750525,0.0,OPEN_LONG pred_ret=1.66% [bull] eff=buy raw=buy,2020/01/15 08:40,buy,buy,2,1.6590040922164917,1.5999999999999996,bull,,0.45425616830289356,0.02682831274785604,,,
sell,13059,220.7,465.21206757750525,0.0,CLOSE_LONG pred_ret=0.60% [bull] eff=sell raw=sell,2020/01/15 09:35,sell,sell,2s,0.5960869193077087,0.5499999999999998,bull,,0.45425616830289356,0.02682831274785604,227.9539131129686,220.21,13048.0
