side,seen_idx,exec_px,qty,fee,reason,signal_ts,signal_dir,bsp_type,pred_ret,ret_th,bucket_key,trend_bucket,state_bucket,dd60,ret10,vol20,dist60,pnl,entry_px,entry_idx
buy,11681,150.37,665.0262685376072,0.0,OPEN_LONG pred_ret=3.77% [bear__pullback],2019/01/02 04:00,buy,1,3.770571231842041,0.9999999999999996,bear__pullback,bear,pullback,-0.15418357276017114,-0.04233921033027077,0.023514832702943335,0.18228964086607036,,,
sell,11746,150.99,665.0262685376072,0.0,CLOSE_LONG pred_ret=3.24% [bear__pullback],2019/01/02 09:25,sell,3a,3.2418229579925537,-0.5,bear__pullback,bear,pullback,-0.15418357276017114,-0.04233921033027077,0.023514832702943335,0.18228964086607036,412.31628649331947,150.37,11681.0
buy,11776,153.7,653.3006915191497,0.0,OPEN_LONG pred_ret=2.92% [bear__pullback],2019/01/02 11:55,buy,2,2.921757698059082,0.9999999999999996,bear__pullback,bear,pullback,-0.15418357276017114,-0.04233921033027077,0.023514832702943335,0.18228964086607036,,,
sell,11786,154.58,653.3006915191497,0.0,CLOSE_LONG pred_ret=4.61% [bear__pullback],2019/01/02 12:45,sell,1p,4.606980800628662,-0.5,bear__pullback,bear,pullback,-0.15418357276017114,-0.04233921033027077,0.023514832702943335,0.18228964086607036,574.9046085368674,153.7,11776.0
buy,11813,154.71,652.7517348266445,0.0,OPEN_LONG pred_ret=2.53% [bear__pullback],2019/01/02 15:00,buy,2s,2.529378890991211,0.9999999999999996,bear__pullback,bear,pullback,-0.15418357276017114,-0.04233921033027077,0.023514832702943335,0.18228964086607036,,,
sell,11864,151.45,652.7517348266445,0.0,CLOSE_LONG pred_ret=2.99% [bear__pullback],2019/01/02 19:15,sell,2,2.9909801483154297,-0.5,bear__pullback,bear,pullback,-0.15418357276017114,-0.04233921033027077,0.023514832702943335,0.18228964086607036,-2127.9706555348735,154.71,11813.0
buy,11879,150.76,655.7392560327361,0.0,OPEN_LONG pred_ret=3.19% [bear__pullback],2019/01/03 04:30,buy,1p,3.1892218589782715,-0.5,bear__pullback,bear,pullback,-0.14027199555925618,-0.01619767515721282,0.023444036834665224,0.16315857438016534,,,
sell,11894,150.92,655.7392560327361,0.0,CLOSE_LONG pred_ret=3.40% [bear__pullback],2019/01/03 05:45,sell,2s,3.3988847732543945,-0.5,bear__pullback,bear,pullback,-0.14027199555925618,-0.01619767515721282,0.023444036834665224,0.16315857438016534,104.91828096523554,150.76,11879.0
buy,11899,150.6,657.1325930973475,0.0,OPEN_LONG pred_ret=3.09% [bear__pullback],2019/01/03 06:10,buy,2,3.0871384143829346,-0.5,bear__pullback,bear,pullback,-0.14027199555925618,-0.01619767515721282,0.023444036834665224,0.16315857438016534,,,
sell,11910,151.48,657.1325930973475,0.0,CLOSE_LONG pred_ret=3.40% [bear__pullback],2019/01/03 07:05,sell,2s,3.4013559818267822,-0.5,bear__pullback,bear,pullback,-0.14027199555925618,-0.01619767515721282,0.023444036834665224,0.16315857438016534,578.2766819256627,150.6,11899.0
buy,11947,150.83,659.9644977947768,0.0,OPEN_LONG pred_ret=2.89% [bear__pullback],2019/01/03 10:10,buy,2s,2.8925342559814453,-0.5,bear__pullback,bear,pullback,-0.14027199555925618,-0.01619767515721282,0.023444036834665224,0.16315857438016534,,,
sell,11957,151.25,659.9644977947768,0.0,CLOSE_LONG pred_ret=2.94% [bear__pullback],2019/01/03 11:00,sell,2,2.9371659755706787,-0.5,bear__pullback,bear,pullback,-0.14027199555925618,-0.01619767515721282,0.023444036834665224,0.16315857438016534,277.185089073798,150.83,11947.0
buy,12007,149.76,666.530650984642,0.0,OPEN_LONG pred_ret=3.66% [bear__pullback],2019/01/03 15:10,buy,1p,3.661219596862793,-0.5,bear__pullback,bear,pullback,-0.14027199555925618,-0.01619767515721282,0.023444036834665224,0.16315857438016534,,,
sell,12065,151.6,666.530650984642,0.0,CLOSE_LONG pred_ret=3.86% [bear__downtrend],2019/01/04 04:00,sell,2s,3.8599483966827393,-0.5,bear__downtrend,bear,downtrend,-0.16595223515003066,-0.05428607499053151,0.023683799777346106,0.19897209985315722,1226.4163978117435,149.76,12007.0
buy,12107,152.17,664.0339534025875,0.0,OPEN_LONG pred_ret=2.24% [bear__downtrend],2019/01/04 07:30,buy,2s,2.2429211139678955,2.1999999999999993,bear__downtrend,bear,downtrend,-0.16595223515003066,-0.05428607499053151,0.023683799777346106,0.19897209985315722,,,
