date,equity,cash,pos,qty,bucket_key_today,bucket_key_next,trend_score_prev,dd60_prev,dist60_prev,ret10_prev,vol20_prev,above_ma10_prev,th_buy_today,th_sell_today
2018-10-01,100000.0,100000.0,0,0.0,bull__breakout,bull__breakout,0.03366435812406658,-0.005087287137196195,0.005113299962323126,0.009783140388064382,0.007206623446599564,0.010150987097861552,0.3,0.3
2018-10-02,100000.0,100000.0,0,0.0,bull__breakout,bull__breakout,0.035626041610878914,-0.0030523722823178057,0.00306171778482045,0.026635050181978537,0.007216519895757559,0.009565849267377358,0.3,0.3
2018-10-03,100000.0,100000.0,0,0.0,bull__breakout,bull__breakout,0.03118935005103936,-0.0053014887008675515,0.005329744279946258,0.01591555458324212,0.007168718708194377,0.005701229581422496,0.3,0.3
2018-10-04,100000.0,100000.0,0,0.0,bull__breakout,side__downtrend,0.03199006756464697,-0.0042304808825105455,0.004248453885453252,0.01778872468527637,0.006493315506270712,0.0050156197641362255,0.3,0.3
2018-10-05,100000.0,100000.0,0,0.0,side__downtrend,side__downtrend,0.002580212577784114,-0.02334797044018433,0.02390613005812048,-0.012667821567778237,0.007604744087188155,-0.0130311492088232,0.3,0.3
2018-10-08,100000.0,100000.0,0,0.0,side__downtrend,side__downtrend,-0.016036878609979086,-0.035289707614865606,0.03658062725506528,-0.019378368080126274,0.008055946757666856,-0.0232172291142535,0.3,0.3
2018-10-09,100000.0,100000.0,0,0.0,side__downtrend,side__downtrend,-0.025720918468287488,-0.04118025061582953,0.042948896956157556,-0.0263200826581107,0.008111299851001171,-0.02662709026463994,0.3,0.3
2018-10-10,100000.0,100000.0,0,0.0,side__downtrend,bear__downtrend,-0.022056165600112698,-0.03807432794259402,0.03958136168791415,-0.024492234169653515,0.007926924781137741,-0.021073914014943074,0.3,0.3
2018-10-11,100000.0,100000.0,0,0.0,bear__downtrend,bear__downtrend,-0.08707986737506568,-0.08037913676769848,0.08740464682932525,-0.06805231453844918,0.01247890448796634,-0.05768671499042488,0.3,0.3
2018-10-12,100000.0,100000.0,0,0.0,bear__downtrend,bear__downtrend,-0.10449371609855757,-0.09178537003320131,0.10106132075471708,-0.08733788946886945,0.012213326108236071,-0.061012069538257,0.3,0.3
2018-10-15,100000.0,100000.0,0,0.0,bear__downtrend,bear__downtrend,-0.06547969637066846,-0.06650958551997432,0.07124827902707676,-0.061736369018784654,0.014155717841913284,-0.028711839663905003,0.3,0.3
2018-10-16,100000.0,100000.0,0,0.0,bear__downtrend,bear__downtrend,-0.08242095888671115,-0.07780871800364142,0.08437372974856272,-0.07498522855454681,0.01406386926609108,-0.032946422053381386,0.3,0.3
2018-10-17,100000.0,100000.0,0,0.0,bear__downtrend,bear__pullback,-0.04093582945484051,-0.05097997215379679,0.053718541925290575,-0.04592193808882905,0.015589789128849165,-2.2570306504654525e-05,0.3,0.3
2018-10-18,100000.0,100000.0,0,0.0,bear__pullback,bear__downtrend,-0.040034408206096446,-0.05060511941737189,0.05330249873089299,-0.04657165904813121,0.015594605101641672,0.005284704975107468,0.3,0.3
2018-10-19,100000.0,100000.0,0,0.0,bear__downtrend,bear__downtrend,-0.07316920446195364,-0.0726143300846096,0.07830003464603297,-0.050444127645575154,0.01603011408827137,-0.01287064376018865,0.3,0.3
2018-10-22,100000.0,100000.0,0,0.0,bear__downtrend,bear__downtrend,-0.07369656642456514,-0.07347113633929525,0.07929719107617617,-0.039578129336663825,0.016026952254756262,-0.009758191443697162,0.3,0.3
2018-10-23,100000.0,100000.0,0,0.0,bear__downtrend,bear__downtrend,-0.0657065747361509,-0.06870515154760637,0.0737737910413434,-0.02870706506562426,0.016106451996814767,-0.0017277898640154499,0.3,0.3
