side,seen_idx,exec_px,qty,fee,reason,ts,p_day,pred,th,gate,pnl,entry_px,entry_idx
buy,91478,150.37,665.0262685376072,0.0,5m BUY signal,2019-01-02 04:00:00,0.1940981729505374,4.254106521606445,-0.5,FREE,,,
sell,91543,150.99,665.0262685376072,0.0,5m SELL signal,2019-01-02 09:25:00,0.1940981729505374,2.2633514404296875,-0.5,FREE,412.31628649331947,150.37,91478.0
buy,91573,153.7,653.3006915191497,0.0,5m BUY signal,2019-01-02 11:55:00,0.1940981729505374,5.1784281730651855,-0.5,FREE,,,
sell,91583,154.58,653.3006915191497,0.0,5m SELL signal,2019-01-02 12:45:00,0.1940981729505374,3.8364970684051514,-0.5,FREE,574.9046085368674,153.7,91573.0
buy,91610,154.71,652.7517348266445,0.0,5m BUY signal,2019-01-02 15:00:00,0.1940981729505374,4.147114276885986,-0.5,FREE,,,
sell,91661,151.45,652.7517348266445,0.0,5m SELL signal,2019-01-02 19:15:00,0.1940981729505374,3.172619104385376,-0.5,FREE,-2127.9706555348735,154.71,91610.0
buy,91676,150.76,655.7392560327361,0.0,BANDIT_FORCE_BUY->first acceptable 5m signal,2019-01-03 04:30:00,0.21352434071151505,3.8540968894958496,-0.5,FORCE_BUY,,,
sell,91862,151.6,655.7392560327361,0.0,BANDIT_FORCE_SELL->first acceptable 5m signal,2019-01-04 04:00:00,0.20643329128066681,6.17165470123291,-0.5,FORCE_SELL,550.8209750675005,150.76,91676.0
buy,92052,156.19,636.4688598153709,0.0,5m BUY signal,2019-01-07 04:20:00,0.23204176521724362,3.2928338050842285,-0.5,FREE,,,
sell,92061,156.23,636.4688598153709,0.0,5m SELL signal,2019-01-07 05:10:00,0.23204176521724362,6.771157741546631,-0.5,FREE,25.458754392609773,156.19,92052.0
buy,92066,156.17,636.7133890565115,0.0,5m BUY signal,2019-01-07 05:35:00,0.23204176521724362,3.965336322784424,-0.5,FREE,,,
sell,92084,156.16,636.7133890565115,0.0,5m SELL signal,2019-01-07 07:15:00,0.23204176521724362,5.510961532592773,-0.5,FREE,-6.367133890559324,156.17,92066.0
buy,92101,156.12,636.8765234118936,0.0,5m BUY signal,2019-01-07 08:40:00,0.23204176521724362,2.8394083976745605,-0.5,FREE,,,
sell,92123,157.4231,636.8765234118936,0.0,5m SELL signal,2019-01-07 10:30:00,0.23204176521724362,4.65113639831543,-0.5,FREE,829.9137976580389,156.12,92101.0
buy,92274,159.03,630.4412792097269,0.0,BANDIT_FORCE_BUY->first acceptable 5m signal,2019-01-08 07:40:00,0.2605923883519706,3.6583824157714844,-0.5,FORCE_BUY,,,
sell,92421,160.1,630.4412792097269,0.0,BANDIT_FORCE_SELL->first acceptable 5m signal,2019-01-09 04:10:00,0.29741785453127917,5.640469074249268,-0.5,FORCE_SELL,674.5721687544035,159.03,92274.0
buy,92813,160.71,628.0483404982717,0.0,BANDIT_FORCE_BUY->first acceptable 5m signal,2019-01-11 05:35:00,0.21026356364512,2.8294737339019775,-0.5,FORCE_BUY,,,
sell,93003,158.97,628.0483404982717,0.0,5m SELL signal,2019-01-14 06:30:00,0.2848439312378784,5.054344654083252,-0.5,FREE,-1092.8041124669985,160.71,92813.0
buy,93039,158.73,628.9979505387151,0.0,5m BUY signal,2019-01-14 09:30:00,0.2848439312378784,3.044732093811035,2.4499999999999993,FREE,,,
sell,93048,159.4399,628.9979505387151,0.0,5m SELL signal,2019-01-14 10:15:00,0.2848439312378784,6.485602378845215,-0.5,FREE,446.52564508743677,158.73,93039.0
buy,93114,159.37,629.2738302948966,0.0,5m BUY signal,2019-01-14 15:45:00,0.2848439312378784,3.245682716369629,2.4499999999999993,FREE,,,
sell,93149,159.37,629.2738302948966,0.0,5m SELL signal,2019-01-14 19:00:00,0.2848439312378784,6.318971633911133,-0.5,FREE,0.0,159.37,93114.0
buy,93170,159.68,628.0521689259623,0.0,5m BUY signal,2019-01-15 04:50:00,0.2513045780324487,1.6960456371307373,1.2499999999999996,FREE,,,
sell,93179,159.92,628.0521689259623,0.0,5m SELL signal,2019-01-15 05:50:00,0.2513045780324487,2.5894815921783447,2.499999999999999,FREE,150.73252054221882,159.68,93170.0
buy,93191,159.78,628.6024712394535,0.0,5m BUY signal,2019-01-15 06:50:00,0.2513045780324487,1.6851677894592285,1.2499999999999996,FREE,,,
sell,93223,160.42,628.6024712394535,0.0,5m SELL signal,2019-01-15 09:30:00,0.2513045780324487,2.6725761890411377,2.499999999999999,FREE,402.30558159324164,159.78,93191.0
buy,93264,162.26,621.4742292384637,0.0,5m BUY signal,2019-01-15 12:55:00,0.2513045780324487,1.6981103420257568,1.2499999999999996,FREE,,,
sell,93269,162.33,621.4742292384637,0.0,5m SELL signal,2019-01-15 13:20:00,0.2513045780324487,2.676218032836914,2.499999999999999,FREE,43.50319604670589,162.26,93264.0
buy,93283,161.57,624.3975467740288,0.0,5m BUY signal,2019-01-15 14:30:00,0.2513045780324487,1.6090247631072998,1.2499999999999996,FREE,,,
sell,93290,162.2,624.3975467740288,0.0,5m SELL signal,2019-01-15 15:05:00,0.2513045780324487,2.571321964263916,2.499999999999999,FREE,393.3704544676353,161.57,93283.0
buy,93339,162.19,624.4360446806058,0.0,5m BUY signal,2019-01-15 19:15:00,0.2513045780324487,1.415420651435852,1.2499999999999996,FREE,,,
sell,93449,162.75,624.4360446806058,0.0,BANDIT_FORCE_SELL->first acceptable 5m signal,2019-01-16 12:50:00,0.3337762206219437,2.3834471702575684,2.1999999999999993,FORCE_SELL,349.6841850211407,162.19,93339.0
buy,93533,161.35,629.8541448513704,0.0,BANDIT_FORCE_BUY->first acceptable 5m signal,2019-01-17 04:00:00,0.28336010294456343,1.886953592300415,1.2499999999999996,FORCE_BUY,,,
sell,93774,164.34,629.8541448513704,0.0,5m SELL signal,2019-01-18 08:55:00,0.21131776869547828,2.5929524898529053,1.7999999999999994,FREE,1883.2638931056033,161.35,93533.0
buy,93933,163.51,633.0513740130525,0.0,BANDIT_FORCE_BUY->first acceptable 5m signal,2019-01-22 06:15:00,0.2626259263937032,1.9930390119552612,1.6499999999999995,FORCE_BUY,,,
sell,94231,162.18,633.0513740130525,0.0,BANDIT_FORCE_SELL->first acceptable 5m signal,2019-01-23 15:55:00,0.2612037704748023,2.57871413230896,2.499999999999999,FORCE_SELL,-841.9583274373498,163.51,93933.0
buy,94704,162.87,630.3694470279171,0.0,BANDIT_FORCE_BUY->first acceptable 5m signal,2019-01-28 09:20:00,0.19644084232231496,2.6999995708465576,2.3999999999999995,FORCE_BUY,,,
sell,94846,162.94,630.3694470279171,0.0,5m SELL signal,2019-01-29 05:15:00,0.2852052356203385,2.529144287109375,2.4499999999999993,FREE,44.125861291949896,162.87,94704.0
buy,94899,162.868,630.6481181001105,0.0,5m BUY signal,2019-01-29 09:45:00,0.2852052356203385,2.4772956371307373,2.349999999999999,FREE,,,
sell,94984,162.6,630.6481181001105,0.0,5m SELL signal,2019-01-29 16:50:00,0.2852052356203385,2.7670071125030518,2.4499999999999993,FREE,-169.01369565083004,162.868,94899.0
buy,95403,167.72,611.3962795318266,0.0,5m BUY signal,2019-02-01 04:15:00,0.3413846052253415,1.0729796886444092,-0.5,FREE,,,
sell,95414,167.65,611.3962795318266,0.0,5m SELL signal,2019-02-01 05:10:00,0.3413846052253415,3.047520160675049,-0.5,FREE,-42.797739567223694,167.72,95403.0
buy,95430,167.49,611.9803347275105,0.0,5m BUY signal,2019-02-01 06:35:00,0.3413846052253415,0.7419160604476929,-0.5,FREE,,,
sell,95638,168.08,611.9803347275105,0.0,BANDIT_FORCE_SELL->first acceptable 5m signal,2019-02-04 09:45:00,0.24294841610770432,3.2990076541900635,-0.5,FORCE_SELL,361.06839748923323,167.49,95430.0
buy,95783,169.27,607.6779976428189,0.0,5m BUY signal,2019-02-05 07:05:00,0.22133968736599752,2.7437641620635986,-0.5,FREE,,,
sell,95790,169.48,607.6779976428189,0.0,5m SELL signal,2019-02-05 07:40:00,0.22133968736599752,3.1200742721557617,2.499999999999999,FREE,127.61237950497954,169.27,95783.0
buy,95846,170.47,604.148923801871,0.0,5m BUY signal,2019-02-05 12:20:00,0.22133968736599752,2.5632917881011963,-0.5,FREE,,,
sell,95864,170.3913,604.148923801871,0.0,5m SELL signal,2019-02-05 13:50:00,0.22133968736599752,3.88299822807312,2.499999999999999,FREE,-47.5465203032059,170.47,95846.0
buy,95890,170.73,602.9503925508214,0.0,5m BUY signal,2019-02-05 16:00:00,0.22133968736599752,2.2743818759918213,-0.5,FREE,,,
sell,95932,170.87,602.9503925508214,0.0,5m SELL signal,2019-02-05 19:35:00,0.22133968736599752,3.6988744735717773,2.499999999999999,FREE,84.41305495712392,170.73,95890.0
buy,95938,170.34,604.8264269998759,0.0,BANDIT_FORCE_BUY->first acceptable 5m signal,2019-02-06 04:10:00,0.25426834406257,2.8508810997009277,-0.5,FORCE_BUY,,,
sell,96231,167.92,604.8264269998759,0.0,5m SELL signal,2019-02-07 13:30:00,0.23392708511578744,3.3359735012054443,-0.5,FREE,-1463.6799533397093,170.34,95938.0
buy,96237,167.7,605.6198784843123,0.0,5m BUY signal,2019-02-07 14:00:00,0.23392708511578744,3.1642706394195557,2.4499999999999993,FREE,,,
sell,96257,168.02,605.6198784843123,0.0,5m SELL signal,2019-02-07 15:40:00,0.23392708511578744,3.128789186477661,-0.5,FREE,193.798361114993,167.7,96237.0
buy,96284,167.87,606.1610292663022,0.0,5m BUY signal,2019-02-07 18:00:00,0.23392708511578744,3.4056990146636963,2.4499999999999993,FREE,,,
sell,96383,167.39,606.1610292663022,0.0,BANDIT_FORCE_SELL->first acceptable 5m signal,2019-02-08 10:40:00,0.14763595989853032,2.286442279815674,-0.5,FORCE_SELL,-290.95729404783606,167.87,96284.0
buy,96503,169.24,599.5349485280449,0.0,BANDIT_FORCE_BUY->first acceptable 5m signal,2019-02-11 05:55:00,0.2222898197277975,3.3590586185455322,-0.5,FORCE_BUY,,,
sell,96663,169.62,599.5349485280449,0.0,5m SELL signal,2019-02-12 04:00:00,0.16771585925570665,3.5537686347961426,2.499999999999999,FREE,227.82328044065432,169.24,96503.0
buy,97215,170.51,596.4055947998768,0.0,BANDIT_FORCE_BUY->first acceptable 5m signal,2019-02-15 04:00:00,0.12289569407673427,0.9652597308158875,0.7999999999999998,FORCE_BUY,,,
sell,97391,172.18,596.4055947998768,0.0,5m SELL signal,2019-02-19 04:00:00,0.11491328729643903,4.216492176055908,-0.5,FREE,995.9973433158037,170.51,97215.0
buy,97411,171.61,598.3865468949524,0.0,5m BUY signal,2019-02-19 06:25:00,0.11491328729643903,0.9274490475654602,0.8999999999999997,FREE,,,
sell,97474,172.59,598.3865468949524,0.0,5m SELL signal,2019-02-19 11:45:00,0.11491328729643903,4.003573894500732,-0.5,FREE,586.4188159570473,171.61,97411.0
buy,97489,172.4,599.0460216276093,0.0,5m BUY signal,2019-02-19 13:00:00,0.11491328729643903,0.9082432389259338,0.8999999999999997,FREE,,,
sell,97502,172.51,599.0460216276093,0.0,5m SELL signal,2019-02-19 14:05:00,0.11491328729643903,3.5792646408081055,-0.5,FREE,65.89506237902818,172.4,97489.0
buy,97524,172.28,599.8457696249064,0.0,5m BUY signal,2019-02-19 15:55:00,0.11491328729643903,1.3976951837539673,0.8999999999999997,FREE,,,
sell,97556,172.28,599.8457696249064,0.0,5m SELL signal,2019-02-19 19:05:00,0.11491328729643903,4.185112476348877,-0.5,FREE,0.0,172.28,97524.0
buy,97568,172.05,600.6476558615453,0.0,BANDIT_FORCE_BUY->first acceptable 5m signal,2019-02-20 04:30:00,0.11773201687084768,0.8627004027366638,0.5499999999999998,FORCE_BUY,,,
sell,97744,172.77,600.6476558615453,0.0,BANDIT_FORCE_SELL->first acceptable 5m signal,2019-02-21 05:00:00,0.12177058991483307,3.329916000366211,2.4499999999999993,FORCE_SELL,432.466312220312,172.05,97568.0
buy,98001,172.67,600.9955145838837,0.0,5m BUY signal,2019-02-22 12:15:00,0.08783245604030825,1.3990145921707153,1.0999999999999996,FREE,,,
sell,98359,173.75,600.9955145838837,0.0,BANDIT_FORCE_SELL->first acceptable 5m signal,2019-02-26 11:30:00,0.14113990321774594,2.5879130363464355,2.4499999999999993,FORCE_SELL,649.075155750602,172.67,98001.0
buy,98524,172.8,604.2995987207743,0.0,BANDIT_FORCE_BUY->first acceptable 5m signal,2019-02-27 09:55:00,0.13028877935557473,1.028123378753662,0.9999999999999996,FORCE_BUY,,,
sell,98692,173.23,604.2995987207743,0.0,5m SELL signal,2019-02-28 08:35:00,0.1497689728107904,2.800905227661133,0.9999999999999996,FREE,259.8488274499199,172.8,98524.0
buy,98703,173.19,604.4391678872898,0.0,5m BUY signal,2019-02-28 09:30:00,0.1497689728107904,1.6136579513549805,1.1499999999999997,FREE,,,
sell,98704,173.36,604.4391678872898,0.0,5m SELL signal,2019-02-28 09:35:00,0.1497689728107904,3.055190086364746,0.9999999999999996,FREE,102.7546585408489,173.19,98703.0
buy,98763,173.3266,604.5556431900272,0.0,5m BUY signal,2019-02-28 14:30:00,0.1497689728107904,1.373854398727417,1.1499999999999997,FREE,,,
sell,98776,173.43,604.5556431900272,0.0,5m SELL signal,2019-02-28 15:35:00,0.1497689728107904,2.285306453704834,0.9999999999999996,FREE,62.511053505844885,173.3266,98763.0
buy,99089,174.41,601.1586789659218,0.0,5m BUY signal,2019-03-04 11:05:00,0.17874795060186663,0.6138618588447571,0.5999999999999996,FREE,,,
sell,99116,173.4,601.1586789659218,0.0,5m SELL signal,2019-03-04 13:20:00,0.17874795060186663,2.85591721534729,1.6999999999999993,FREE,-607.1702657555755,174.41,99089.0
buy,100701,177.14,588.4662692372748,0.0,BANDIT_FORCE_BUY->first acceptable 5m signal,2019-03-15 09:10:00,0.15969006076213527,0.5293101668357849,0.44999999999999973,FORCE_BUY,,,
