date,action,p_day
2014-06-02,FORCE_BUY,0.5
2014-06-03,FREE,0.5
2014-06-04,FORCE_SELL,0.5
2014-06-05,FORCE_BUY,0.5
2014-06-06,FREE,0.5
2014-06-09,FORCE_SELL,0.5
2014-06-10,FORCE_BUY,0.5
2014-06-11,FORCE_SELL,0.5
2014-06-12,FREE,0.5
2014-06-13,FORCE_BUY,0.5
2014-06-16,FORCE_SELL,0.5
2014-06-17,FREE,0.5
2014-06-18,FORCE_BUY,0.5
2014-06-19,FORCE_SELL,0.5
2014-06-20,FREE,0.5
2014-06-23,FORCE_BUY,0.5
2014-06-24,FREE,0.5
2014-06-25,FORCE_BUY,0.5
2014-06-26,FORCE_SELL,0.5
2014-06-27,FREE,0.5
2014-06-30,FORCE_BUY,0.5
2014-07-01,FORCE_SELL,0.5
2014-07-02,FREE,0.5
2014-07-03,FORCE_BUY,0.5
2014-07-07,FORCE_SELL,0.5
2014-07-08,FREE,0.5
2014-07-09,FORCE_BUY,0.5
2014-07-10,FORCE_SELL,0.5
2014-07-11,FREE,0.5
2014-07-14,FORCE_BUY,0.5
2014-07-15,FREE,0.5
2014-07-16,FORCE_SELL,0.5
2014-07-17,FORCE_BUY,0.5
2014-07-18,FREE,0.5
2014-07-21,FORCE_BUY,0.5
2014-07-22,FORCE_SELL,0.5
2014-07-23,FORCE_SELL,0.5
2014-07-24,FORCE_BUY,0.5
2014-07-25,FREE,0.5
2014-07-28,FREE,0.5
2014-07-29,FORCE_SELL,0.5
2014-07-30,FORCE_BUY,0.5
2014-07-31,FREE,0.5
2014-08-01,FORCE_BUY,0.5
2014-08-04,FORCE_SELL,0.5
2014-08-05,FORCE_SELL,0.5
2014-08-06,FREE,0.5
2014-08-07,FORCE_BUY,0.5
2014-08-08,FORCE_SELL,0.5
2014-08-11,FREE,0.5
2014-08-12,FORCE_SELL,0.5
2014-08-13,FORCE_BUY,0.5
2014-08-14,FREE,0.5
2014-08-15,FORCE_SELL,0.5
2014-08-18,FREE,0.5
2014-08-19,FORCE_BUY,0.5
2014-08-20,FORCE_SELL,0.5
2014-08-21,FREE,0.5
2014-08-22,FORCE_BUY,0.5
2014-08-25,FORCE_SELL,0.5
2014-08-26,FREE,0.5
2014-08-27,FORCE_SELL,0.5
2014-08-28,FORCE_BUY,0.5
2014-08-29,FREE,0.5
2014-09-02,FORCE_BUY,0.5
2014-09-03,FORCE_SELL,0.5
2014-09-04,FORCE_BUY,0.5
2014-09-05,FREE,0.5
2014-09-08,FORCE_SELL,0.5
2014-09-09,FORCE_BUY,0.5
2014-09-10,FREE,0.5
2014-09-11,FORCE_SELL,0.5
2014-09-12,FORCE_SELL,0.5
2014-09-15,FREE,0.5
