window_start,window_end,window_range,data_points,trade_count,win_rate,ml_return,bh_return,outperformance,max_drawdown,sharpe_ratio
0.0,20.0,2024-10-30 to 2024-11-11,287,1,100.0,3.1049493872270517,2.7010309278350464,0.4039184593920053,1.2208907981008368,0.0
5.0,25.0,2024-11-04 to 2024-11-13,288,0,0.0,0.0,4.580606781677576,-4.580606781677576,0.0,0.0
10.0,30.000000000000004,2024-11-05 to 2024-11-15,288,0,0.0,0.0,1.7305958243740038,-1.7305958243740038,0.0,0.0
15.000000000000002,35.0,2024-11-07 to 2024-11-19,287,0,0.0,0.0,-1.302747334831733,1.302747334831733,0.0,0.0
20.0,40.0,2024-11-11 to 2024-11-21,287,0,0.0,0.0,-1.7048971875052499,1.7048971875052499,0.0,0.0
25.0,45.0,2024-11-13 to 2024-11-25,287,0,0.0,0.0,0.49812991630748815,-0.49812991630748815,0.0,0.0
30.000000000000004,50.0,2024-11-15 to 2024-11-27,287,0,0.0,0.0,2.2301189624024387,-2.2301189624024387,0.0,0.0
35.0,55.00000000000001,2024-11-19 to 2024-12-02,288,0,0.0,0.0,2.667335555404393,-2.667335555404393,0.0,0.0
40.0,60.00000000000001,2024-11-21 to 2024-12-04,288,0,0.0,0.0,3.319205433283967,-3.319205433283967,0.0,0.0
45.0,65.0,2024-11-25 to 2024-12-06,288,0,0.0,0.0,1.3493678486840022,-1.3493678486840022,0.0,0.0
50.0,70.0,2024-11-27 to 2024-12-10,287,0,0.0,0.0,0.710173192645569,-0.710173192645569,0.0,0.0
55.00000000000001,75.0,2024-12-02 to 2024-12-16,287,0,0.0,0.0,0.29841343523597796,-0.29841343523597796,0.0,0.0
60.00000000000001,80.0,2024-12-04 to 2024-12-18,287,0,0.0,0.0,-0.21488732823421453,0.21488732823421453,0.0,0.0
65.0,85.00000000000001,2024-12-06 to 2024-12-19,287,1,0.0,-0.3915374145087469,-3.78351245042049,3.391975035911743,2.0493110219700807,0.0
70.0,90.00000000000001,2024-12-10 to 2024-12-23,288,3,66.66666666666666,2.78851491243135,-1.594238887509325,4.382753799940675,2.0493110219700807,0.7938522839872939
75.0,95.0,2024-12-16 to 2024-12-26,288,3,66.66666666666666,3.817403011299092,-1.024357306368473,4.841760317667565,2.0493110219700807,1.0475414675262025
80.0,100.0,2024-12-18 to 2024-12-31,288,3,66.66666666666666,3.817403011299092,-3.263003348785065,7.080406360084157,2.0493110219700807,1.0475414675262025
