date,p_day,buy_level,sell_level,chosen_action,reward_force_buy,reward_free,reward_force_sell,chosen_reward,best_action_ex_post,oracle_equity,close,buy_th_5m,sell_th_5m
2010-01-04,0.2287653647554242,0.2,0.3,FREE,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,113.21,0.3,0.3
2010-01-05,0.27462946768832847,0.2,0.3,FREE,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,113.6,0.3,0.3
2010-01-06,0.2905619673312147,0.2,0.3,FREE,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,113.79,0.3,0.3
2010-01-07,0.28343867155834207,0.2,0.3,FREE,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,114.23,0.3,0.3
2010-01-08,0.26242228162982034,0.2,0.3,FREE,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,114.7,0.3,0.3
2010-01-11,0.32246576792552034,0.2,0.3,FORCE_SELL,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,114.57,0.3,0.3
2010-01-12,0.3051980384683482,0.2,0.3,FORCE_SELL,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,113.96,0.3,0.3
2010-01-13,0.2632415336993941,0.2,0.3,FREE,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,114.82,0.3,0.3
2010-01-14,0.29984122427428367,0.2,0.3,FREE,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,115.0,0.3,0.3
2010-01-15,0.2664351834896795,0.2,0.3,FREE,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,113.55,0.3,0.3
2010-01-19,0.2582697477053713,0.2,0.3,FREE,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,115.13,0.3,0.3
2010-01-20,0.3000273388500984,0.2,0.3,FORCE_SELL,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,114.08,0.3,0.3
2010-01-21,0.3070617818872896,0.2,0.3,FORCE_SELL,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,111.53,0.3,0.3
2010-01-22,0.31499256043856483,0.2,0.3,FORCE_SELL,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,109.27,0.3,0.3
2010-01-25,0.3396215186478852,0.2,0.3,FORCE_SELL,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,109.86,0.3,0.3
2010-01-26,0.3305688678464801,0.2,0.3,FORCE_SELL,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,109.51,0.3,0.3
2010-01-27,0.2867218054237652,0.2,0.3,FREE,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,110.11,0.3,0.3
2010-01-28,0.329849468398109,0.2,0.3,FORCE_SELL,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,108.11,0.3,0.3
2010-01-29,0.36473697123769844,0.2,0.3,FORCE_SELL,0.0,0.0,0.0,0.0,FORCE_BUY,100000.0,107.35,0.3,0.3
