Feature,Importance
bsp2_bi_amp_rate,9.510231018066406
volume,6.510202884674072
kdj_k,4.761290073394775
bsp2_bi_amp,4.455084323883057
bsp2_break_bi_amp,4.134279727935791
rsi,4.115462779998779
kdj_d,4.04702091217041
bsp2_retrace_rate,3.953622341156006
kdj_j,3.7309865951538086
macd_value,3.4072093963623047
macd_dea,3.290302038192749
macd_diff,3.275651454925537
ppo,3.0456032752990723
bsp2_break_bi_amp_rate,3.022623300552368
