Feature,Importance
bsp1_bi_amp_rate,5.931761741638184
macd_value,3.673370599746704
volume,3.260669708251953
ppo,3.0747060775756836
kdj_d,2.9111287593841553
macd_diff,2.6150829792022705
kdj_k,2.559141159057617
divergence_rate,2.441547155380249
rsi,2.373638391494751
macd_dea,2.2156543731689453
kdj_j,2.0955827236175537
bsp1_bi_amp,2.0769248008728027
