entry_idx,entry_klu_idx,entry_timestamp,direction,entry_price,predicted_profit,position_size,shares,model_used,exit_idx,exit_klu_idx,exit_timestamp,exit_price,exit_predicted_profit,actual_profit,trade_profit,trade_return_pct,model_used_exit
22,17547.0,2021-05-17 13:15:00,buy,413.98,1.2761378,10000.0,24.155756316730276,buy_model,39,17705.0,2021-05-18 10:30:00,415.735,1.2955451,2.406581115373975,42.39335233586098,0.4239335233586098,sell_model
107,17942.0,2021-05-19 14:15:00,buy,408.17,1.2272011,10042.393352335861,24.60345775616988,buy_model,147,18102.0,2021-05-20 11:45:00,415.99,1.0656686,0.2644294333998468,192.3990396532481,1.9158683881715914,sell_model
