date,equity,cash,pos,qty,bucket_next,prev_reg_score,prev_reg_slope,prev_reg_above_ma,analog_sim,analog_fwd_mean,analog_fwd_winrate,flip_mode_today,flip_days_left,th_buy_today,th_sell_today,th_buy_bull,th_buy_side,th_buy_bear,th_sell_bull,th_sell_side,th_sell_bear,bucket_today,reg_score,reg_slope,reg_above_ma
2017-10-02,100000.0,100000.0,0,0.0,side,0.015713769992799855,0.0004457817767357913,0.009584283108394986,0.44150662577432065,0.6624066649092838,0.6666666666666666,,0.0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,,,
2017-10-03,100000.0,100000.0,0,0.0,side,0.01683782514837792,0.00047237801275433776,0.010280460740076602,0.44161847119011116,0.794878477989936,0.7,,0.0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,,,
2017-10-04,100000.0,100000.0,0,0.0,side,0.019997233943967498,0.0005285404931471857,0.01227440830968396,0.44820039071498824,0.43558529050579337,0.6666666666666666,,0.0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,,,
2017-10-05,100000.0,100000.0,0,0.0,bull,0.02126451655069911,0.0005798366303786204,0.0130166711063755,0.44988579139649093,0.29172079146903934,0.6333333333333333,,0.0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,,,
2017-10-06,100000.0,100000.0,0,0.0,bull,0.0358322783670356,0.0006594945700824009,0.02256919643785893,0.4460982684331157,0.36708254278681857,0.6,,0.0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,,,
2017-10-09,100000.0,100000.0,0,0.0,bull,0.03711574732611606,0.0006564525838145466,0.023430926383114947,0.4464098841713374,0.5964043511363922,0.8,,0.0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,,,
2017-10-10,100000.0,100000.0,0,0.0,bull,0.034612488659604417,0.0006696478155463819,0.021735696808643512,0.44541814636295834,0.16764109129556096,0.6,,0.0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,,,
2017-10-11,100000.0,100000.0,0,0.0,bull,0.03500192058459345,0.0007278012681974739,0.021879011186667352,0.4469687354096669,0.14567839567671084,0.6333333333333333,,0.0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,,,
2017-10-12,100000.0,100000.0,0,0.0,bull,0.038819177589965434,0.0007947920297903756,0.02428986766706287,0.4496326216761942,-0.168032980820415,0.5,,0.0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,,,
2017-10-13,100000.0,100000.0,0,0.0,bull,0.03539220146569487,0.0008566221795344499,0.021881556618061015,0.4554891107129925,-0.0582941912812936,0.5,,0.0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,,,
2017-10-16,100000.0,100000.0,0,0.0,bull,0.04022802782171301,0.0008485982504506693,0.025121488713574003,0.45182067964430456,-0.043118139054862545,0.5,,0.0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,,,
2017-10-17,100000.0,100000.0,0,0.0,bull,0.04438469418312847,0.0008413261786710404,0.02790714376474357,0.4537860650384579,-0.10797052355128105,0.43333333333333335,,0.0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,,,
2017-10-18,100000.0,100000.0,0,0.0,bull,0.045346049839153295,0.0008239568047072759,0.02858278628335431,0.4533002884870159,0.1041099173902412,0.5,,0.0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,,,
2017-10-19,100000.0,100000.0,0,0.0,bull,0.04259365413526314,0.000850012384536035,0.026695744654436693,0.4593582697020263,0.28443645946304,0.4666666666666667,,0.0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,,,
2017-10-20,100000.0,100000.0,0,0.0,bull,0.03599183401132785,0.0008415304225547746,0.022311495162442352,0.45723604251125805,0.46061031484047116,0.5666666666666667,,0.0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,,,
2017-10-23,100000.0,100000.0,0,0.0,side,0.038449782072673515,0.0008243171166564038,0.0239845538151362,0.45810196181862817,0.35329176984823446,0.5666666666666667,,0.0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,,,
2017-10-24,100000.0,100000.0,0,0.0,side,0.02707391333242067,0.0007667369713615616,0.01651580161222399,0.4725271573500274,0.7833583912288791,0.8333333333333334,,0.0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,,,
2017-10-25,100000.0,100000.0,0,0.0,side,0.02866033275714483,0.000719769839917866,0.017667348824927487,0.4761569070355111,0.7689311474689935,0.7,,0.0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,,,
2017-10-26,100000.0,100000.0,0,0.0,side,0.022014359822608947,0.0006668160329399562,0.013342607815859386,0.4772441397203943,0.8750832426309694,0.7333333333333333,,0.0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,,,
2017-10-27,100000.0,100000.0,0,0.0,bull,0.016534221217862466,0.0006413485879454563,0.009740116969350732,0.4710202633624326,0.6764229933059888,0.7,,0.0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,,,
2017-10-30,100000.0,100000.0,0,0.0,bull,0.05887804061724898,0.0007589305162327642,0.03773416604570046,0.44257049495772116,0.5337160860152979,0.6333333333333333,,0.0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,,,
2017-10-31,100000.0,100000.0,0,0.0,bull,0.06050721149842286,0.0008731040019093533,0.03859193299512986,0.4432104967724045,0.5937399760943504,0.7,,0.0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,,,
2017-11-01,100000.0,100000.0,0,0.0,bull,0.06424909381199931,0.0009593065016310169,0.040914116204737505,0.44744960421433344,0.5192800778999658,0.6666666666666666,,0.0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,,,
2017-11-02,100000.0,100000.0,0,0.0,bull,0.06209928578770667,0.0010465527204750972,0.039306418417520916,0.44559403960275895,0.4841684273298296,0.7333333333333333,,0.0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,,,
2017-11-03,100000.0,100000.0,0,0.0,bull,0.057431412844606455,0.0011270159105534003,0.03603357674196417,0.4466494642415633,0.3021738255470015,0.7666666666666667,,0.0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,,,
2017-11-06,100000.0,100000.0,0,0.0,bull,0.07024705299579494,0.001201033565321755,0.04442930153321978,0.44784085576833516,0.30262446768261325,0.6666666666666666,,0.0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,,,
2017-11-07,100000.0,100000.0,0,0.0,bull,0.07339100664632424,0.0013200311033748947,0.04628727555746637,0.44994579030552295,0.3600674487125807,0.6333333333333333,,0.0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,,,
2017-11-08,100000.0,100000.0,0,0.0,bull,0.07222375839010767,0.0014404666944861728,0.04526823887109943,0.45203391107818364,0.4043739964869952,0.6333333333333333,,0.0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,,,
2017-11-09,100000.0,100000.0,0,0.0,bull,0.07647147330979698,0.0015712906344851703,0.047838400937560976,0.45428249814089494,0.6149162273775989,0.7,,0.0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,,,
2017-11-10,100000.0,100000.0,0,0.0,bull,0.06655291459065117,0.0016501485563116312,0.04106831261447752,0.4558693420632905,0.7724456041113931,0.8,,0.0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,,,
