date,equity,cash,pos,buy_th,sell_th,p_day,daily_action,daily_buy_level,daily_sell_level,QQQ,Return %,QQQ %
1/2/2024,100000,100000,0,1.9,-0.5,0.225686175,FREE,0.22,0.3,402.59,0.00%,0.00%
1/3/2024,100000,100000,0,-0.5,-0.5,0.22014365,FREE,0.195,0.3,398.33,0.00%,-1.06%
1/4/2024,100000,100000,0,-0.5,-0.5,0.394711178,FORCE_SELL,0.195,0.3,396.28,0.00%,-1.57%
1/5/2024,100000,100000,0,-0.5,-0.5,0.372573324,FORCE_SELL,0.195,0.3,396.75,0.00%,-1.45%
1/8/2024,100000,100000,0,-0.5,-0.5,0.402455313,FORCE_SELL,0.195,0.3,404.95,0.00%,0.59%
1/9/2024,100000,100000,0,1.2,-0.5,0.351758533,FORCE_SELL,0.195,0.3,405.75,0.00%,0.78%
1/10/2024,100000,100000,0,0.55,-0.5,0.352026547,FORCE_SELL,0.195,0.3,408.5,0.00%,1.47%
1/11/2024,100000,100000,0,0.75,-0.5,0.417898352,FORCE_SELL,0.195,0.3,409.35,0.00%,1.68%
1/12/2024,100000,100000,0,-0.5,-0.5,0.392654551,FORCE_SELL,0.195,0.3,409.56,0.00%,1.73%
1/16/2024,100000,100000,0,1.05,2.5,0.372956894,FORCE_SELL,0.195,0.3,409.52,0.00%,1.72%
1/17/2024,100000,100000,0,1.1,1.6,0.32620434,FORCE_SELL,0.195,0.3,407.21,0.00%,1.15%
1/18/2024,100000,100000,0,0.2,-0.5,0.177164868,FORCE_BUY,0.195,0.35,412.99,0.00%,2.58%
1/19/2024,100000,100000,0,0.2,-0.5,0.207663126,FREE,0.195,0.35,421.18,0.00%,4.62%
1/22/2024,100394.3243,0,1,0.2,-0.5,0.235165302,FREE,0.195,0.35,421.73,0.39%,4.75%
1/23/2024,101072.4071,0,1,1.45,2.35,0.193281114,FORCE_BUY,0.195,0.35,423.48,1.07%,5.19%
1/24/2024,101434.1258,101434.1258,0,1.6,1.75,0.283960807,FREE,0.195,0.35,425.83,1.43%,5.77%
1/25/2024,100682.9829,0,1,2.5,-0.5,0.272140385,FREE,0.195,0.35,426.35,0.68%,5.90%
1/26/2024,100830.3123,100830.3123,0,2.25,-0.5,0.266443035,FREE,0.195,0.35,423.81,0.83%,5.27%
1/29/2024,100830.3123,100830.3123,0,2.25,-0.5,0.232908082,FREE,0.195,0.35,428.15,0.83%,6.35%
1/30/2024,100177.3277,0,1,2.5,-0.5,0.248670156,FREE,0.195,0.35,425.3,0.18%,5.64%
1/31/2024,99835.40715,99835.40715,0,-0.5,-0.5,0.327559987,FREE,0.195,0.35,416.97,-0.16%,3.57%
2/1/2024,100525.1579,100525.1579,0,-0.5,-0.5,0.197577314,FREE,0.195,0.35,421.88,0.53%,4.79%
2/2/2024,100173.8939,100173.8939,0,1.9,2.5,0.213462535,FREE,0.2,0.35,429.01,0.17%,6.56%
2/5/2024,100173.8939,100173.8939,0,1.9,2.5,0.206091457,FREE,0.2,0.35,428.45,0.17%,6.42%
2/6/2024,100387.2191,100387.2191,0,-0.5,-0.5,0.243700555,FREE,0.2,0.35,427.59,0.39%,6.21%
2/7/2024,101375.2038,0,1,1.7,2.45,0.175898203,FORCE_BUY,0.2,0.35,431.99,1.38%,7.30%
2/8/2024,101539.4767,0,1,-0.5,2.1,0.170854518,FORCE_BUY,0.2,0.35,432.79,1.54%,7.50%
2/9/2024,102607.2511,0,1,1.6,1.85,0.190278292,FORCE_BUY,0.2,0.35,437.05,2.61%,8.56%
2/12/2024,101957.4832,0,1,-0.5,-0.5,0.258793639,FREE,0.2,0.35,435.34,1.96%,8.13%
2/13/2024,100601.1788,0,1,2.4,-0.5,0.329642594,FREE,0.2,0.35,428.55,0.60%,6.45%
2/14/2024,101032.9435,101032.9435,0,-0.5,-0.5,0.201022201,FREE,0.2,0.35,433.22,1.03%,7.61%
2/15/2024,101263.3997,0,1,-0.5,-0.5,0.185950848,FORCE_BUY,0.215,0.35,434.51,1.26%,7.93%
2/16/2024,101215.5589,0,1,2,1.65,0.286748412,FREE,0.215,0.35,430.57,1.22%,6.95%
2/20/2024,100694.9457,100694.9457,0,2.1,-0.5,0.234825927,FREE,0.215,0.35,427.32,0.69%,6.14%
2/21/2024,102780.1465,0,1,1.8,-0.5,0.166246366,FORCE_BUY,0.215,0.35,425.61,2.78%,5.72%
2/22/2024,104365.4054,0,1,1.8,-0.5,0.231292465,FREE,0.215,0.35,438.07,4.37%,8.81%
2/23/2024,103735.6039,103735.6039,0,2.1,1.8,0.263220229,FREE,0.215,0.35,436.78,3.74%,8.49%
2/26/2024,103702.0883,0,1,-0.5,1.75,0.24815937,FREE,0.215,0.35,436.55,3.70%,8.44%
2/27/2024,103973.1427,0,1,-0.5,1.7,0.172949454,FORCE_BUY,0.215,0.35,437.6,3.97%,8.70%
2/28/2024,103565.0642,103565.0642,0,2.35,2.5,0.216204086,FREE,0.215,0.35,435.27,3.57%,8.12%
2/29/2024,103565.0642,103565.0642,0,-0.5,-0.5,0.200315427,FORCE_BUY,0.215,0.35,439,3.57%,9.04%
