klu_idx,timestamp,klu_open,klu_high,klu_low,klu_close,klu_volume,bsp_type,bsp_types,is_buy,direction,is_segbsp,feat_divergence_rate,feat_bsp1_bi_amp,feat_bsp1_bi_klu_cnt,feat_bsp1_bi_amp_rate,feat_macd_value,feat_macd_dea,feat_macd_diff,feat_ppo,feat_rsi,feat_kdj_k,feat_kdj_d,feat_kdj_j,feat_volume,feat_bsp_bi_amp,feat_zs_cnt,feat_break_bi_amp,feat_break_bi_klu_cnt,feat_break_bi_amp_rate,feat_bi_amp,feat_bi_klu_cnt,feat_bi_amp_rate,feat_level,feat_bsp_type,macd_value,macd_dif,macd_dea,rsi,kdj_k,kdj_d,kdj_j,dmi_plus,dmi_minus,dmi_adx,price_change_pct,high_low_spread_pct,upper_shadow,lower_shadow,body_size,is_bullish_candle,snapshot_first_seen,snapshot_last_seen,feat_bsp3_zs_height,feat_bsp3_bi_amp,feat_bsp3_bi_klu_cnt,feat_bsp3_bi_amp_rate,feat_bsp2_retrace_rate,feat_bsp2_break_bi_amp,feat_bsp2_break_bi_bi_klu_cnt,feat_bsp2_break_bi_amp_rate,feat_bsp2_bi_amp,feat_bsp2_bi_klu_cnt,feat_bsp2_bi_amp_rate,feat_bsp2s_retrace_rate,feat_bsp2s_break_bi_amp,feat_bsp2s_break_bi_klu_cnt,feat_bsp2s_break_bi_amp_rate,feat_bsp2s_bi_amp,feat_bsp2s_bi_klu_cnt,feat_bsp2s_bi_amp_rate,feat_bsp2s_lv
79,2016/09/22,118.84,119.22,118.72,119.09,22614400.0,1p,1p,0,sell,False,0.16552612265527783,5.590000000000003,9.0,0.049194754906274785,0.23245428965607107,0.4132711421033074,0.5294982869313429,0.004535505921410944,62.44856654695852,85.86518532654887,75.27586511683094,107.04382574598475,22614400.0,5.590000000000003,0.0,5.590000000000003,9,0.049194754906274785,5.590000000000003,0,0.0,1.0,1.0,0.23245428965607107,0.5294982869313429,0.4132711421033074,62.44856654695852,85.86518532654887,75.27586511683094,107.04382574598475,26.89549180327873,19.672131147541034,23.426019511123908,0.21036687983843824,0.4211590296495957,0.12999999999999545,0.12000000000000455,0.25,1,80,80,,,,,,,,,,,,,,,,,,,
91,2016/10/10,119.08,119.48,119.03,119.22,19687300.0,1p,1p,0,sell,False,0.18365202517243764,5.8500000000000085,21.0,0.0514828830414504,0.049219684678615705,0.587824861399875,0.6124347037391829,0.0051977871248484065,59.14220423487915,76.73880280040146,73.4228209067305,83.37076658774339,19687300.0,5.8500000000000085,0.0,5.8500000000000085,21,0.0514828830414504,5.8500000000000085,0,0.0,1.0,1.0,0.049219684678615705,0.6124347037391829,0.587824861399875,59.14220423487915,76.73880280040146,73.4228209067305,83.37076658774339,26.648900732844744,20.586275816122658,21.38642617306769,0.11756802149815299,0.37805595228093997,0.2600000000000051,0.04999999999999716,0.14000000000000057,1,92,92,,,,,,,,,,,,,,,,,,,
101,2016/10/24,118.91,119.65,118.89,119.57,19143000.0,1p,1p,0,sell,False,0.18365202517243764,6.02000000000001,31.0,0.052978966822142134,0.06899465721767034,0.20985182177307235,0.24434915038190752,0.0020737906579663397,61.52253631103014,68.66943615748697,54.59834708850168,96.81161429545753,19143000.0,6.02000000000001,0.0,6.02000000000001,31,0.052978966822142134,6.02000000000001,0,0.0,1.0,1.0,0.06899465721767034,0.24434915038190752,0.20985182177307235,61.52253631103014,68.66943615748697,54.59834708850168,96.81161429545753,26.455026455026566,33.73015873015871,24.01466132671829,0.5550416281221062,0.6392463621835354,0.0800000000000125,0.01999999999999602,0.6599999999999966,1,102,102,,,,,,,,,,,,,,,,,,,
102,2016/10/25,119.64,119.66,119.01,119.19,20341800.0,1p,1p,0,sell,False,0.18365202517243764,6.030000000000001,32.0,0.05306697175041804,0.16897712584777602,0.2309739625040444,0.3154625254279324,0.0026750380380467114,58.61422804284842,74.90148790427448,61.36606069375928,101.97234232530488,20341800.0,6.030000000000001,0.0,6.030000000000001,32,0.05306697175041804,6.030000000000001,0,0.0,1.0,1.0,0.16897712584777602,0.3154625254279324,0.2309739625040444,58.61422804284842,74.90148790427448,61.36606069375928,101.97234232530488,26.720106880427547,34.06813627254508,23.162750666803557,-0.37612838515546876,0.546172590538603,0.01999999999999602,0.1799999999999926,0.45000000000000284,0,103,103,,,,,,,,,,,,,,,,,,,
121,2016/11/21,117.61,118.65,117.57,118.54,20268500.0,1,1,0,sell,False,0.3983224358273295,5.200000000000003,12.0,0.04583516967827239,0.5593784883964881,-0.2879825840754425,-0.008293339877198491,-7.093843181457602e-05,57.32257780306772,78.20911224322323,65.19646635499934,104.23440401967102,20268500.0,5.200000000000003,1.0,5.200000000000003,12,0.04583516967827239,5.200000000000003,12,0.04583516967827239,1.0,1.0,0.5593784883964881,-0.008293339877198491,-0.2879825840754425,57.32257780306772,78.20911224322323,65.19646635499934,104.23440401967102,23.531794248683678,17.09194005670305,23.558976067632948,0.7907490859620839,0.9186016841030983,0.10999999999999943,0.04000000000000625,0.9300000000000068,1,122,122,,,,,,,,,,,,,,,,,,,
122,2016/11/22,119.01,119.19,118.61,118.9,18850600.0,1,1,0,sell,False,0.5010684557299036,5.739999999999995,13.0,0.05059497576024676,0.7036684106613036,-0.20002403274277958,0.15181017258787222,0.0012968969491414114,58.66413454611483,83.59935648256231,71.330763064187,108.13654331931295,18850600.0,5.739999999999995,1.0,5.739999999999995,13,0.05059497576024676,5.739999999999995,13,0.05059497576024676,1.0,1.0,0.7036684106613036,0.15181017258787222,-0.20002403274277958,58.66413454611483,83.59935648256231,71.330763064187,108.13654331931295,26.535729210196372,16.757208524864144,23.489540104721495,-0.09242920762961047,0.4889975550122235,0.1799999999999926,0.29000000000000625,0.10999999999999943,0,123,123,,,,,,,,,,,,,,,,,,,
126,2016/11/29,118.64,119.51,118.3,118.94,18553000.0,1,1,0,sell,False,0.506240631965355,6.060000000000002,17.0,0.053415601586602045,0.6238853119041056,0.1351203011291338,0.4470629570811866,0.0038051811369354677,57.98021958206217,85.41924584710814,82.75019649141319,90.75734455849806,18553000.0,6.060000000000002,1.0,6.060000000000002,17,0.053415601586602045,6.060000000000002,17,0.053415601586602045,1.0,1.0,0.6238853119041056,0.4470629570811866,0.1351203011291338,57.98021958206217,85.41924584710814,82.75019649141319,90.75734455849806,20.396039603960418,16.23762376237617,23.087085048073337,0.2528658125421419,1.0228233305156451,0.5700000000000074,0.3400000000000034,0.29999999999999716,1,127,127,,,,,,,,,,,,,,,,,,,
134,2016/12/09,119.01,119.54,119.0,119.5,21863100.0,1,1,0,sell,False,0.506240631965355,6.090000000000003,25.0,0.05368003525782286,0.3385132616114832,0.12458006584164771,0.2938366966473893,0.0025007658797833593,59.78151042105214,71.70854594347036,57.032790884030945,101.06005606234916,21863100.0,6.090000000000003,1.0,6.090000000000003,25,0.05368003525782286,6.090000000000003,25,0.05368003525782286,1.0,1.0,0.3385132616114832,0.2938366966473893,0.12458006584164771,59.78151042105214,71.70854594347036,57.032790884030945,101.06005606234916,33.29177057356618,23.62842892768074,17.794486533357993,0.4117301067137172,0.4537815126050473,0.04000000000000625,0.010000000000005116,0.4899999999999949,1,135,135,,,,,,,,,,,,,,,,,,,
136,2016/12/13,119.32,121.11,119.32,120.46,54477900.0,1,1,0,sell,False,0.506240631965355,7.659999999999997,27.0,0.0675187307183781,0.5822543390254042,0.24548651909646316,0.5366136886091653,0.0045545881971051595,62.408837335495626,80.7639301079183,69.30559975932093,103.68059080511304,54477900.0,7.659999999999997,1.0,7.659999999999997,27,0.0675187307183781,7.659999999999997,27,0.0675187307183781,1.0,1.0,0.5822543390254042,0.5366136886091653,0.24548651909646316,62.408837335495626,80.7639301079183,69.30559975932093,103.68059080511304,35.67285382830636,25.05800464037118,16.93385979241645,0.955414012738854,1.5001676164934683,0.6500000000000057,0.0,1.1400000000000006,1,137,137,,,,,,,,,,,,,,,,,,,
138,2016/12/15,120.37,121.11,120.08,120.4,22762300.0,1,1,0,sell,False,0.506240631965355,7.659999999999997,29.0,0.0675187307183781,0.6593620005010781,0.4077797146293056,0.7374607148798447,0.006240488871641807,61.70138981779569,83.6230898150418,76.91742423081634,97.03442098349271,22762300.0,7.659999999999997,1.0,7.659999999999997,29,0.0675187307183781,7.659999999999997,29,0.0675187307183781,1.0,1.0,0.6593620005010781,0.7374607148798447,0.4077797146293056,61.70138981779569,83.6230898150418,76.91742423081634,97.03442098349271,33.64849833147953,20.077864293659598,18.131454925792497,0.02492315360970436,0.857761492338442,0.7099999999999937,0.29000000000000625,0.030000000000001137,1,139,139,,,,,,,,,,,,,,,,,,,
