side,seen_idx,exec_px,qty,reason,pred_ret,prob,gate,pnl,entry_px,entry_idx
buy,12813,159.4,627.3525721455458,BUY pred=2.19 prob=0.247,2.186337471008301,0.24694711115602816,TRADE,,,
sell,12821,159.6,627.3525721455458,SELL_EXIT pred=3.23 prob=0.247,3.230687379837036,0.24694711115602816,TRADE,125.47051442910202,159.4,12813.0
buy,12836,159.5,627.7458966421888,BUY pred=1.95 prob=0.247,1.9471478462219238,0.24694711115602816,TRADE,,,
sell,12861,159.8,627.7458966421888,SELL_EXIT pred=3.10 prob=0.247,3.1017050743103027,0.24694711115602816,TRADE,188.32376899266376,159.5,12836.0
buy,12871,159.6,628.5325456354748,BUY pred=1.75 prob=0.247,1.7469710111618042,0.24694711115602816,TRADE,,,
sell,12889,159.89,628.5325456354748,SELL_EXIT pred=3.22 prob=0.247,3.2173750400543213,0.24694711115602816,TRADE,182.27443823428268,159.6,12871.0
buy,13016,160.71,625.3255473937903,BUY pred=1.94 prob=0.278,1.9374140501022339,0.2781119691615071,TRADE,,,
sell,13138,160.77,625.3255473937903,SELL_EXIT pred=3.37 prob=0.278,3.366546392440796,0.2781119691615071,TRADE,37.51953284362884,160.71,13016.0
buy,13155,160.75,625.4033483950212,BUY pred=1.44 prob=0.278,1.4409176111221313,0.2781119691615071,TRADE,,,
sell,13206,158.97,625.4033483950212,SELL_EXIT pred=2.80 prob=0.254,2.798414468765259,0.25448816896959314,TRADE,-1113.2179601431385,160.75,13155.0
buy,13242,158.73,626.3489592034053,BUY pred=2.01 prob=0.254,2.009554624557495,0.25448816896959314,TRADE,,,
sell,13251,159.4399,626.3489592034053,SELL_EXIT pred=2.72 prob=0.254,2.720513105392456,0.25448816896959314,TRADE,444.64512613850036,158.73,13242.0
buy,13298,159.61,625.6814449000377,BUY pred=1.61 prob=0.254,1.614547848701477,0.25448816896959314,TRADE,,,
sell,13305,159.63,625.6814449000377,SELL_EXIT pred=2.69 prob=0.254,2.685274124145508,0.25448816896959314,TRADE,12.513628897989374,159.61,13298.0
buy,13317,159.37,626.7021964572568,BUY pred=2.16 prob=0.254,2.1573007106781006,0.25448816896959314,TRADE,,,
