date,equity,cash,pos,buy_th,sell_th,p_day,daily_action,daily_buy_level,daily_sell_level
2019-12-31,100000.0,100000.0,0,-0.5,-0.5,0.15984527039231108,FORCE_BUY,0.19,0.235
2020-01-02,100000.0,100000.0,0,-0.5,-0.5,0.1679217024118489,FORCE_BUY,0.19,0.235
2020-01-03,100000.0,100000.0,0,-0.5,-0.5,0.19621342979995363,FREE,0.19,0.235
2020-01-06,100000.0,100000.0,0,-0.5,-0.5,0.19456500941139457,FREE,0.19,0.235
2020-01-07,94737.73010220843,0.0,1,-0.5,-0.5,0.1739432081212582,FORCE_BUY,0.19,0.235
2020-01-08,102044.19847558491,102044.19847558491,0,-0.5,-0.5,0.19415105271685115,FREE,0.19,0.235
2020-01-09,103563.89073850415,0.0,1,-0.5,-0.5,0.1547059768866503,FORCE_BUY,0.19,0.235
2020-01-10,101908.26269977333,0.0,1,2.0499999999999994,-0.5,0.18279626431594717,FORCE_BUY,0.19,0.235
2020-01-13,106319.20434822355,0.0,1,-0.5,-0.5,0.14375932694957147,FORCE_BUY,0.19,0.235
2020-01-14,103705.0548133854,0.0,1,2.4499999999999993,-0.5,0.17539873588032928,FORCE_BUY,0.19,0.235
2020-01-15,104849.18092646624,0.0,1,-0.5,-0.5,0.1747687305530388,FORCE_BUY,0.175,0.2
2020-01-16,107485.11504076136,0.0,1,-0.5,-0.5,0.1396446202321884,FORCE_BUY,0.175,0.2
2020-01-17,108487.20569578263,0.0,1,-0.5,-0.5,0.13826554591890472,FORCE_BUY,0.175,0.195
2020-01-21,108976.92304197565,0.0,1,-0.5,-0.5,0.14083909212698778,FORCE_BUY,0.175,0.195
2020-01-22,109853.46304102993,0.0,1,-0.5,-0.5,0.18049732162597007,FREE,0.175,0.195
2020-01-23,112251.61999690867,0.0,1,-0.5,-0.5,0.14838327586278952,FORCE_BUY,0.175,0.195
2020-01-24,113029.68480393109,113029.68480393109,0,-0.5,-0.5,0.27854108177342213,FORCE_SELL,0.175,0.195
