bsp2s_bi_amp,bsp2s_bi_amp_rate,bsp2s_bi_klu_cnt,bsp2s_break_bi_amp,bsp2s_break_bi_amp_rate,bsp2s_break_bi_klu_cnt,bsp2s_lv,bsp2s_retrace_rate,bsp3_bi_amp,bsp3_bi_amp_rate,bsp3_bi_klu_cnt,bsp3_zs_height,bsp_bi_amp,divergence_rate,index,is_buy,is_segbsp,kdj_d,kdj_j,kdj_k,macd_dea,macd_diff,macd_value,next_bi_return,ppo,rsi,timestamp,type,volume
0.3100013732910156,0.006490816251793032,13,0.5,0.010324179162694829,11,1.0,0.279998779296875,,,,,0.3100013732910156,,561,False,False,77.10512886353243,93.26139221490388,82.49054998065624,-0.01593145086528535,0.003372083319192143,0.038607068368954986,0.0058248134194813185,7.029951647669697e-05,55.01905250876831,2025/05/20 14:45,2s,12154.0
0.18000030517578125,0.003766484656360359,18,0.5,0.010324179162694829,11,2.0,0.0800018310546875,,,,,0.18000030517578125,,595,False,False,75.6420297524136,85.28821460174152,78.85742470218958,-0.0013872424035746057,0.008397619503632825,0.019569723814414863,0.008286489244414812,0.00017531999575962103,59.21436600172819,2025/05/20 17:35,2s,17417.0
0.4900016784667969,0.010076119015100568,11,1.6525001525878906,0.03473645931771263,53,1.0,0.6565803233200905,0.4900016784667969,0.010076119015100568,11,0.0029209135981023452,0.4900016784667969,,719,True,False,29.403033276647474,18.78601925625417,25.86402860318304,-0.028091523920054644,-0.036641657730640986,-0.017100267621172685,0.011424994682879315,-0.0007580532755411411,48.01689680785518,2025/05/22 14:55,"2s,3b",56579.0
0.17499923706054688,0.003594151612166009,7,1.6525001525878906,0.03473645931771263,53,2.0,0.4296514486614511,,,,,0.17499923706054688,,733,True,False,72.86054683994237,58.03317744270316,67.91809037419597,0.05227610822862934,0.06649328940262222,0.02843436234798577,0.00803873842223836,0.001371299488429481,58.39801817202889,2025/05/22 16:05,2s,46223.0
0.625,0.01271617457978957,11,0.7999992370605469,0.015984000984123312,30,1.0,0.6562525331998188,,,,,0.625,,1106,False,False,81.37924222553423,114.00578213342675,92.25475552816508,-0.060148387002109796,-0.015902177009365914,0.08849241998548776,0.017980922758954517,-0.00032050833381908923,59.38239554938486,2025/05/30 14:40,2s,122661.0
0.5399971008300781,0.010553002152691072,25,0.5900001525878906,0.011680858685286559,34,1.0,0.7966055668703327,,,,,0.5399971008300781,,1475,True,False,31.10224416753713,8.89618912235052,23.700225819141593,-0.017542458826526268,-0.05939265280886019,-0.08370038796466785,0.017973530085212484,-0.0011650144823177999,36.68126586183512,2025/06/05 19:25,2s,51572.0
0.3999977111816406,0.007950659913795882,13,1.0300025939941406,0.020101533182169878,38,1.0,0.4854356706628298,,,,,0.3999977111816406,,1705,False,False,71.52340293346371,98.47933192404352,80.50871259699032,-0.02676993227551431,0.008126286253556714,0.06979243705814205,0.00828235410230791,0.00016092875895691905,59.98013169393076,2025/06/10 19:05,2s,26305.0
0.3449974060058594,0.006860159071886978,17,1.0300025939941406,0.020101533182169878,38,2.0,0.4126195793473551,,,,,0.3449974060058594,,1766,False,False,91.57509475210216,87.90588093961475,90.35202348127302,0.019678651936087387,0.03894404845411259,0.038530793036050406,0.013725678243553153,0.0007709802774152588,67.12249092774152,2025/06/11 17:40,2s,20266.0
0.2700004577636719,0.005316016005054418,25,0.7600021362304688,0.015218305108723077,11,1.0,0.23684184108818954,,,,,0.2700004577636719,,1862,True,False,33.01368884234795,18.400712493332918,28.142696726009607,0.010794779606491342,-0.0014967702753452272,-0.02458309976367314,0.006334119000884584,-2.956431754018231e-05,45.317187054526435,2025/06/12 19:10,2s,44843.0
0.154998779296875,0.0030523588622075426,5,1.3449974060058594,0.027188141758989485,58,1.0,0.14126319192927622,,,,,0.154998779296875,,2022,True,False,36.51316199170994,5.216500306907065,26.080941430108986,0.041757760909610496,0.021939073034090484,-0.039637375751040024,0.009382685908564815,0.00043297354839731515,44.0498739267238,2025/06/16 19:30,2s,40821.0
0.4250030517578125,0.008429255596831425,12,0.4549980163574219,0.008904071036085245,20,1.0,0.4395640326975477,,,,,0.4250030517578125,,2119,False,False,86.62875926783083,82.77701292955899,85.34484382174023,0.04132437809971552,0.06993434601267978,0.05721993582592852,0.011898899158448318,0.0013815173887933342,60.588791721281595,2025/06/18 14:35,2s,11913.0
0.5194969177246094,0.01034030454555636,15,0.4549980163574219,0.008904071036085245,20,2.0,0.2516453573674282,,,,,0.5194969177246094,,2186,False,False,49.07849162132386,64.72289222001237,54.293291820886694,-0.03720806974644238,-0.01848076571742041,0.037454608058043945,0.011613598312618581,-0.00036602843750161877,57.37401303352396,2025/06/20 13:40,2s,17930.0
0.19500350952148438,0.00377657627307722,11,0.8800010681152344,0.016819592378596458,11,1.0,0.4431849215603827,,,,,0.19500350952148438,,2382,False,False,76.35003166615306,86.35638873585413,79.68548402272008,0.025889368536841345,0.02857395605371238,0.0053691750337420685,0.010225787676445382,0.0005523937355794294,59.04956565495308,2025/06/24 17:00,2s,11810.0
0.3600006103515625,0.007017555861706291,13,0.8800010681152344,0.016819592378596458,11,2.0,0.2500010837194987,,,,,0.3600006103515625,,2418,False,False,59.18460044898606,44.75949673373822,54.37623254390344,-0.021694178314935524,-0.003029127991197811,0.037330100647475425,0.011033675890588929,-5.8837893341122233e-05,56.29605793181926,2025/06/25 13:30,2s,87362.0
