bsp2_bi_amp,bsp2_bi_amp_rate,bsp2_bi_klu_cnt,bsp2_break_bi_amp,bsp2_break_bi_amp_rate,bsp2_break_bi_bi_klu_cnt,bsp2_retrace_rate,bsp3_bi_amp,bsp3_bi_amp_rate,bsp3_bi_klu_cnt,bsp3_zs_height,bsp_bi_amp,bsp_type,chain_id,chain_type,direction,is_buy,is_mature,is_segbsp,kdj_d,kdj_j,kdj_k,klu_close,klu_idx,macd_dea,macd_diff,macd_value,mature_rate,next_bi_return,parent_idx,point_index,ppo,rsi,timestamp,volume
,,,,,,,1.1500091552734375,0.007315580010170585,5,0.013549339894830897,1.1500091552734375,3b,,3b,sell,False,0,False,44.35958197209334,106.9963881045872,65.23851734959129,158.22000122070312,428,-0.1906523645223909,-0.20765331585860736,-0.034001902672432915,,,,0,-0.0013127207215855132,50.46689534550629,2025/07/21 16:40,289358.0
,,,,,,,1.1999969482421875,0.007633568521234032,7,0.013549339894830897,1.1999969482421875,3b,,3b,sell,False,0,False,62.23263552591901,114.97923119793813,79.81483408325872,158.35479736328125,430,-0.17755349526248432,-0.13612275332044987,0.08286148388406889,,,,1,-0.0008604639554885624,52.740501002769925,2025/07/21 16:50,194244.0
,,,,,,,1.2400054931640625,0.007888075809392872,8,0.013549339894830897,1.2400054931640625,3b,,3b,sell,False,0,False,68.88002316103677,108.76434897174346,82.17479843127234,158.27749633789062,431,-0.16379351343072512,-0.10875358610368835,0.11007985465407355,,,,2,-0.0006874310751851731,51.31445115530457,2025/07/21 16:55,174884.0
,,,,,,,1.405303955078125,0.008939592763101762,9,0.013549339894830897,1.405303955078125,3b,,3b,sell,False,0,False,74.61779048206816,109.04439440825655,86.09332512413096,158.52000427246094,432,-0.14437996813796836,-0.06672578696694131,0.15530836234205408,,,,3,-0.0004217108746097317,55.38967289594711,2025/07/21 17:00,194268.0
2.095001220703125,0.011978280696470832,5,7.5900115966796875,0.04159138236731547,58,0.2760208194701047,2.095001220703125,0.011978280696470832,5,0.005203920546375797,2.095001220703125,"2,3b",,3b,sell,False,0,False,35.42675984821405,101.55722661951808,57.47024877198206,176.91000366210938,1075,-0.8612261009524488,-0.8161168549098079,0.09021849208528177,,,,0,-0.004599457087771874,43.1609325295073,2025/07/31 18:35,491684.0
2.475006103515625,0.01415097878722896,6,7.5900115966796875,0.04159138236731547,58,0.3260872624487605,2.475006103515625,0.01415097878722896,6,0.005203920546375797,2.475006103515625,"2,3b",,3b,sell,False,0,False,47.410311688187264,119.31162272802655,71.3774153681337,177.35499572753906,1076,-0.8284116575359338,-0.6971538838698734,0.2625155473321208,,,,1,-0.003929143233126598,48.60295501841176,2025/07/31 18:40,548327.0
