bsp1_bi_amp,bsp2_bi_amp,bsp2_break_bi_amp,bsp2_retrace_rate,bsp2s_bi_amp,bsp2s_break_bi_amp,bsp2s_lv,bsp2s_retrace_rate,bsp3_bi_amp,bsp3_zs_height,bsp_bi_amp,divergence_rate,index,is_buy,is_segbsp,kdj_k,macd_dea,macd_diff,macd_value,ppo,rsi,type,volume,zs_cnt
15.67999267578125,,,,,,,,,,15.67999267578125,0.8312586938270125,133,False,False,,1.4680364953979026,1.8311787312858883,0.7262844717759713,0.013138539877334572,71.00017910294608,1p,79487338.0,
,6.649993896484375,6.959991455078125,0.9554600662091948,,,,,,,6.649993896484375,,155,False,False,,0.19551927415274098,0.49660521500226196,0.602171881699042,0.003533953782844004,66.46840950321959,2,30457488.0,
11.996994018554688,,,,,,,,,,11.996994018554688,1.1296176525153514,187,True,False,,-1.302604906683277,-2.032473413443739,-1.4597370135209244,-0.014736994091557558,27.765019319531433,1p,26786914.0,
,12.610000610351562,17.646987915039062,0.7145695724994012,,,,,,,12.610000610351562,,266,True,False,,-0.9318856513527691,-1.5483604537949702,-1.2329496048844022,-0.010721252598224963,32.79471096013769,2,74926664.0,
15.740005493164062,,,,,,,,,,15.740005493164062,0.9862579104441079,287,False,False,,0.11565180205395795,0.07078430296166971,-0.08973499818457648,0.0004915964763665625,41.988158588725305,1p,161308642.0,
,14.639999389648438,20.990005493164062,0.697474776479517,,,,,,,14.639999389648438,,348,False,False,,1.60925102327704,2.024900912971276,0.831299779388472,0.014271414090673406,72.70646369606284,2,18441563.0,
,,,,6.3699951171875,20.990005493164062,1.0,0.39399724193279884,,,6.3699951171875,,379,False,False,,-1.0984876422367853,-0.6245396125092952,0.9478960594549801,-0.0044957473784531165,55.328792977031874,2s,18622791.0,
,,,,,,,,,,13.30999755859375,0.5409604896338199,402,True,False,,-1.688703118264313,-2.0099872078306475,-0.642568179132669,-0.014994471190572886,25.363948270783737,1,87462311.0,1
,8.479995727539062,9.839996337890625,0.8617885044210187,,,,,,,8.479995727539062,,423,True,False,,-0.5889569776513839,-0.48202879370481355,0.21385636789314066,-0.003642607678251883,50.196247112059766,2,73961621.0,
,,,,8.068389892578125,9.839996337890625,1.0,0.29150345648917464,,,8.068389892578125,,465,True,False,,-0.040897248765562555,-0.5555318254495774,-1.0292691533680296,-0.004058788958467283,36.55486344638226,2s,14681046.0,
,,,,,,,,,,18.32440185546875,1.8576759774190221,483,False,False,,1.8494225360492103,3.118568855036216,2.538292637974011,0.0220240748036928,82.79357720947115,1,34157939.0,1
,6.75,22.5260009765625,0.29965372047276095,,,,,,,6.75,,517,False,False,,-2.3334753205439007,-2.419953685842529,-0.17295673059725658,-0.01776891549150077,35.58993479061871,2,56314616.0,
,,,,8.649993896484375,22.5260009765625,1.0,0.4026454617873226,,,8.649993896484375,,531,False,False,,-0.9067254725332378,-0.06575391320356516,1.6819431186593452,-0.00048703490251967316,60.60986669319547,2s,59855103.0,
,,,,15.039505004882812,22.5260009765625,2.0,0.8394521576086662,,,15.039505004882812,,566,False,False,,2.317428217697478,2.0874232386210565,-0.46000995815284274,0.014525748291695426,62.177113926999915,2s,63266630.0,
,,,,,,,,12.75,0.04867360001933601,12.75,,586,False,False,,-4.709192017874583,-3.822776099065223,1.772831837618721,-0.02935255752977891,46.808581741353166,3a,50320355.0,
,,,,,,,,,,14.839996337890625,0.04529003399388022,608,True,False,,-1.7081267358109273,-1.8660370901494616,-0.3158207086770686,-0.01511067689898325,31.57848237461431,1,133603571.0,2
,5.9199981689453125,21.98999786376953,0.269213221648331,,,,,5.9199981689453125,0.08255715602008656,5.9199981689453125,,657,True,False,,2.102371713111481,1.5896190010004432,-1.025505424222076,0.012129480606226662,51.934863071799576,"2,3b",53129779.0,
,,,,19.0,21.98999786376953,1.0,0.4802182166644173,,,19.0,,713,True,False,,-1.2104980636081337,-2.2346241319321507,-2.048252136648034,-0.016546603311095066,16.384633028629338,2s,85363681.0,
,,,,18.589996337890625,21.98999786376953,2.0,0.8453841811653511,,,18.589996337890625,,734,True,False,,-2.14999340661555,-2.7615736525976757,-1.2231604919642516,-0.021522370909502733,36.64799728267295,2s,121634753.0,
,,,,,,,,,,12.080001831054688,0.4919504817833555,1218,False,False,,0.7801203282846974,0.8395371031207333,0.11883354967207183,0.00593603452275836,59.20665395039868,1,32958581.0,5
