date,timestamp,close,next_open,next_close,p_day,dp_minK,dp_maxK,regime,base_dir,action,action_id,position_after_action,equity_before,equity_after,reward,drawdown_rel,bh_equity
2014-06-02,2014-06-02,91.22,90.92,91.18,0.5,0.0,0.0,unknown,none,FORCE_BUY,0.0,1,100000.0,99956.14996711249,0.00285965684117917,0.0,100000.0
2014-06-03,2014-06-03,91.18,90.95,91.52,0.5,0.0,0.0,unknown,none,FREE,1.0,1,99956.14996711249,100328.87524665643,0.003133589884551924,0.0004385003288750886,99956.14996711249
2014-06-04,2014-06-04,91.52,91.6,92.29,0.5,0.0,0.0,unknown,none,FORCE_SELL,2.0,0,100328.87524665643,100416.57531243148,0.0,0.0,100328.87524665643
2014-06-05,2014-06-05,92.29,92.63,92.82,0.5,0.0,0.0,unknown,none,FORCE_BUY,0.0,1,100416.57531243148,100622.54691244618,0.002051171326783896,0.0,101172.98837974129
2014-06-06,2014-06-06,92.82,92.84,92.75,0.5,0.0,0.0,unknown,none,FREE,1.0,1,100622.54691244618,100546.66263875656,-0.0004847048685911459,0.0,101754.00131550098
2014-06-09,2014-06-09,92.75,92.67,92.91,0.5,0.0,0.0,unknown,none,FORCE_SELL,2.0,0,100546.66263875656,100459.93775453985,0.0,0.0007541478129712528,101677.26375794782
2014-06-10,2014-06-10,92.91,92.59,92.89,0.5,0.0,0.0,unknown,none,FORCE_BUY,0.0,1,100459.93775453985,100785.43706684529,0.0032400907225402786,0.0016160310277956449,101852.66388949791
2014-06-11,2014-06-11,92.89,92.69,92.05,0.5,0.0,0.0,unknown,none,FORCE_SELL,2.0,0,100785.43706684529,100568.43752530831,0.0,0.0,101830.73887305416
2014-06-12,2014-06-12,92.05,92.45,92.32,0.5,0.0,0.0,unknown,none,FREE,1.0,0,100568.43752530831,100568.43752530831,-0.000703082747431083,0.0021530842932501655,100909.88818241614
2014-06-13,2014-06-13,92.32,92.16,92.4,0.5,0.0,0.0,unknown,none,FORCE_BUY,0.0,1,100568.43752530831,100830.33449803047,0.0026041666666667407,0.0021530842932501655,101205.87590440693
2014-06-16,2014-06-16,92.4,92.33,92.45,0.5,0.0,0.0,unknown,none,FORCE_SELL,2.0,0,100830.33449803047,100753.94788098651,0.0,0.0,101293.57597018198
2014-06-17,2014-06-17,92.45,92.54,92.97,0.5,0.0,0.0,unknown,none,FREE,1.0,0,100753.94788098651,100753.94788098651,0.0023233196455586524,0.0007575757575757113,101348.3885112914
2014-06-18,2014-06-18,92.97,93.11,92.91,0.5,0.0,0.0,unknown,none,FORCE_BUY,0.0,1,100753.94788098651,100537.52870392498,-0.002147996992804213,0.0007575757575757113,101918.43893882922
2014-06-19,2014-06-19,92.91,92.7,92.77,0.5,0.0,0.0,unknown,none,FORCE_SELL,2.0,0,100537.52870392498,100310.28856801041,0.0,0.0029039454799310036,101852.66388949791
2014-06-20,2014-06-20,92.77,92.76,92.79,0.5,0.0,0.0,unknown,none,FREE,1.0,0,100310.28856801041,100310.28856801041,0.0001617076326002609,0.005157633688403743,101699.18877439157
2014-06-23,2014-06-23,92.79,92.78,92.7,0.5,0.0,0.0,unknown,none,FORCE_BUY,0.0,1,100310.28856801041,100223.79554057519,-0.0008622547962923166,0.005157633688403743,101721.11379083536
2014-06-24,2014-06-24,92.7,92.49,93.29,0.5,0.0,0.0,unknown,none,FREE,1.0,1,100223.79554057519,100861.68161791003,0.004324791869391387,0.00601544129031061,101622.45121683841
2014-06-25,2014-06-25,93.29,93.35,93.34,0.5,0.0,0.0,unknown,none,FORCE_BUY,0.0,1,100861.68161791003,100915.73976005704,-0.00010712372790566693,0.0,102269.2392019294
2014-06-26,2014-06-26,93.34,93.22,93.75,0.5,0.0,0.0,unknown,none,FORCE_SELL,2.0,0,100915.73976005704,100786.00021890418,0.0,0.0,102324.0517430388
2014-06-27,2014-06-27,93.75,93.73,93.91,0.5,0.0,0.0,unknown,none,FREE,1.0,0,100786.00021890418,100786.00021890418,0.0009602048436999633,0.0012856224555389676,102773.51458013593
2014-06-30,2014-06-30,93.91,94.24,94.94,0.5,0.0,0.0,unknown,none,FORCE_BUY,0.0,1,100786.00021890418,101534.62288606497,0.007427843803056167,0.0012856224555389676,102948.91471168604
2014-07-01,2014-07-01,94.94,95.0,95.1,0.5,0.0,0.0,unknown,none,FORCE_SELL,2.0,0,101534.62288606497,101598.79054325019,0.0,0.0,104078.0530585398
2014-07-02,2014-07-02,95.1,95.41,95.7,0.5,0.0,0.0,unknown,none,FREE,1.0,0,101598.79054325019,101598.79054325019,0.001519756838905817,0.0,104253.4531900899
2014-07-03,2014-07-03,95.7,95.59,95.41,0.5,0.0,0.0,unknown,none,FORCE_BUY,0.0,1,101598.79054325019,101407.4757373313,-0.0018830421592217483,0.0,104911.20368340277
2014-07-07,2014-07-07,95.41,95.23,94.26,0.5,0.0,0.0,unknown,none,FORCE_SELL,2.0,0,101407.4757373313,101216.16093141244,0.0,0.001883042159221773,104593.2909449682
2014-07-08,2014-07-08,94.26,94.51,94.96,0.5,0.0,0.0,unknown,none,FREE,1.0,0,101216.16093141244,101216.16093141244,0.0023807004549782906,0.003766084318443403,103332.60249945188
2014-07-09,2014-07-09,94.96,93.74,94.66,0.5,0.0,0.0,unknown,none,FORCE_BUY,0.0,1,101216.16093141244,102209.53481723384,0.009814380200554806,0.003766084318443403,104099.97807498355
2014-07-10,2014-07-10,94.66,94.9,95.27,0.5,0.0,0.0,unknown,none,FORCE_SELL,2.0,0,102209.53481723384,102468.6758309264,0.0,0.0,103771.10282832712
