side,seen_idx,exec_px,qty,fee,reason,pnl,entry_px,entry_idx
buy,48019,308.88,323.75032375032373,0.0,OPEN_LONG pred_ret=1.59% pred_mr=0.65,,,
sell,48047,308.29,323.75032375032373,0.0,CLOSE_LONG (sell BSP),-191.0126910126829,308.88,48019.0
buy,48318,307.32,324.77218309575466,0.0,OPEN_LONG pred_ret=1.63% pred_mr=0.75,,,
sell,48433,311.97,324.77218309575466,0.0,CLOSE_LONG (sell BSP),1510.1906513952702,307.32,48318.0
buy,48804,316.36,320.26545062707856,0.0,OPEN_LONG pred_ret=1.71% pred_mr=0.58,,,
sell,48818,316.4,320.26545062707856,0.0,CLOSE_LONG (sell BSP),12.810618025071491,316.36,48804.0
buy,48868,314.94,321.75013837050756,0.0,OPEN_LONG pred_ret=1.86% pred_mr=0.53,,,
sell,48887,314.405,321.75013837050756,0.0,CLOSE_LONG (sell BSP),-172.13632402822958,314.94,48868.0
buy,49033,312.94,323.2563822278374,0.0,OPEN_LONG pred_ret=3.18% pred_mr=0.79,,,
sell,49040,312.62,323.2563822278374,0.0,CLOSE_LONG (sell BSP),-103.44204231290576,312.94,49033.0
buy,49104,313.86,321.9792589436899,0.0,OPEN_LONG pred_ret=2.76% pred_mr=0.49,,,
sell,49114,314.19,321.9792589436899,0.0,CLOSE_LONG (sell BSP),106.25315545141254,313.86,49104.0
buy,49156,313.92,322.256190645763,0.0,OPEN_LONG pred_ret=2.58% pred_mr=0.46,,,
sell,49165,313.95,322.256190645763,0.0,CLOSE_LONG (sell BSP),9.667685719364098,313.92,49156.0
buy,49170,313.41,322.8114324789805,0.0,OPEN_LONG pred_ret=2.09% pred_mr=0.53,,,
sell,49251,316.68,322.8114324789805,0.0,CLOSE_LONG (sell BSP),1055.5933842062605,313.41,49170.0
buy,49261,316.27,323.2299125349972,0.0,OPEN_LONG pred_ret=2.43% pred_mr=0.49,,,
sell,49315,316.75,323.2299125349972,0.0,CLOSE_LONG (sell BSP),155.15035801680455,316.27,49261.0
buy,49321,316.03,323.966315841725,0.0,OPEN_LONG pred_ret=2.82% pred_mr=0.47,,,
sell,49352,315.92,323.966315841725,0.0,CLOSE_LONG (sell BSP),-35.63629474257576,316.03,49321.0
buy,49404,316.75,323.1174064742471,0.0,OPEN_LONG pred_ret=2.06% pred_mr=0.48,,,
sell,49491,314.9,323.1174064742471,0.0,CLOSE_LONG (sell BSP),-597.7672019773645,316.75,49404.0
buy,49519,313.8,324.250067873615,0.0,OPEN_LONG pred_ret=1.89% pred_mr=0.49,,,
sell,49573,314.7,324.250067873615,0.0,CLOSE_LONG (sell BSP),291.82506108624614,313.8,49519.0
buy,49591,311.37,327.7178159740073,0.0,OPEN_LONG pred_ret=1.73% pred_mr=0.52,,,
sell,49595,313.25,327.7178159740073,0.0,CLOSE_LONG (sell BSP),616.1094940311323,311.37,49591.0
