date,equity,cash,pos,qty,has_model,bsp_rows,ret_th_buy,mr_th_buy
2023-01-03,100000.0,100000.0,0,0.0,0,22,0.3,0.7
2023-01-04,100000.0,100000.0,0,0.0,0,42,0.3,0.7
2023-01-05,100000.0,100000.0,0,0.0,0,70,0.3,0.7
2023-01-06,100000.0,100000.0,0,0.0,0,85,0.3,0.7
2023-01-09,100000.0,100000.0,0,0.0,0,138,0.3,0.7
2023-01-10,100000.0,100000.0,0,0.0,0,158,0.3,0.7
2023-01-11,100000.0,100000.0,0,0.0,0,206,0.3,0.7
2023-01-12,100000.0,100000.0,0,0.0,0,251,0.3,0.7
2023-01-13,100000.0,100000.0,0,0.0,0,287,0.3,0.7
2023-01-17,100000.0,100000.0,0,0.0,0,314,0.3,0.7
2023-01-18,100000.0,100000.0,0,0.0,0,366,0.3,0.7
2023-01-19,100000.0,100000.0,0,0.0,0,410,0.3,0.7
2023-01-20,100000.0,100000.0,0,0.0,0,441,0.3,0.7
2023-01-23,100000.0,100000.0,0,0.0,0,474,0.3,0.7
2023-01-24,100000.0,100000.0,0,0.0,0,494,0.3,0.7
2023-01-25,100000.0,100000.0,0,0.0,0,542,0.3,0.7
2023-01-26,100000.0,100000.0,0,0.0,0,585,0.3,0.7
2023-01-27,100000.0,100000.0,0,0.0,0,628,0.3,0.7
2023-01-30,100000.0,100000.0,0,0.0,0,658,0.3,0.7
2023-01-31,100000.0,100000.0,0,0.0,0,696,0.3,0.7
2023-02-01,100000.0,100000.0,0,0.0,0,750,0.3,0.7
2023-02-02,100000.0,100000.0,0,0.0,0,788,0.3,0.7
2023-02-03,100000.0,100000.0,0,0.0,0,828,0.3,0.7
2023-02-06,100000.0,100000.0,0,0.0,0,879,0.3,0.7
2023-02-07,100000.0,100000.0,0,0.0,0,945,0.3,0.7
2023-02-08,100000.0,100000.0,0,0.0,0,971,0.3,0.7
2023-02-09,100000.0,100000.0,0,0.0,1,1026,1.6999999999999993,0.4
2023-02-10,100000.0,100000.0,0,0.0,1,1050,-0.5,0.4
2023-02-13,100000.0,100000.0,0,0.0,1,1095,-0.5,0.4
2023-02-14,100000.0,100000.0,0,0.0,1,1127,-0.5,0.4
2023-02-15,100000.0,100000.0,0,0.0,1,1144,-0.5,0.4
2023-02-16,100000.0,100000.0,0,0.0,1,1171,1.1999999999999997,0.4
2023-02-17,100000.0,100000.0,0,0.0,1,1203,1.0499999999999996,0.4
2023-02-21,100000.0,100000.0,0,0.0,1,1242,-0.5,0.4
2023-02-22,100000.0,100000.0,0,0.0,1,1264,-0.5,0.4
2023-02-23,100000.0,100000.0,0,0.0,1,1302,-0.5,0.4
2023-02-24,100000.0,100000.0,0,0.0,1,1338,-0.5,0.4
2023-02-27,100000.0,100000.0,0,0.0,1,1375,1.0499999999999996,0.6499999999999999
2023-02-28,100000.0,100000.0,0,0.0,1,1446,1.4499999999999995,0.6
2023-03-01,100000.0,100000.0,0,0.0,1,1476,1.4499999999999995,0.4
2023-03-02,100000.0,100000.0,0,0.0,1,1507,1.5499999999999994,0.4
2023-03-03,100000.0,100000.0,0,0.0,1,1567,0.6499999999999997,0.4
2023-03-06,100000.0,100000.0,0,0.0,1,1608,-0.5,0.4
2023-03-07,100000.0,100000.0,0,0.0,1,1635,-0.5,0.4
2023-03-08,100000.0,100000.0,0,0.0,1,1659,-0.5,0.4
2023-03-09,100000.0,100000.0,0,0.0,1,1710,-0.5,0.4
2023-03-10,100000.0,100000.0,0,0.0,1,1740,-0.5,0.4
2023-03-13,100000.0,100000.0,0,0.0,1,1781,-0.5,0.4
2023-03-14,100000.0,100000.0,0,0.0,1,1832,1.5499999999999994,0.4
2023-03-15,100000.0,100000.0,0,0.0,1,1878,1.3999999999999995,0.55
2023-03-16,100000.0,100000.0,0,0.0,1,1901,1.3499999999999996,0.6
2023-03-17,100000.0,100000.0,0,0.0,1,1923,1.2999999999999996,0.6
2023-03-20,100000.0,100000.0,0,0.0,1,1968,-0.5,0.4
2023-03-21,100000.0,100000.0,0,0.0,1,2017,-0.5,0.4
2023-03-22,100000.0,100000.0,0,0.0,1,2062,-0.5,0.4
2023-03-23,100000.0,100000.0,0,0.0,1,2094,-0.5,0.4
2023-03-24,100000.0,100000.0,0,0.0,1,2127,-0.5,0.4
2023-03-27,100000.0,100000.0,0,0.0,1,2158,-0.5,0.4
2023-03-28,100000.0,100000.0,0,0.0,1,2188,-0.5,0.45
2023-03-29,100000.0,100000.0,0,0.0,1,2235,-0.5,0.45
2023-03-30,100000.0,100000.0,0,0.0,1,2287,1.7499999999999996,0.4
2023-03-31,100000.0,100000.0,0,0.0,1,2316,1.7999999999999994,0.4
2023-04-03,100083.31361308054,100083.31361308054,0,0.0,1,2369,-0.5,0.4
2023-04-04,99637.81078821748,0.0,1,311.7773665067197,1,2397,-0.5,0.4
2023-04-05,98384.39385207614,0.0,1,312.0342335936446,1,2439,-0.5,0.4
2023-04-06,98973.46226673252,98973.46226673252,0,0.0,1,2480,-0.5,0.4
2023-04-10,98823.63262485988,98823.63262485988,0,0.0,1,2519,-0.5,0.6499999999999999
2023-04-11,98773.62857305893,98773.62857305893,0,0.0,1,2569,1.1499999999999997,0.75
2023-04-12,98773.62857305893,98773.62857305893,0,0.0,1,2596,1.1499999999999997,0.75
2023-04-13,98773.62857305893,98773.62857305893,0,0.0,1,2637,1.2999999999999996,0.7
2023-04-14,98773.62857305893,98773.62857305893,0,0.0,1,2676,0.9999999999999996,0.6
2023-04-17,99110.86782084251,99110.86782084251,0,0.0,1,2724,-0.5,0.6499999999999999
2023-04-18,99307.25041787705,99307.25041787705,0,0.0,1,2743,-0.5,0.6499999999999999
2023-04-19,99188.15066986128,99188.15066986128,0,0.0,1,2794,-0.5,0.7
2023-04-20,99188.15066986128,99188.15066986128,0,0.0,1,2826,1.3999999999999995,0.4
2023-04-21,100232.72163263329,0.0,1,316.7110769484115,1,2853,1.2999999999999996,0.4
2023-04-24,99746.49867586239,99746.49867586239,0,0.0,1,2908,-0.5,0.4
2023-04-25,100393.88295555221,0.0,1,320.102933251131,1,2937,-0.5,0.4
2023-04-26,100467.25165749458,100467.25165749458,0,0.0,1,2976,-0.5,0.4
2023-04-27,100609.07416311304,100609.07416311304,0,0.0,1,3023,0.5999999999999996,0.5
2023-04-28,100609.07416311304,100609.07416311304,0,0.0,1,3070,0.7499999999999998,0.55
2023-05-01,100609.07416311304,100609.07416311304,0,0.0,1,3101,-0.5,0.5
2023-05-02,99708.3390675882,0.0,1,312.27165382896396,1,3146,-0.5,0.5
2023-05-03,99785.01542413102,99785.01542413102,0,0.0,1,3180,-0.5,0.5
2023-05-04,100849.63524934844,100849.63524934844,0,0.0,1,3215,-0.5,0.4
2023-05-05,101097.8012468783,101097.8012468783,0,0.0,1,3275,1.7499999999999996,0.5
2023-05-08,101355.23894081799,101355.23894081799,0,0.0,1,3304,1.7499999999999996,0.5
