bsp2_bi_amp,bsp2_bi_amp_rate,bsp2_break_bi_amp,bsp2_break_bi_amp_rate,bsp2_retrace_rate,bsp2s_bi_amp,bsp2s_bi_amp_rate,bsp2s_break_bi_amp,bsp2s_break_bi_amp_rate,bsp2s_lv,bsp2s_retrace_rate,bsp3_bi_amp,bsp3_bi_amp_rate,bsp3_zs_height,bsp_bi_amp,divergence_rate,index,is_buy,is_segbsp,kdj_d,kdj_j,kdj_k,macd_dea,macd_diff,macd_value,next_bi_return,ppo,rsi,timestamp,type,volume
,,,,,,,,,,,0.1100006103515625,0.002301749492451306,0.0016638521903248238,0.1100006103515625,,634,False,False,52.53160272258417,96.44358759054671,67.16893101190502,-0.014168169072151746,-0.0077583876392921525,0.012819562865719187,0.001148231804252997,-0.00016207167945600515,55.3195452041016,2025/06/20 18:03,3b,7030.0
,,,,,,,,,,,0.23170089721679688,0.0048040825091422625,0.001149551756140032,0.23170089721679688,,765,True,False,61.178733361030005,12.795942713126763,45.05113647839559,0.028934256130103198,0.023249957935391308,-0.01136859638942378,0.007535724714058436,0.0004838221235650725,47.979918535921584,2025/06/23 13:44,3b,7130.0
0.345001220703125,0.007062461238067259,0.5150032043457031,0.01043255721330907,0.6699011147735269,,,,,,,0.345001220703125,0.007062461238067259,0.0002030528268153066,0.345001220703125,,1244,False,False,80.98448450007984,95.1937548576845,85.72090795261474,-0.010873576240740906,0.0029706232712953806,0.027688399024072573,0.0013212445799816288,6.0451629349621294e-05,59.48600525424709,2025/06/24 15:38,"2,3b",3899.0
,,,,,0.1100006103515625,0.0022472034450885052,0.20000076293945312,0.0040625790127798945,1.0,0.15001239771881975,0.1100006103515625,0.0022472034450885052,0.0011192573434864004,0.1100006103515625,,1503,False,False,32.69612016798598,67.06171968480885,44.15132000692694,-0.030729652586870947,-0.031868480843492364,-0.002277656513242833,0.021402426057196354,-0.0006495721141519503,41.31495129531185,2025/06/24 19:58,"2s,3b",93590.0
