side,signal_idx,exec_idx,seen_idx,exec_px,qty,fee,reason,ts,p_day,pred,th,gate,pnl,entry_px,entry_idx,entry_signal_idx
buy,248955,248956,248956,474.22,210.8725907806503,0.0,FORCE_BUY->first acceptable 5m signal,2024-01-02 06:10:00,0.1889499125006648,1.5004783868789673,1.4999999999999996,FORCE_BUY,,,,
sell,249310,249311,249311,469.26,210.8725907806503,0.0,FORCE_SELL->first acceptable 5m signal,2024-01-04 04:00:00,0.32394716530307616,0.46603521704673767,-0.5,FORCE_SELL,-1045.9280502720333,474.22,248956.0,248955.0
buy,249500,249501,249501,466.46,212.1383868921836,0.0,5m BUY signal,2024-01-05 04:00:00,0.27761783874389057,2.9231157302856445,1.7999999999999994,FREE,,,,
sell,249751,249752,249752,469.08,212.1383868921836,0.0,5m SELL signal,2024-01-08 09:30:00,0.2977325056286978,1.0723086595535278,-0.5,FREE,555.802573657522,466.46,249501.0,249500.0
buy,250447,250448,250448,476.3,208.9226842817247,0.0,5m BUY signal,2024-01-12 04:50:00,0.2130990638369089,0.6151177883148193,0.5499999999999998,FREE,,,,
sell,250501,250502,250502,477.84,208.9226842817247,0.0,5m SELL signal,2024-01-12 09:25:00,0.2130990638369089,1.9324291944503784,1.5499999999999994,FREE,321.74093379384846,476.3,250448.0,250447.0
buy,250511,250512,250512,476.0,209.73028457390615,0.0,5m BUY signal,2024-01-12 10:15:00,0.2130990638369089,1.3177523612976074,0.5499999999999998,FREE,,,,
sell,250852,250853,250853,473.63,209.73028457390615,0.0,5m SELL signal,2024-01-17 07:20:00,0.2073347491238123,1.0630180835723877,0.9999999999999996,FREE,-497.0607744401585,476.0,250512.0,250511.0
buy,250926,250927,250927,470.43,211.15693021860673,0.0,5m BUY signal,2024-01-17 13:30:00,0.2073347491238123,1.051425814628601,0.9999999999999996,FREE,,,,
sell,251023,251024,251024,473.25,211.15693021860673,0.0,5m SELL signal,2024-01-18 05:50:00,0.2107762148853682,1.2829184532165527,-0.5,FREE,595.4625432164695,470.43,250927.0,250926.0
buy,251097,251098,251098,473.41,211.0855647872999,0.0,5m BUY signal,2024-01-18 12:00:00,0.2107762148853682,1.096562385559082,0.7499999999999998,FREE,,,,
sell,251116,251117,251117,473.6001,211.0855647872999,0.0,5m SELL signal,2024-01-18 13:35:00,0.2107762148853682,0.6800962090492249,-0.5,FREE,40.12736586605993,473.41,251098.0,251097.0
buy,251431,251432,251432,484.2105,206.46009244289766,0.0,5m BUY signal,2024-01-22 08:05:00,0.21307644476443513,2.125277280807495,0.8499999999999996,FREE,,,,
sell,251452,251453,251453,485.16,206.46009244289766,0.0,5m SELL signal,2024-01-22 09:50:00,0.21307644476443513,1.3128480911254883,1.1999999999999997,FREE,196.0338577745314,484.2105,251432.0,251431.0
buy,251460,251461,251461,483.99,206.9591901683841,0.0,5m BUY signal,2024-01-22 10:30:00,0.21307644476443513,2.0912885665893555,0.8499999999999996,FREE,,,,
sell,251756,251757,251757,486.87,206.9591901683841,0.0,5m SELL signal,2024-01-24 04:10:00,0.2541701484285404,1.360007643699646,1.1999999999999997,FREE,596.0424676849453,483.99,251461.0,251460.0
buy,251883,251884,251884,485.89,207.3766097620473,0.0,5m BUY signal,2024-01-24 15:10:00,0.2541701484285404,1.1598951816558838,-0.5,FREE,,,,
sell,252083,252084,252084,488.09,207.3766097620473,0.0,5m SELL signal,2024-01-25 16:40:00,0.2110506574684483,2.138338088989258,2.0499999999999994,FREE,456.22854147650173,485.89,251884.0,251883.0
buy,252122,252123,252123,485.91,208.30698989269135,0.0,5m BUY signal,2024-01-26 04:00:00,0.2098383765691584,1.601730227470398,1.3499999999999996,FREE,,,,
sell,252205,252206,252206,488.7184,208.30698989269135,0.0,5m SELL signal,2024-01-26 11:00:00,0.2098383765691584,1.7374317646026611,1.6499999999999995,FREE,585.0093504146238,485.91,252123.0,252122.0
buy,252226,252227,252227,486.8,209.12789402048537,0.0,5m BUY signal,2024-01-26 12:45:00,0.2098383765691584,1.4453188180923462,1.3499999999999996,FREE,,,,
sell,252868,252869,252869,483.99,209.12789402048537,0.0,FORCE_SELL->first acceptable 5m signal,2024-01-31 19:20:00,0.338103297304996,1.5944585800170898,1.3999999999999995,FORCE_SELL,-587.6493821975644,486.8,252227.0,252226.0
buy,252960,252961,252961,484.17,209.05014649188243,0.0,5m BUY signal,2024-02-01 11:00:00,0.22953808665627037,1.3411335945129395,1.2999999999999996,FREE,,,,
sell,252966,252967,252967,485.19,209.05014649188243,0.0,5m SELL signal,2024-02-01 11:30:00,0.22953808665627037,1.1681865453720093,-0.5,FREE,213.23114942171628,484.17,252961.0,252960.0
buy,253043,253044,253044,491.53,206.35371305189193,0.0,5m BUY signal,2024-02-01 17:55:00,0.22953808665627037,1.41633939743042,1.2999999999999996,FREE,,,,
sell,253052,253053,253053,491.78,206.35371305189193,0.0,5m SELL signal,2024-02-01 18:40:00,0.22953808665627037,1.052151083946228,-0.5,FREE,51.58842826297298,491.53,253044.0,253043.0
buy,253076,253077,253077,491.71,206.383089635475,0.0,5m BUY signal,2024-02-02 04:40:00,0.26818594516958566,1.1479989290237427,-0.5,FREE,,,,
sell,253131,253132,253132,489.61,206.383089635475,0.0,5m SELL signal,2024-02-02 09:30:00,0.26818594516958566,1.332559585571289,1.2499999999999996,FREE,-433.40448823449043,491.71,253077.0,253076.0
buy,253204,253205,253205,495.235,204.03894013231076,0.0,5m BUY signal,2024-02-02 15:35:00,0.26818594516958566,0.727885901927948,-0.5,FREE,,,,
sell,254007,254008,254008,498.92,204.03894013231076,0.0,5m SELL signal,2024-02-09 04:00:00,0.21995083743307894,1.3535864353179932,0.8999999999999997,FREE,751.8834943875656,495.235,253205.0,253204.0
buy,254071,254072,254072,498.86,204.06348075775264,0.0,5m BUY signal,2024-02-09 09:25:00,0.21995083743307894,1.29940664768219,-0.5,FREE,,,,
sell,254085,254086,254086,499.78,204.06348075775264,0.0,5m SELL signal,2024-02-09 10:35:00,0.21995083743307894,0.9931488633155823,0.8999999999999997,FREE,187.73840229712408,498.86,254072.0,254071.0
buy,254240,254241,254241,501.14,203.50969073135175,0.0,5m BUY signal,2024-02-12 08:30:00,0.26168251415345967,1.204164981842041,-0.5,FREE,,,,
sell,254404,254405,254405,499.43,203.50969073135175,0.0,FORCE_SELL->first acceptable 5m signal,2024-02-13 06:15:00,0.3257838506367569,0.6731758713722229,-0.5,FORCE_SELL,-348.00157115060733,501.14,254241.0,254240.0
buy,255017,255018,255018,499.65,203.4200837425378,0.0,5m BUY signal,2024-02-16 09:55:00,0.28061709704352533,1.4504212141036987,1.4499999999999995,FREE,,,,
