side,seen_idx,exec_px,qty,fee,reason,ts,pred,th,gate,pnl,entry_px,entry_idx
buy,581988,421.2401,237.3943031539495,0.0,5m BUY signal,2024-01-22 13:25:00,1.132744550704956,0.19999999999999984,FREE,,,
sell,581995,422.27,237.3943031539495,0.0,5m SELL signal,2024-01-22 14:00:00,1.8551915884017944,-0.5,FREE,244.49239281825206,421.2401,581988.0
buy,581999,421.57,237.7884868297513,0.0,5m BUY signal,2024-01-22 14:20:00,1.1106774806976318,0.19999999999999984,FREE,,,
sell,582009,422.06,237.7884868297513,0.0,5m SELL signal,2024-01-22 15:10:00,1.3540360927581787,-0.5,FREE,116.51635854658029,421.57,581999.0
buy,582018,421.72,237.98019717197388,0.0,5m BUY signal,2024-01-22 15:55:00,0.8271268606185913,0.19999999999999984,FREE,,,
sell,582044,421.83,237.98019717197388,0.0,5m SELL signal,2024-01-22 18:05:00,4.175961017608643,-0.5,FREE,26.177821688906846,421.72,582018.0
buy,582058,421.93,237.92379440441243,0.0,5m BUY signal,2024-01-22 19:15:00,0.7092167735099792,0.19999999999999984,FREE,,,
sell,582258,426.42,237.92379440441243,0.0,ADAPTIVE_FORCE_SELL->first acceptable 5m signal,2024-01-24 04:00:00,5.360413074493408,2.349999999999999,FORCE_SELL,1068.277836875814,421.93,582058.0
buy,583477,419.08,242.09092395229922,0.0,ADAPTIVE_FORCE_BUY->first acceptable 5m signal,2024-02-01 10:00:00,2.1695022583007812,-0.5,FORCE_BUY,,,
sell,583597,426.75,242.09092395229922,0.0,5m SELL signal,2024-02-02 04:00:00,5.372474193572998,-0.5,FREE,1856.8373867141388,419.08,583477.0
buy,583647,426.41,242.2839562783323,0.0,5m BUY signal,2024-02-02 08:15:00,1.6721752882003784,-0.5,FREE,,,
sell,583663,424.92,242.2839562783323,0.0,5m SELL signal,2024-02-02 09:35:00,5.227715969085693,-0.5,FREE,-361.00309485471735,426.41,583647.0
buy,584047,428.24,240.40561064307155,0.0,5m BUY signal,2024-02-06 09:50:00,1.9353798627853394,1.8999999999999995,FREE,,,
sell,584062,427.2083,240.40561064307155,0.0,5m SELL signal,2024-02-06 11:05:00,3.1248369216918945,2.499999999999999,FREE,-248.0264685004571,428.24,584047.0
buy,584071,426.01,241.08183430738364,0.0,5m BUY signal,2024-02-06 11:50:00,2.1782772541046143,1.8999999999999995,FREE,,,
sell,584081,426.47,241.08183430738364,0.0,5m SELL signal,2024-02-06 12:40:00,4.667083740234375,2.499999999999999,FREE,110.89764378140525,426.01,584071.0
buy,584100,425.545,241.605869830617,0.0,5m BUY signal,2024-02-06 14:15:00,2.020878314971924,1.8999999999999995,FREE,,,
sell,584108,427.02,241.605869830617,0.0,5m SELL signal,2024-02-06 14:55:00,2.637333631515503,2.499999999999999,FREE,356.3686580001518,425.545,584100.0
