bsp2_bi_amp,bsp2_bi_amp_rate,bsp2_break_bi_amp,bsp2_break_bi_amp_rate,bsp2_retrace_rate,bsp3_bi_amp,bsp3_bi_amp_rate,bsp3_zs_height,bsp_bi_amp,divergence_rate,index,is_buy,is_segbsp,kdj,macd_dea,macd_diff,macd_value,next_bi_return,ppo,rsi,timestamp,type,volume
,,,,,0.20999908447265625,0.0029837893246359532,0.0007166774775271357,0.20999908447265625,,426,True,False,<Math.KDJ.KDJ_Item object at 0x000002414A6C75F0>,0.07289047330477894,0.05105292926063498,-0.043675088088287906,0.004275374940662075,0.0007271658654575058,53.80611086621306,2025/06/18 14:38,3b,2070.0
,,,,,0.0749969482421875,0.0010782394926768014,0.0022961543055986374,0.0749969482421875,,1228,False,False,<Math.KDJ.KDJ_Item object at 0x0000024149279250>,-0.029110869835876324,-0.02125859302125832,0.015704553629236007,0.010914757099155726,-0.00030531946049656847,50.131705523712334,2025/06/23 16:07,3b,128.0
,,,,,0.470001220703125,0.006639372999358631,0.005186471141962349,0.470001220703125,,1473,True,False,<Math.KDJ.KDJ_Item object at 0x000002414A02A510>,0.08156746888665183,0.019869478536037377,-0.1233959807012289,0.007252590137141405,0.0002816892345270946,37.60969036285885,2025/06/24 13:57,3b,1780.0
0.12000274658203125,0.0016999964981952735,0.3950042724609375,0.0055646160324655265,0.3038011357051802,0.12000274658203125,0.0016999964981952735,0.0003222433744972561,0.12000274658203125,,1646,False,False,<Math.KDJ.KDJ_Item object at 0x00000241494C3C50>,-0.023252476328049127,-0.016063077331978093,0.014378797992142069,0.0029698640530568237,-0.00022724481175870155,50.632608589348614,2025/06/24 17:08,"2,3b",9129.0
