side,entry_idx,entry_price,entry_reason,exit_idx,exit_price,pnl,return_pct,exit_reason
short,10698,384.48,OPEN_SHORT pM=0.75 ret=1.39,16558.0,353.33,8101.851851851869,8.101851851851869,CLOSE_SHORT pM=0.81 ret=3.95
long,17873,353.62,OPEN_LONG pM=0.81 ret=2.76,29867.0,303.43,-15343.113920152842,-14.193201741982925,CLOSE_LONG pM=0.51 ret=2.89
long,29961,303.1701,OPEN_LONG pM=0.66 ret=5.03,32364.0,310.54,2254.9143951954175,2.430945531897789,CLOSE_LONG pM=0.53 ret=2.68
long,32460,306.55,OPEN_LONG pM=0.62 ret=4.13,33086.0,299.93,-2051.8361716001964,-2.1595172076333347,CLOSE_LONG pM=0.75 ret=3.01
short,33645,276.45,OPEN_SHORT pM=0.70 ret=4.03,34297.0,279.2,-924.7422478822846,-0.9947549285585033,CLOSE_SHORT pM=0.80 ret=5.42
short,34918,292.3,OPEN_SHORT pM=0.84 ret=4.10,36002.0,280.21,3806.801996375696,4.136161477933649,CLOSE_SHORT pM=0.84 ret=3.40
short,36209,286.77,OPEN_SHORT pM=0.84 ret=4.32,36435.0,291.41,-1550.7744331470458,-1.618021410886786,CLOSE_SHORT pM=0.86 ret=2.20
long,36660,295.23,OPEN_LONG pM=0.75 ret=4.18,37189.0,290.31,-1571.391996868726,-1.6664973071842368,CLOSE_LONG pM=0.56 ret=4.00
long,37677,291.97,OPEN_LONG pM=0.81 ret=4.22,40602.0,323.9,10140.097213746383,10.936055074151433,CLOSE_LONG pM=0.57 ret=3.99
short,41005,324.24,OPEN_SHORT pM=0.71 ret=3.70,41898.0,332.02,-2468.125018593899,-2.3994571922032866,CLOSE_SHORT pM=0.72 ret=2.18
long,41956,329.25,OPEN_LONG pM=0.62 ret=3.67,42117.0,329.03,-67.08157924728584,-0.06681852695521785,CLOSE_LONG pM=0.56 ret=3.96
short,42142,329.69,OPEN_SHORT pM=0.56 ret=4.73,42466.0,321.81,2397.9302032413834,2.390124055931318,CLOSE_SHORT pM=0.57 ret=4.45
long,42477,318.7,OPEN_LONG pM=0.65 ret=4.51,42618.0,314.13,-1473.0188372721605,-1.4339504235958584,CLOSE_LONG pM=0.63 ret=4.83
short,42716,315.23,OPEN_SHORT pM=0.79 ret=4.04,42860.0,313.48,562.0979762312636,0.5551502077847926,CLOSE_SHORT pM=0.60 ret=1.98
short,43051,318.37,OPEN_SHORT pM=0.52 ret=4.44,43170.0,318.65,-89.54301800082612,-0.08794798504883417,CLOSE_SHORT pM=0.78 ret=1.18
long,43278,318.61,OPEN_LONG pM=0.67 ret=3.66,44415.0,297.3,-6803.7407968353655,-6.688427858510411,CLOSE_LONG pM=0.86 ret=3.22
long,44464,293.66,OPEN_LONG pM=0.61 ret=3.54,45172.0,309.4,5087.672564231514,5.359940066743835,CLOSE_LONG pM=0.77 ret=3.29
short,45383,312.9,OPEN_SHORT pM=0.57 ret=4.13,45409.0,301.62,3605.2739516930596,3.604985618408437,CLOSE_SHORT pM=0.72 ret=5.20
long,45413,301.22,OPEN_LONG pM=0.56 ret=5.38,45539.0,295.28,-2043.2336381044443,-1.9719806121771555,CLOSE_LONG pM=0.51 ret=3.32
long,45794,294.36,OPEN_LONG pM=0.67 ret=2.61,46696.0,285.0,-3229.703629269963,-3.179779861394219,CLOSE_LONG pM=0.67 ret=3.70
long,46999,274.56,OPEN_LONG pM=0.69 ret=3.33,48248.0,279.52,1776.5445109751308,1.806526806526798,CLOSE_LONG pM=0.62 ret=3.45
short,48250,279.66,OPEN_SHORT pM=0.79 ret=3.74,48418.0,279.51,53.699248753793654,0.053636558678398505,CLOSE_SHORT pM=0.75 ret=3.52
long,48459,280.19,OPEN_LONG pM=0.76 ret=2.41,50137.0,274.6,-1998.4779418092803,-1.995074770691319,CLOSE_LONG pM=0.80 ret=3.16
long,50171,273.95,OPEN_LONG pM=0.71 ret=5.20,50188.0,275.58,584.123103172562,0.5949990874247127,CLOSE_LONG pM=0.68 ret=3.46
short,50193,275.91,OPEN_SHORT pM=0.89 ret=3.24,50438.0,268.65,2598.5654187645705,2.631292812873794,CLOSE_SHORT pM=0.63 ret=5.76
short,50531,268.34,OPEN_SHORT pM=0.70 ret=2.82,51396.0,280.18,-4472.090274251008,-4.412312737571762,CLOSE_SHORT pM=0.52 ret=4.15
long,51399,279.78,OPEN_LONG pM=0.55 ret=4.29,51474.0,278.92,-297.80227707778977,-0.3073843734362503,CLOSE_LONG pM=0.59 ret=2.47
long,51630,268.92,OPEN_LONG pM=0.52 ret=4.52,52310.0,275.11,2223.1909500557813,2.3017997917596333,CLOSE_LONG pM=0.66 ret=2.46
long,52471,263.84,OPEN_LONG pM=0.56 ret=5.10,52845.0,266.34,936.2500720528915,0.9475439660400108,CLOSE_LONG pM=0.57 ret=2.51
short,52895,265.41,OPEN_SHORT pM=0.53 ret=3.47,53130.0,268.2399,-1063.5111758786516,-1.0662371425341721,CLOSE_SHORT pM=0.61 ret=3.86
long,53133,268.17,OPEN_LONG pM=0.81 ret=4.42,53139.0,267.678,-181.04548099405656,-0.18346571204834325,CLOSE_LONG pM=0.53 ret=3.13
long,53141,268.09,OPEN_LONG pM=0.88 ret=5.57,53426.0,264.75,-1227.1597918782645,-1.2458502741616486,CLOSE_LONG pM=0.58 ret=3.26
long,53447,272.08,OPEN_LONG pM=0.68 ret=6.41,53459.0,275.62,1265.6023197047616,1.3010879153190313,CLOSE_LONG pM=0.56 ret=3.31
short,53542,283.25,OPEN_SHORT pM=0.73 ret=4.75,53781.0,286.02,-963.6394676988275,-0.977934686672546,CLOSE_SHORT pM=0.54 ret=4.05
long,53788,285.7,OPEN_LONG pM=0.51 ret=4.33,54015.0,289.71,1369.5277639437409,1.4035701785089223,CLOSE_LONG pM=0.59 ret=4.40
short,54018,290.1,OPEN_SHORT pM=0.53 ret=3.56,54024.0,293.25,-1074.3672950940818,-1.0858324715615244,CLOSE_SHORT pM=0.52 ret=3.25
long,54185,289.06,OPEN_LONG pM=0.51 ret=3.02,54565.0,287.01,-694.0876507440698,-0.7091953227703537,CLOSE_LONG pM=0.70 ret=3.37
short,55832,280.56,OPEN_SHORT pM=0.64 ret=3.65,56091.0,294.175,-4715.734846951353,-4.852794411177645,CLOSE_SHORT pM=0.75 ret=3.50
short,56621,287.65,OPEN_SHORT pM=0.79 ret=3.69,57046.0,280.86,2182.5234511518356,2.3605075612723696,CLOSE_SHORT pM=0.80 ret=3.30
