bsp3_bi_amp,bsp3_bi_amp_rate,bsp3_bi_klu_cnt,bsp3_zs_height,bsp_bi_amp,divergence_rate,index,is_buy,is_segbsp,kdj_d,kdj_j,kdj_k,macd_dea,macd_diff,macd_value,next_bi_return,ppo,rsi,timestamp,type,volume
10.5,0.002218817687146706,5,0.0031374634405743154,10.5,,1240,True,False,70.24778749728046,22.373441819957577,54.28967227150616,3.6717710270909434,4.174184968803274,1.004827883424662,0.0025943770847673,0.0008846434670750861,59.68524273138601,2023/08/14 11:20,3a,10026.0
6.5,0.0013942513942513943,5,0.001075268817204301,6.5,,2014,True,False,44.138007508607004,-12.761278707139212,25.171578770024933,0.8698340525229231,0.44273078139394784,-0.8542065422579506,0.002577596391365052,9.504365292344872e-05,42.03113459542369,2023/08/17 06:50,3a,1490.0
14.25,0.003085417343293277,7,0.0011961722488038277,14.25,,2391,True,False,44.06387000857955,0.18742308113691308,29.438387699432003,1.0217663431124564,0.34075408057924506,-1.3620245250664227,0.004886789379377749,7.391736510490595e-05,42.15216177633873,2023/08/18 15:15,3a,15147.0
8.5,0.0018363489062921956,20,0.0009207604397985159,8.5,,3660,True,False,32.0818054519527,1.0578701797563923,21.740493694553926,0.9023782492955703,0.2518106086836269,-1.3011352812238868,0.008278772793679995,5.446147446817609e-05,43.37496687455771,2023/08/25 06:00,3a,962.0
4.75,0.0010042814102225277,29,0.0016351935858212891,4.75,,5705,False,False,70.54489348814616,87.97117089595062,76.35365262408098,-0.3667257113329337,-0.0342868780317076,0.6648776666024522,0.0015841165909810963,-7.2445380087330304e-06,56.07167397498046,2023/09/05 20:25,3a,389.0
9.25,0.001962448286835685,15,0.0013854843866567196,9.25,,6636,True,False,21.476393218160425,2.8673725994996175,15.273386345273488,0.7452276606521572,-0.12754321941156377,-1.7455417601274419,0.0013817292873465484,-2.709033033112017e-05,40.407254215647846,2023/09/11 05:00,3a,807.0
11.0,0.0023352085765842266,5,0.0012263396427619302,11.0,,7271,True,False,67.03034252563884,30.204845724431664,54.755176925236455,2.9607228546820346,2.683347486630737,-0.5547507361025952,0.0026066602830088306,0.000570558166573919,50.726829794855476,2023/09/13 11:55,3a,15669.0
9.5,0.002007395668251453,7,0.0021233676611105215,9.5,,7545,True,False,50.82220897842272,1.9446985046089935,34.52970548715148,2.5675483763959797,2.4177579827974114,-0.29958078719713654,0.0035464746982849884,0.0005117775564600939,55.4222646035039,2023/09/14 11:45,3a,19323.0
11.5,0.0024524177640347605,21,5.2709255745308875e-05,11.5,,7833,False,False,72.12680590459107,77.54407156894075,73.93256112604097,-3.3441054064216944,-2.133648455716866,2.420913901409657,0.005371483273945647,-0.0004539257116795889,46.00010242318697,2023/09/15 12:45,3a,7757.0
4.75,0.0010297544848517695,23,0.001228960726689821,4.75,,8791,False,False,45.54795865736436,46.72414681544629,45.94002137672501,-0.2380170815884599,-0.14989524662723852,0.17624366992244278,0.0010828370330265296,-3.246898710651154e-05,49.13118571376613,2023/09/21 00:35,3a,509.0
6.25,0.0013688879154574824,15,0.0007683863885839736,6.25,,9146,True,False,43.01295068217467,15.876521465270187,33.96747427653984,0.5134798042928997,0.2681476060406567,-0.4906643965044861,0.002796359249917754,5.8774608275880637e-05,45.70931093065644,2023/09/22 07:10,3a,2050.0
9.25,0.002044198895027624,7,0.0015432098765432098,9.25,,9443,False,False,58.655289306338226,105.00212428430116,74.10423429899254,-2.435279156752041,-1.9725534552953832,0.9254514029133158,0.003197882781055301,-0.000435076669891782,48.5251221211468,2023/09/25 08:55,3a,2776.0
11.25,0.002514668901927913,6,0.0017194519940096512,11.25,,10042,False,False,39.417353217154314,93.00859281038956,57.281099748232734,-5.734879531304923,-4.9734538829270605,1.522851296755725,0.005908584169453735,-0.0011085679256766436,43.198998179799744,2023/09/27 12:50,3a,11052.0
