date,p_day,buy_level,sell_level,gate,reward,equity,best_action_ex_post,oracle_best_reward
2012-01-03,0.242041881665375,0.1,0.22,FORCE_SELL,0.0,100000.0,FREE,0.0037018409917601
2012-01-04,0.2374091693748945,0.12,0.24,FREE,0.0020988539874833,100209.88539874833,FORCE_BUY,0.005981703026038
2012-01-05,0.2307252363852028,0.15,0.25,FREE,0.0,100209.88539874833,FORCE_BUY,0.0
2012-01-06,0.2417577447878376,0.18,0.28,FREE,0.0,100209.88539874833,FORCE_BUY,0.0
2012-01-09,0.2240535984955211,0.2,0.3,FREE,0.0,100209.88539874833,FORCE_BUY,0.0
2012-01-10,0.2319851197982793,0.22,0.32,FREE,-0.0031005995087221,99899.17467731188,FORCE_SELL,0.0
2012-01-11,0.2297802693910621,0.25,0.35,FORCE_BUY,0.0055363321799307,100452.2496928264,FORCE_BUY,0.0055363321799307
2012-01-12,0.2256249204492578,0.25,0.35,FORCE_BUY,0.0032567706547822,100779.39963183284,FORCE_BUY,0.0032567706547822
2012-01-13,0.2252605947491992,0.12,0.24,FREE,-0.007880760664725,99985.18130339969,FORCE_SELL,0.0
2012-01-17,0.2337566535503773,0.2,0.3,FREE,0.0022195663308861,100207.10504540826,FORCE_BUY,0.0034147174321324
2012-01-18,0.226839667645212,0.15,0.25,FREE,0.0042864432726654,100636.63711670344,FORCE_BUY,0.0112263990474571
2012-01-19,0.2283493812994895,0.18,0.28,FREE,-0.0028395052577483,100350.87885648845,FORCE_BUY,0.0016801075268817
2012-01-20,0.2234743602342103,0.1,0.22,FORCE_SELL,0.0,100350.87885648845,FORCE_BUY,0.0
2012-01-23,0.2207533701450341,0.22,0.32,FREE,0.0080579373590128,101159.49995223591,FREE,0.0080579373590128
2012-01-24,0.2155992341670371,0.25,0.35,FORCE_BUY,0.0112096369416094,102293.46121989524,FREE,0.0152608059990893
2012-01-25,0.2323672729967586,0.22,0.32,FREE,0.0010106207840527,102396.84111787676,FORCE_BUY,0.0018254231662793
2012-01-26,0.2420810506834212,0.15,0.25,FREE,-0.0028170460661184,102108.38449942268,FORCE_SELL,0.0038142620232172
2012-01-27,0.2099246467078823,0.25,0.35,FORCE_BUY,0.0051615051615049,102635.41745304938,FORCE_BUY,0.0051615051615049
2012-01-30,0.220296764180102,0.2,0.3,FREE,0.0071464477221064,103368.89609831416,FORCE_BUY,0.0094936708860759
2012-01-31,0.2289640885170069,0.22,0.32,FREE,-0.00559855096328,102790.18006548975,FORCE_SELL,0.0
2012-02-01,0.2150126058822241,0.1,0.22,FREE,0.0,102790.18006548975,FORCE_BUY,0.0
2012-02-02,0.2073336247167839,0.18,0.28,FREE,0.0,102790.18006548975,FORCE_BUY,0.0
2012-02-03,0.2287466752343993,0.12,0.24,FREE,0.0,102790.18006548975,FORCE_BUY,0.0
2012-02-06,0.2107907271379778,0.25,0.35,FORCE_BUY,0.0058327932598833,103389.73393495794,FORCE_BUY,0.0058327932598833
2012-02-07,0.2140435590580456,0.2,0.3,FREE,0.0032315398287284,103723.84197805039,FORCE_BUY,0.0032315398287284
