feature,coef_mean,abs_coef_mean,direction,coef_fold_0,coef_fold_1,coef_fold_2
spgsci_vol_20,-1.6299635737823446,1.6299635737823446,more_stable,-2.578555427527541,-2.358855793324251,0.04752049950475829
vxn_vol_40,-1.3821183471458445,1.3821183471458445,more_stable,-1.7937907411105243,-1.9212883064257693,-0.43127599390123994
rvx_above_ma_20,1.364584649590505,1.364584649590505,more_unstable,1.3125451391056557,1.091092393268788,1.6901164163970712
yc_10y5y_level,-1.2686264819053366,1.2686264819053366,more_stable,-2.367449436994082,-1.6561657176932045,0.21773570897127684
spgsci_ret_10,1.253622078950934,1.253622078950934,more_unstable,1.939333530654851,0.7135407860418894,1.1079919201560613
vxn_slope40,1.1664377654788707,1.1664377654788707,more_unstable,1.2574228657868551,1.1404600282006239,1.101430402449133
xau_level,-1.1529741169039276,1.1529741169039276,more_stable,-0.5364408438986669,-1.1521321372580178,-1.7703493695550983
10y2ys_vol_40,1.0939071364775752,1.0939071364775752,more_unstable,1.2022577410467359,1.4750216063478987,0.6044420620380911
rvx_ret_20,1.0838241883686905,1.0838241883686905,more_unstable,1.047844536437479,1.3255824188092362,0.8780456098593565
vvix_atr_14,-1.0657945420700692,1.0657945420700692,more_stable,-0.9914376609243524,-1.6554075228931355,-0.5505384423927199
vvix_vol_10,-1.0417862317539617,1.0417862317539617,more_stable,-0.9616201269815395,-0.7270611086011128,-1.4366774596792329
yc_10y5y_chg_10,-1.0275335730091264,1.0275335730091264,more_stable,-0.8981049968922556,-1.0067301033657643,-1.177765618769359
rvx_ret_10,0.9790527487294048,0.9790527487294048,more_unstable,1.1002963405551864,0.8183062606502485,1.0185556449827795
nyxbt_vol_40,0.9736075821331903,0.9736075821331903,more_unstable,1.5391046962933945,1.0592747237057576,0.32244332640041856
us30y_slope40,0.9682433096095716,0.9682433096095716,more_unstable,0.8002225975158229,0.8619682755027384,1.242539055810154
rvx_above_ma_50,0.9558862181643933,0.9558862181643933,more_unstable,1.0098734063995618,0.8013063328546968,1.0564789152389213
vxn_above_ma_100,0.9358196620626075,0.9358196620626075,more_unstable,0.7530228284859792,0.46334560583505335,1.5910905518667897
us30y_vol_10,0.922845830031556,0.922845830031556,more_unstable,0.9480311250658949,1.4416180777308623,0.3788882872979106
10y2ys_slope40,-0.8977507639530026,0.8977507639530026,more_stable,-0.7933861636129519,-2.641732325210444,0.7418661969643883
nyxbt_vol_10,0.8720651635034953,0.8720651635034953,more_unstable,-0.39226944957774235,1.491759594430214,1.5167053456580142
rvx_ret_5,0.8700987340234684,0.8700987340234684,more_unstable,0.8403456941681999,0.44112929390767197,1.3288212139945332
rvx_above_ma_100,0.8696214587174729,0.8696214587174729,more_unstable,0.6495458671845744,0.4152614232978168,1.5440570856700275
vxn_ret_5,-0.8683384076602189,0.8683384076602189,more_stable,-0.9235551368173628,-0.8005412876998864,-0.8809187984634071
xau_slope40,-0.8571342084079813,0.8571342084079813,more_stable,-0.9792785381530478,-0.9905166234470585,-0.6016074636238375
rut_atr_14,0.8408839815467593,0.8408839815467593,more_unstable,0.7540382853683438,0.9425074274233319,0.8261062318486017
rvx_vol_20,-0.8387295899011572,0.8387295899011572,more_stable,-0.5353299067466898,-1.0838807305352758,-0.896978132421506
