timestamp,open,high,low,close,p_confirm_extreme_within_5d,dp_p_confirm_extreme_within_5d,regime_chain,base_dir,day,exec_px,action,position,equity,bh_equity
2016-06-01,110.0,110.6,109.91,110.35,,,unknown,,2016-06-01,,,1,100000.0,99999.9999999991
2016-06-02,110.13,110.59,109.53,110.58,,,unknown,,2016-06-02,,,1,100208.42772995017,100208.42772994927
2016-06-03,110.37,110.42,109.34,110.06,,,unknown,,2016-06-03,,,1,99737.1998187585,99737.19981875761
2016-06-06,110.26,110.75,110.07,110.46,,,unknown,,2016-06-06,,,1,100099.68282736746,100099.68282736656
2016-06-07,110.52,110.63,110.13,110.18,,,unknown,,2016-06-07,,,1,99845.9447213412,99845.94472134029
2016-06-08,110.37,110.6,109.96,110.37,,,unknown,,2016-06-08,,,1,100018.12415043046,100018.12415042956
2016-06-09,109.92,110.31,109.71,110.19,,,unknown,,2016-06-09,,,1,99855.00679655641,99855.0067965555
2016-06-10,109.19,109.4,108.56,108.94,,,unknown,,2016-06-10,,,1,98722.24739465339,98722.24739465248
2016-06-13,108.32,108.93,107.89,108.03,,,unknown,,2016-06-13,,,1,97897.59855006797,97897.5985500671
2016-06-14,107.74,108.42,107.24,108.03,,,unknown,,2016-06-14,,,1,97897.59855006797,97897.5985500671
2016-06-15,108.29,108.44,107.54,107.72,,,unknown,,2016-06-15,,,1,97616.67421839602,97616.67421839514
2016-06-16,107.19,108.14,106.5,108.04,,,unknown,,2016-06-16,,,1,97906.6606252832,97906.66062528231
2016-06-17,107.53,107.68,106.24,106.49,,,unknown,,2016-06-17,,,1,96502.03896692343,96502.03896692256
2016-06-20,107.73,108.24,107.08,107.16,,,unknown,,2016-06-20,,,1,97109.19800634346,97109.19800634257
2016-06-21,107.3,107.72,107.1,107.5,,,unknown,,2016-06-21,,,1,97417.30856366108,97417.3085636602
2016-06-22,107.56,108.19,107.15,107.24,,,unknown,,2016-06-22,,,1,97181.69460806524,97181.69460806437
2016-06-23,108.07,108.79,107.62,108.77,,,unknown,,2016-06-23,,,1,98568.19211599456,98568.19211599368
2016-06-24,104.9,106.5,104.06,104.29,,,unknown,,2016-06-24,,,1,94508.38241957409,94508.38241957324
2016-06-27,103.6,103.6,101.75,102.22,,,unknown,,2016-06-27,,,1,92632.53285002266,92632.53285002182
2016-06-28,103.35,104.51,103.3,104.46,,,unknown,,2016-06-28,,,1,94662.4376982329,94662.43769823204
2016-06-29,105.28,106.53,105.23,106.31,,,unknown,,2016-06-29,,,1,96338.9216130494,96338.92161304853
2016-06-30,106.49,107.61,106.13,107.54,,,unknown,,2016-06-30,,,1,97453.55686452199,97453.5568645211
2016-07-01,107.49,108.48,107.45,108.08,,,unknown,,2016-07-01,,,1,97942.9089261441,97942.90892614321
2016-07-05,107.51,107.66,106.84,107.42,,,unknown,,2016-07-05,,,1,97344.8119619393,97344.81196193841
2016-07-06,106.91,108.35,106.57,108.3,,,unknown,,2016-07-06,,,1,98142.27458087902,98142.27458087815
2016-07-07,108.4,108.86,108.11,108.62,,,unknown,,2016-07-07,,,1,98432.2609877662,98432.26098776532
2016-07-08,109.2,110.36,109.02,110.3,,,unknown,,2016-07-08,,,1,99954.68962392388,99954.68962392298
2016-07-11,110.67,111.34,110.66,110.93,,,unknown,,2016-07-11,,,1,100525.60036248302,100525.6003624821
2016-07-12,111.61,111.79,111.34,111.49,,,unknown,,2016-07-12,,,1,101033.07657453557,101033.07657453466
2016-07-13,111.75,111.82,111.21,111.22,,,unknown,,2016-07-13,,,1,100788.40054372452,100788.4005437236
2016-07-14,111.96,112.19,111.7,111.98,,,unknown,,2016-07-14,,,1,101477.11826008157,101477.11826008065
2016-07-15,112.24,112.3,111.55,111.8,,,unknown,,2016-07-15,,,1,101314.00090620753,101314.00090620661
2016-07-18,111.87,112.74,111.85,112.54,,,unknown,,2016-07-18,,,1,101984.59447213414,101984.59447213322
2016-07-19,112.15,112.48,111.93,112.13,,,unknown,,2016-07-19,,,1,101613.04938830993,101613.04938830902
2016-07-20,112.74,113.65,112.6,113.44,,,unknown,,2016-07-20,,,1,102800.18124150431,102800.1812415034
2016-07-21,113.52,113.74,112.87,113.18,,,unknown,,2016-07-21,,,1,102564.56728590849,102564.56728590757
2016-07-22,113.26,113.78,112.91,113.65,,,unknown,,2016-07-22,,,1,102990.48482102403,102990.48482102308
2016-07-25,113.56,113.69,113.28,113.66,,,unknown,,2016-07-25,,,1,102999.54689623925,102999.54689623832
2016-07-26,113.62,114.2,113.22,113.79,,,unknown,,2016-07-26,,,1,103117.35387403717,103117.35387403624
2016-07-27,114.75,114.88,114.1,114.58,,,unknown,,2016-07-27,,,1,103833.25781603988,103833.25781603894
2016-07-28,114.76,115.11,114.4,114.98,,,unknown,,2016-07-28,,,1,104195.74082464885,104195.7408246479
2016-07-29,115.24,115.54,114.87,115.23,,,unknown,,2016-07-29,,,1,104422.29270502947,104422.29270502852
2016-08-01,115.31,116.13,115.17,115.84,,,unknown,,2016-08-01,,,1,104975.07929315814,104975.07929315719
2016-08-02,115.67,115.77,114.22,114.96,,,unknown,,2016-08-02,,,1,104177.6166742184,104177.61667421745
2016-08-03,114.87,115.35,114.8,115.34,,,unknown,,2016-08-03,,,1,104521.97553239693,104521.975532396
2016-08-04,115.3,115.78,115.03,115.67,,,unknown,,2016-08-04,,,1,104821.02401449933,104821.02401449837
2016-08-05,116.26,117.04,116.13,116.78,,,unknown,,2016-08-05,,,1,105826.91436338922,105826.91436338826
2016-08-08,116.84,116.87,116.28,116.65,,,unknown,,2016-08-08,,,1,105709.10738559131,105709.10738559037
2016-08-09,116.74,117.29,116.67,116.92,,,unknown,,2016-08-09,,,1,105953.78341640237,105953.7834164014
2016-08-10,116.99,117.02,116.31,116.62,,,unknown,,2016-08-10,,,1,105681.92115994563,105681.92115994469
2016-08-11,117.02,117.37,116.78,117.12,,,unknown,,2016-08-11,,,1,106135.02492070686,106135.0249207059
2016-08-12,116.92,117.21,116.79,117.2,,,unknown,,2016-08-12,,,1,106207.52152242865,106207.52152242769
2016-08-15,117.35,117.97,117.31,117.7,,,unknown,,2016-08-15,,,1,106660.62528318986,106660.62528318889
2016-08-16,117.48,117.49,117.03,117.05,,,unknown,,2016-08-16,,,1,106071.59039420028,106071.59039419932
2016-08-17,117.08,117.3,116.43,117.26,,,unknown,,2016-08-17,,,1,106261.89397372,106261.89397371904
2016-08-18,117.15,117.46,116.95,117.29,,,unknown,,2016-08-18,,,1,106289.08019936566,106289.08019936472
2016-08-19,117.08,117.52,116.76,117.26,,,unknown,,2016-08-19,,,1,106261.89397372,106261.89397371904
2016-08-22,117.09,117.55,116.87,117.35,,,unknown,,2016-08-22,,,1,106343.452650657,106343.45265065604
2016-08-23,117.81,118.01,117.51,117.56,,,unknown,,2016-08-23,,,1,106533.75623017672,106533.75623017576
2016-08-24,117.48,117.64,116.41,116.8,,,unknown,,2016-08-24,,,1,105845.03851381967,105845.03851381873
2016-08-25,116.5,116.97,116.36,116.61,,,unknown,,2016-08-25,,,1,105672.85908473041,105672.85908472945
2016-08-26,116.65,117.54,116.08,116.78,,,unknown,,2016-08-26,,,1,105826.91436338922,105826.91436338826
2016-08-29,116.81,117.25,116.79,116.94,,,unknown,,2016-08-29,,,1,105971.90756683282,105971.90756683185
2016-08-30,116.75,117.09,116.16,116.56,,,unknown,,2016-08-30,,,1,105627.54870865429,105627.54870865334
2016-08-31,116.38,116.56,115.95,116.44,,,unknown,,2016-08-31,,,1,105518.80380607159,105518.80380607063
2016-09-01,116.48,116.88,115.91,116.74,,,unknown,,2016-09-01,,,1,105790.66606252833,105790.66606252737
2016-09-02,117.32,117.56,116.68,117.12,,,unknown,,2016-09-02,,,1,106135.02492070686,106135.0249207059
2016-09-06,117.32,117.85,117.06,117.85,,,unknown,,2016-09-06,,,1,106796.55641141822,106796.55641141726
2016-09-07,117.96,118.12,117.47,117.92,,,unknown,,2016-09-07,,,1,106859.9909379248,106859.99093792382
2016-09-08,117.57,117.6,116.92,117.23,,,unknown,,2016-09-08,,,1,106234.70774807432,106234.70774807336
2016-09-09,116.25,116.51,114.26,114.28,,,unknown,,2016-09-09,,,1,103561.39555958315,103561.39555958222
2016-09-12,113.64,116.49,113.63,116.33,,,unknown,,2016-09-12,,,1,105419.12097870413,105419.12097870318
2016-09-13,115.75,116.09,114.73,115.29,,,unknown,,2016-09-13,,,1,104476.66515632081,104476.66515631985
2016-09-14,115.41,116.47,115.38,115.84,,,unknown,,2016-09-14,,,1,104975.07929315814,104975.07929315719
2016-09-15,115.87,117.82,115.86,117.64,,,unknown,,2016-09-15,,,1,106606.25283189851,106606.25283189755
2016-09-16,117.22,117.41,116.71,117.29,,,unknown,,2016-09-16,,,1,106289.08019936566,106289.08019936472
2016-09-19,117.59,117.95,116.55,116.78,,,unknown,,2016-09-19,,,1,105826.91436338922,105826.91436338826
2016-09-20,117.2,117.48,116.8,117.0,,,unknown,,2016-09-20,,,1,106026.28001812416,106026.2800181232
2016-09-21,117.5,118.32,116.81,118.15,,,unknown,,2016-09-21,,,1,107068.41866787495,107068.418667874
2016-09-22,118.84,119.22,118.72,119.09,,,unknown,sell,2016-09-22,,,1,107920.25373810604,107920.25373810505
2016-09-23,119.0,119.0,118.16,118.33,,,unknown,sell,2016-09-23,,,1,107231.53602174898,107231.53602174802
2016-09-26,117.66,117.8,117.17,117.34,,,unknown,sell,2016-09-26,,,1,106334.39057544178,106334.39057544083
2016-09-27,117.26,118.56,117.15,118.5,,,unknown,sell,2016-09-27,,,1,107385.5913004078,107385.59130040683
2016-09-28,118.65,118.77,118.09,118.7,,,unknown,sell,2016-09-28,,,1,107566.83280471229,107566.8328047113
2016-09-29,118.5,118.72,117.33,117.84,,,unknown,sell,2016-09-29,,,1,106787.494336203,106787.49433620203
2016-09-30,118.15,119.07,118.03,118.72,,,unknown,sell,2016-09-30,,,1,107584.95695514273,107584.95695514177
2016-10-03,118.57,118.7,118.09,118.55,,,unknown,sell,2016-10-03,,,1,107430.90167648392,107430.90167648294
2016-10-04,118.9,119.16,117.92,118.37,,,unknown,sell,2016-10-04,,,1,107267.78432260989,107267.78432260893
2016-10-05,118.72,119.17,118.67,118.79,,,unknown,sell,2016-10-05,,,1,107648.3914816493,107648.39148164833
2016-10-06,118.64,118.98,118.15,118.73,,,unknown,sell,2016-10-06,,,1,107594.01903035796,107594.019030357
2016-10-07,118.84,119.01,117.89,118.47,,,unknown,sell,2016-10-07,,,1,107358.40507476212,107358.40507476115
2016-10-10,119.08,119.48,119.03,119.22,,,unknown,sell,2016-10-10,,,1,108038.06071590395,108038.06071590296
2016-10-11,119.12,119.14,117.0,117.52,,,unknown,sell,2016-10-11,,,1,106497.50792931582,106497.50792931484
