feature,importance
feat_next_bi_return,0.3369828659037702
profit_target_distance,0.15499545422846026
return_5,0.14664329334931572
target_return_5,0.11496172987843212
klu_idx,0.0728150559144859
label_5,0.02322054382430684
return_10,0.010347165417287583
target_return_10,0.00848335289666861
ema_26,0.008411945016254882
psar,0.007796486200190741
cci,0.005555805236333223
return_20,0.00502143124943801
target_return_1,0.004933422060778853
atr,0.004658623432516206
ema_50,0.0038293480517914455
feat_bsp_bi_amp,0.003733291886563398
target_return_20,0.0033951658867129282
return_1,0.0031389815707310266
roc_10,0.0029536843265480766
price_change_pct,0.0028619632147214155
high_low_spread_pct,0.0028287613281493523
klu_volume,0.0024948493566410604
feat_volume,0.0023618456982934335
atr_ratio,0.0022615237886797032
feat_bsp2_bi_amp_rate,0.002181648668971359
dmi_adx,0.0021385254660063143
lower_shadow,0.0019763550108129395
feat_bsp2s_break_bi_amp_rate,0.001959272712354935
williams_r,0.001918270007242818
macd_dea,0.0018297395919194036
body_size,0.0017805477163190281
sma_50,0.0017621379470600482
volume_price_trend,0.0016593874335665336
feat_macd_value,0.0016197633797805885
stoch_d,0.0015565916470353808
klu_high,0.0014861650341775276
klu_close,0.0014833369909332949
label_10,0.001398549291991427
feat_divergence_rate,0.0013797000041509712
feat_bsp2s_break_bi_amp,0.0013653025721588892
feat_bsp2_bi_amp,0.001337066995716441
mfi,0.0012845884452736198
sma_20,0.0012489571926814402
macd_value,0.0012140696444393841
dmi_plus,0.0011829650172531022
feat_bsp3_zs_height,0.0011693250034594384
roc_5,0.0011568876286155996
upper_shadow,0.0011522428596867644
dmi_minus,0.0011011407421569282
feat_bsp2_break_bi_bi_klu_cnt,0.001090056992419212
feat_bsp2_break_bi_amp_rate,0.001046582813980802
tsi,0.0010204228324726112
klu_low,0.0009490445047614888
feat_ppo,0.0009408467411448659
klu_open,0.0009389016423921181
feat_bsp1_bi_amp_rate,0.0009375309422170609
stoch_k,0.0009354713385952898
feat_bsp3_bi_amp_rate,0.0009212794911017987
feat_macd_dea,0.0008764001988827988
uo,0.0007544327598542361
feat_rsi,0.0007407019682435555
feat_bsp1_bi_amp,0.0007400483034277622
kdj_k,0.000709688875111013
sma_10,0.0006989922895271368
volume_volume_dry_up,0.0006914674046324687
sma_5,0.0006502782161648934
roc_20,0.0006299675665389328
kdj_j,0.0006295355307746152
kdj_d,0.000626422219077
feat_bsp1_bi_klu_cnt,0.0006220444589112629
feat_bsp2s_break_bi_klu_cnt,0.0005930619847899094
uo_oversold,0.000570983835041474
feat_bsp2s_bi_amp,0.0005644168935451367
rsi,0.0005413892477583716
feat_kdj_d,0.0005265216975593061
feat_kdj_j,0.0005090736928376374
feat_bsp2_bi_klu_cnt,0.00044527600148920257
feat_macd_diff,0.000417151689070177
bsp_types,0.00035580386662984446
direction,0.0003520641273621189
feat_bsp2s_bi_amp_rate,0.0003520544898570688
ema_12,0.00034894120063425256
feat_bsp2s_retrace_rate,0.0002769663464511842
feat_bsp2_break_bi_amp,0.0002655869698034083
candle_hammer,0.0002532946632808517
macd_dif,0.00025236316917344
feat_bsp2s_bi_klu_cnt,0.0002269448251029123
feat_kdj_k,0.00022667533299398007
feat_bsp3_bi_amp,0.00022199595934999919
is_buy,0.00018834011823892367
candle_shooting_star,0.0001851912373478504
feat_bsp2_retrace_rate,0.0001809494067935167
label_1,0.0001486423320573057
feat_bsp3_bi_klu_cnt,0.00014677327402273687
volume_accumulation,0.00014312139564732167
bsp_type,0.00013751482350350054
candle_morning_star,0.0001257031282345113
label_20,0.00011072609684471047
candle_bullish_engulfing,0.00010572406390676664
price_near_support,8.61807345658326e-05
price_above_psar,8.309285138717133e-05
price_triangle,7.938845114927348e-05
cci_overbought,7.660886879801771e-05
feat_bsp2s_lv,7.617702821625998e-05
candle_hanging_man,6.219980684110805e-05
volume_distribution,5.419802773199872e-05
candle_spinning_top,5.271228199548512e-05
price_higher_highs,4.8712349356850554e-05
feat_zs_cnt,4.586898730852586e-05
candle_doji,4.314521971004122e-05
price_flag,4.2290873796257e-05
price_lower_lows,4.093554998814889e-05
price_above_sma_50,2.8382512272730973e-05
price_above_sma_5,1.9918599610360595e-05
uo_overbought,1.87272111359995e-05
rsi_oversold,1.8370311733154896e-05
kdj_overbought,1.742494905148235e-05
is_bullish_candle,1.4992265657077049e-05
candle_inverted_hammer,1.4447140747249199e-05
williams_overbought,1.3789006274566105e-05
price_above_ema_50,1.2998846378309562e-05
candle_dark_cloud_cover,1.1800755215949152e-05
volume_climax_volume,1.0000693894229645e-05
dmi_trend_up,9.329617291711399e-06
price_above_ema_12,8.584135636065704e-06
candle_bearish_engulfing,7.204174884981836e-06
tsi_positive,7.0830772843709e-06
rsi_overbought,7.057224465433342e-06
williams_oversold,7.056545182714316e-06
volume_volume_spike,6.450401323562011e-06
roc_10_positive,6.213922990905168e-06
mfi_oversold,6.134588947203407e-06
roc_5_positive,3.8857812106598644e-06
stoch_oversold,2.2279952334554327e-06
cci_oversold,8.566383615546709e-07
roc_20_positive,8.324296959270186e-07
stoch_overbought,7.927041940093921e-07
macd_signal,5.276607906009515e-07
price_above_sma_10,5.151185677194292e-07
candle_evening_star,2.7639886182845477e-07
price_consolidation,1.0832716133864008e-07
mfi_overbought,4.254706266219381e-09
has_profit_target,0.0
candle_piercing_line,0.0
candle_marubozu,0.0
price_above_ema_26,0.0
price_above_sma_20,0.0
kdj_oversold,0.0
price_double_bottom,0.0
candle_three_white_soldiers,0.0
candle_three_black_crows,0.0
candle_three_inside_up,0.0
price_double_top,0.0
price_breakout_down,0.0
candle_three_inside_down,0.0
price_breakout_up,0.0
price_near_resistance,0.0
candle_harami_cross,0.0
candle_harami,0.0
