date,p_day,buy_level,sell_level,threshold_gap,daily_action,daily_reward,score_on_lookback,window_size,reward_force_buy,reward_free,reward_force_sell,best_action_ex_post
2017-02-13,0.2959435993369737,0.2,0.3,0.09999999999999998,FREE,0.0,,0,0.0,0.0,0.0,FORCE_BUY
2017-02-14,0.3036256535596625,0.2,0.3,0.09999999999999998,FORCE_SELL,0.0,,1,0.0,0.0,0.0,FORCE_BUY
2017-02-15,0.3016968993345633,0.2,0.3,0.09999999999999998,FORCE_SELL,0.0,,2,0.0,0.0,0.0,FORCE_BUY
2017-02-16,0.2833326389792671,0.2,0.3,0.09999999999999998,FREE,0.0,,3,0.0,0.0,0.0,FORCE_BUY
2017-02-17,0.282168746882725,0.2,0.3,0.09999999999999998,FREE,0.0,,4,0.0,0.0,0.0,FORCE_BUY
2017-02-21,0.2981483545534781,0.2,0.3,0.09999999999999998,FREE,0.0,,5,0.0,0.0,0.0,FORCE_BUY
2017-02-22,0.3079968818450807,0.2,0.3,0.09999999999999998,FORCE_SELL,0.0,,6,0.0,0.0,0.0,FORCE_BUY
2017-02-23,0.3011354536873789,0.2,0.3,0.09999999999999998,FORCE_SELL,0.0,,7,0.0,0.0,0.0,FORCE_BUY
2017-02-24,0.2823885598436543,0.2,0.3,0.09999999999999998,FREE,0.0,,8,0.0,0.0,0.0,FORCE_BUY
2017-02-27,0.2987197895508787,0.2,0.3,0.09999999999999998,FREE,0.0,,9,0.0,0.0,0.0,FORCE_BUY
2017-02-28,0.299716774818909,0.2,0.3,0.09999999999999998,FREE,0.0,,10,0.0,0.0,0.0,FORCE_BUY
2017-03-01,0.2854776070964674,0.2,0.3,0.09999999999999998,FREE,0.0,,11,0.0,0.0,0.0,FORCE_BUY
2017-03-02,0.2974973070325948,0.2,0.3,0.09999999999999998,FREE,0.0,,12,0.0,0.0,0.0,FORCE_BUY
2017-03-03,0.2685567213043371,0.2,0.3,0.09999999999999998,FREE,0.0,,13,0.0,0.0,0.0,FORCE_BUY
2017-03-06,0.3146481974160618,0.2,0.3,0.09999999999999998,FORCE_SELL,0.0,,14,0.0,0.0,0.0,FORCE_BUY
2017-03-07,0.3162996069626343,0.2,0.3,0.09999999999999998,FORCE_SELL,0.0,,15,0.0,0.0,0.0,FORCE_BUY
2017-03-08,0.3050275412265408,0.2,0.3,0.09999999999999998,FORCE_SELL,0.0,,16,0.0,0.0,0.0,FORCE_BUY
2017-03-09,0.3098270895730604,0.2,0.3,0.09999999999999998,FORCE_SELL,0.0,,17,0.0,0.0,0.0,FORCE_BUY
2017-03-10,0.3294268965974464,0.2,0.3,0.09999999999999998,FORCE_SELL,0.0,,18,0.0,0.0,0.0,FORCE_BUY
2017-03-13,0.3256753564784214,0.2,0.3,0.09999999999999998,FORCE_SELL,0.0,,19,0.0,0.0,0.0,FORCE_BUY
2017-03-14,0.3622701450882407,0.2,0.3,0.09999999999999998,FORCE_SELL,0.0,,20,0.0,0.0,0.0,FORCE_BUY
2017-03-15,0.3467072727843633,0.2,0.3,0.09999999999999998,FORCE_SELL,0.0,,21,0.0,0.0,0.0,FORCE_BUY
2017-03-16,0.2823340293819958,0.2,0.3,0.09999999999999998,FREE,0.0,,22,0.0,0.0,0.0,FORCE_BUY
2017-03-17,0.2994049400602139,0.2,0.3,0.09999999999999998,FREE,0.0,,23,0.0,0.0,0.0,FORCE_BUY
2017-03-20,0.2849563077106801,0.2,0.3,0.09999999999999998,FREE,0.0,,24,0.0,0.0,0.0,FORCE_BUY
2017-03-21,0.318928858172179,0.2,0.3,0.09999999999999998,FORCE_SELL,0.0,,25,0.0,0.0,0.0,FORCE_BUY
2017-03-22,0.2360595007262822,0.2,0.3,0.09999999999999998,FREE,0.0,,26,0.0,0.0,0.0,FORCE_BUY
2017-03-23,0.3348341525298847,0.2,0.3,0.09999999999999998,FORCE_SELL,0.0,,27,0.0,0.0,0.0,FORCE_BUY
2017-03-24,0.3046426238758431,0.2,0.3,0.09999999999999998,FORCE_SELL,0.0,,28,0.0,0.0,0.0,FORCE_BUY
2017-03-27,0.30730312486763,0.2,0.3,0.09999999999999998,FORCE_SELL,0.0,,29,0.0,0.0,0.0,FORCE_BUY
2017-03-28,0.3488687770933467,0.05,0.15,0.09999999999999999,FORCE_SELL,0.0,0.0,30,0.0,0.0,0.0,FORCE_BUY
2017-03-29,0.3216124821650091,0.05,0.15,0.09999999999999999,FORCE_SELL,0.0,0.0,30,0.0,0.0,0.0,FORCE_BUY
2017-03-30,0.3491611776569077,0.05,0.15,0.09999999999999999,FORCE_SELL,0.0,0.0,30,0.0,0.0,0.0,FORCE_BUY
2017-03-31,0.3386704569446812,0.05,0.15,0.09999999999999999,FORCE_SELL,0.0,0.0,30,0.0,0.0,0.0,FORCE_BUY
2017-04-03,0.2989475570735159,0.05,0.15,0.09999999999999999,FORCE_SELL,0.0,0.0,30,0.0,0.0,0.0,FORCE_BUY
2017-04-04,0.3018775874501092,0.05,0.15,0.09999999999999999,FORCE_SELL,0.0,0.0,30,0.0,0.0,0.0,FORCE_BUY
2017-04-05,0.3294959388121671,0.05,0.15,0.09999999999999999,FORCE_SELL,0.0,0.0,30,0.0,0.0,0.0,FORCE_BUY
2017-04-06,0.2426941087217652,0.05,0.15,0.09999999999999999,FORCE_SELL,0.0,0.0,30,0.0,0.0,0.0,FORCE_BUY
2017-04-07,0.2988017547589233,0.05,0.15,0.09999999999999999,FORCE_SELL,0.0,0.0,30,0.0,0.0,0.0,FORCE_BUY
2017-04-10,0.3117605946784096,0.05,0.15,0.09999999999999999,FORCE_SELL,0.0,0.0,30,0.0,0.0,0.0,FORCE_BUY
