timestamp,open,high,low,close,p_confirm_within_5d,p_min_prev_5,p_max_prev_5,dp_vs_min_prev_5,dp_vs_max_prev_5,regime_chain,base_dir,day,action,exec_px,position,equity,bh_equity
2016-09-01,217.37,217.73,216.03,217.39,0.2183997236758707,0.22570705611060202,0.24288140831604743,-0.007307332434731306,-0.02448168464017672,down,buy,2016-09-01,,,0,94259.14904412396,102750.86259866662
2016-09-02,218.39,218.87,217.7,218.37,0.22684470568029003,0.2183997236758707,0.24288140831604743,0.008444982004419316,-0.016036702635757405,unknown,buy,2016-09-02,,,0,94259.14904412396,103214.06626648342
2016-09-06,218.7,219.12,217.86,219.03,0.21408011570464358,0.2183997236758707,0.24288140831604743,-0.00431960797122713,-0.02880129261140385,unknown,buy,2016-09-06,,,0,94259.14904412396,103526.01975705392
2016-09-07,218.84,219.22,218.3,219.01,0.21489645712018435,0.21408011570464358,0.23678513329227102,0.0008163414155407667,-0.021888676172086674,unknown,buy,2016-09-07,,,0,94259.14904412396,103516.56662097601
2016-09-08,218.62,218.94,218.15,218.51,0.20399199420476308,0.21408011570464358,0.23678513329227102,-0.010088121499880504,-0.032793139087507944,unknown,buy,2016-09-08,,,0,94259.14904412396,103280.23821902867
2016-09-09,216.97,217.03,213.25,213.28,0.1845173007210047,0.20399199420476308,0.22684470568029003,-0.019474693483758382,-0.04232740495928533,down,buy,2016-09-09,BUY,212.39,1,94654.13300122775,100808.24313465945
2016-09-12,212.39,216.81,212.31,216.34,0.20180896150557334,0.1845173007210047,0.22684470568029003,0.017291660784568647,-0.025035744174716684,down,buy,2016-09-12,,,1,96012.16773014634,102254.5729545772
2016-09-13,214.84,215.15,212.5,213.23,0.20840026801106215,0.1845173007210047,0.21489645712018435,0.023882967290057455,-0.006496189109122197,unknown,buy,2016-09-13,,,1,94631.94289127809,100784.6102944647
2016-09-14,213.29,214.7,212.5,213.15,0.2052189740544692,0.1845173007210047,0.21489645712018435,0.02070167333346451,-0.009677483065715142,unknown,buy,2016-09-14,,,1,94596.43871535866,100746.79775015314
2016-09-15,212.96,215.73,212.75,215.28,0.22321321872370872,0.1845173007210047,0.20840026801106215,0.03869591800270403,0.014812950712646572,unknown,buy,2016-09-15,,,1,95541.73739921374,101753.55674244884
2016-09-16,213.48,213.69,212.57,213.37,0.23840782767488403,0.1845173007210047,0.22321321872370872,0.05389052695387933,0.015194608951175304,unknown,buy,2016-09-16,,,1,94694.0751991371,100850.78224700998
2016-09-19,214.13,214.88,213.03,213.41,0.2286824739924802,0.20180896150557334,0.23840782767488403,0.026873512486906864,-0.00972535368240382,unknown,buy,2016-09-19,,,1,94711.82728709684,100869.68851916576
2016-09-20,214.41,214.59,213.38,213.42,0.23526026811245213,0.2052189740544692,0.23840782767488403,0.03004129405798292,-0.003147559562431901,unknown,buy,2016-09-20,,,1,94716.26530908675,100874.41508720469
2016-09-21,214.24,216.03,213.44,215.82,0.24613617620832715,0.2052189740544692,0.23840782767488403,0.04091720215385794,0.007728348533443119,unknown,buy,2016-09-21,,,1,95781.39058666996,102008.79141655198
2016-09-22,217.0,217.53,216.71,217.18,0.2077775992294093,0.22321321872370872,0.24613617620832715,-0.015435619494299418,-0.03835857697891784,up,sell,2016-09-22,,,1,96384.96157730046,102651.60466984875
2016-09-23,216.72,216.88,215.88,215.99,0.24391920607985426,0.2077775992294093,0.24613617620832715,0.03614160685044496,-0.0022169701284728838,unknown,sell,2016-09-23,,,1,95856.83696049878,102089.14307321406
2016-09-26,215.02,215.23,214.01,214.24,0.2187366216797566,0.2077775992294093,0.24613617620832715,0.0109590224503473,-0.02739955452857054,unknown,sell,2016-09-26,,,1,95080.18311226103,101261.99366639837
2016-09-27,214.05,215.68,213.62,215.57,0.2661103123137028,0.2077775992294093,0.24613617620832715,0.0583327130842935,0.019974136105375656,unknown,sell,2016-09-27,,,1,95670.44003692172,101890.6272155783
2016-09-28,215.83,216.82,214.71,216.64,0.24716048277941058,0.2077775992294093,0.2661103123137028,0.039382883550001274,-0.018949829534292223,unknown,sell,2016-09-28,,,1,96145.30838984423,102396.3699957456
2016-09-29,216.4,216.87,214.04,214.68,0.2453136241387082,0.2077775992294093,0.2661103123137028,0.03753602490929889,-0.02079668817499461,unknown,sell,2016-09-29,,,1,95275.45607981794,101469.96266011201
2016-09-30,215.65,217.12,215.36,216.3,0.2180360052735535,0.2187366216797566,0.2661103123137028,-0.0007006164062031139,-0.04807430704014931,unknown,sell,2016-09-30,,,1,95994.41564218662,102235.6666824214
2016-10-03,215.82,216.04,215.04,215.78,0.22878407770505146,0.2180360052735535,0.2661103123137028,0.010748072431497974,-0.03732623460865134,unknown,sell,2016-10-03,,,1,95763.63849871025,101989.88514439618
2016-10-04,215.91,216.17,213.99,214.68,0.2415679567279038,0.2180360052735535,0.2661103123137028,0.023531951454350303,-0.02454235558579901,unknown,sell,2016-10-04,,,1,95275.45607981794,101469.96266011201
2016-10-05,215.41,216.13,215.33,215.63,0.25309382565405386,0.2180360052735535,0.24716048277941058,0.03505782038050037,0.005933342874643283,unknown,sell,2016-10-05,,,1,95697.0681688613,101918.98662381199
2016-10-06,215.37,216.04,214.74,215.78,0.2632708755520026,0.2180360052735535,0.25309382565405386,0.045234870278449135,0.010177049897948764,unknown,sell,2016-10-06,,,1,95763.63849871025,101989.88514439618
2016-10-07,216.1,216.3,214.19,215.04,0.23988232602122098,0.2180360052735535,0.2632708755520026,0.021846320747667486,-0.02338854953078165,unknown,sell,2016-10-07,,,1,95435.22487145543,101640.1191095141
2016-10-10,216.16,216.7,215.99,216.16,0.267996067585933,0.22878407770505146,0.2632708755520026,0.03921198988088151,0.004725192033930348,unknown,sell,2016-10-10,,,1,95932.28333432759,102169.49472987615
2016-10-11,215.66,215.74,212.58,213.43,0.25389419769537885,0.23988232602122098,0.267996067585933,0.014011871674157877,-0.01410186989055412,unknown,sell,2016-10-11,,,1,94720.7033310767,100879.14165524366
2016-10-12,213.59,214.32,213.01,213.71,0.28048143415114263,0.23988232602122098,0.267996067585933,0.04059910812992165,0.012485366565209655,unknown,sell,2016-10-12,,,1,94844.96794679474,101011.48556033417
2016-10-13,212.16,213.59,211.21,213.01,0.2578435204539693,0.23988232602122098,0.28048143415114263,0.017961194432748323,-0.02263791369717333,down,buy,2016-10-13,,,1,94534.30640749962,100680.62579760788
2016-10-14,214.15,214.69,213.03,213.12,0.27179481604907424,0.23988232602122098,0.28048143415114263,0.03191249002785326,-0.008686618102068389,unknown,buy,2016-10-14,,,1,94583.12464938886,100732.61804603631
2016-10-17,213.09,213.39,212.17,212.38,0.3066566247082083,0.25389419769537885,0.28048143415114263,0.05276242701282946,0.026175190557065686,unknown,buy,2016-10-17,SELL,214.24,0,95080.18311226103,100382.85201115422
2016-10-18,214.24,214.31,213.27,213.71,0.25909276145928106,0.25389419769537885,0.3066566247082083,0.005198563763902209,-0.04756386324892725,unknown,buy,2016-10-18,,,0,95080.18311226103,101011.48556033417
2016-10-19,214.02,214.64,213.6,214.28,0.2945808589296877,0.2578435204539693,0.3066566247082083,0.03673733847571842,-0.012075765778520597,unknown,buy,2016-10-19,,,0,95080.18311226103,101280.89993855414
2016-10-20,213.87,214.53,213.11,213.88,0.2739799942685448,0.2578435204539693,0.3066566247082083,0.016136473814575503,-0.03267663043966351,unknown,buy,2016-10-20,,,0,95080.18311226103,101091.83721699627
2016-10-21,213.88,214.08,212.76,213.98,0.2975915850591672,0.25909276145928106,0.3066566247082083,0.038498823599886156,-0.009065039649041096,unknown,buy,2016-10-21,,,0,95080.18311226103,101139.10289738572
2016-10-24,215.0,215.32,214.48,214.89,0.2442484227600411,0.25909276145928106,0.3066566247082083,-0.014844338699239956,-0.06240820194816721,up,sell,2016-10-24,,,0,95080.18311226103,101569.2205889299
2016-10-25,214.68,214.98,213.98,214.17,0.23110306068294964,0.2442484227600411,0.2975915850591672,-0.013145362077091466,-0.06648852437621758,unknown,sell,2016-10-25,,,0,95080.18311226103,101228.9076901257
2016-10-26,213.21,214.42,212.93,213.74,0.23086604238414118,0.23110306068294964,0.2975915850591672,-0.0002370182988084557,-0.06672554267502603,unknown,sell,2016-10-26,,,0,95080.18311226103,101025.665264451
2016-10-27,214.58,214.62,213.08,213.17,0.20578954171637254,0.23086604238414118,0.2975915850591672,-0.025076500667768648,-0.09180204334279468,unknown,sell,2016-10-27,,,0,95080.18311226103,100756.25088623104
2016-10-28,213.14,213.93,211.71,212.54,0.2635375966642653,0.20578954171637254,0.2975915850591672,0.05774805494789276,-0.034053988394901924,down,buy,2016-10-28,,,0,95080.18311226103,100458.47709977737
2016-10-31,212.93,213.19,212.36,212.55,0.25913996419879487,0.20578954171637254,0.2635375966642653,0.05335042248242233,-0.004397632465470425,unknown,buy,2016-10-31,,,0,95080.18311226103,100463.20366781634
2016-11-01,212.93,212.99,209.6,211.01,0.2683849030033419,0.20578954171637254,0.2635375966642653,0.06259536128696935,0.004847306339076596,down,buy,2016-11-01,,,0,95080.18311226103,99735.3121898185
2016-11-02,210.65,211.1,209.23,209.74,0.2908121639860548,0.20578954171637254,0.2683849030033419,0.08502262226968227,0.022427260982712915,down,buy,2016-11-02,,,0,95080.18311226103,99135.03804887226
2016-11-03,209.99,210.24,208.46,208.78,0.2915117196022222,0.20578954171637254,0.2908121639860548,0.08572217788584968,0.0006995556161674132,down,buy,2016-11-03,,,0,95080.18311226103,98681.28751713336
2016-11-04,208.91,209.89,208.38,208.55,0.2625254340644065,0.25913996419879487,0.2915117196022222,0.0033854698656116122,-0.028986285537815737,down,buy,2016-11-04,,,0,95080.18311226103,98572.57645223757
2016-11-07,208.55,213.19,208.55,213.15,0.30528707163951824,0.25913996419879487,0.2915117196022222,0.04614710744072337,0.013775352037296018,unknown,buy,2016-11-07,,,0,95080.18311226103,100746.79775015314
2016-11-08,212.69,214.77,212.38,214.11,0.30085903476258513,0.2625254340644065,0.30528707163951824,0.03833360069817865,-0.004428036876933106,unknown,buy,2016-11-08,,,0,95080.18311226103,101200.54828189204
