chain_type,direction,chain_id,point_index,klu_idx,timestamp,bsp_type,is_buy,is_segbsp,mature_rate,is_mature,parent_idx,divergence_rate,bsp1_bi_amp,bsp1_bi_klu_cnt,bsp1_bi_amp_rate,macd_value,macd_dea,macd_diff,ppo,rsi,kdj_k,kdj_d,kdj_j,volume,next_bi_return,bsp_bi_amp,zs_cnt,bsp2_retrace_rate,bsp2_break_bi_amp,bsp2_break_bi_bi_klu_cnt,bsp2_break_bi_amp_rate,bsp2_bi_amp,bsp2_bi_klu_cnt,bsp2_bi_amp_rate,bsp2s_retrace_rate,bsp2s_break_bi_amp,bsp2s_break_bi_klu_cnt,bsp2s_break_bi_amp_rate,bsp2s_bi_amp,bsp2s_bi_klu_cnt,bsp2s_bi_amp_rate,bsp2s_lv,bsp3_zs_height,bsp3_bi_amp,bsp3_bi_klu_cnt,bsp3_bi_amp_rate
1p'>,sell,0,0,38,2025/06/30 16:40,1p,False,False,,0,,0.2870165980434585,9.009765625,5.0,0.001456806500458193,0.5291394584616615,0.43875760181358936,0.7033273310444201,0.00011366162742151377,57.83952462848268,61.218165063431414,52.82746782676678,77.9995595367607,19148000.0,,9.009765625,,,,,,,,,,,,,,,,,,,,
1p'>,sell,1,0,39,2025/06/30 16:45,1p,False,False,,0,,0.47253449120829305,9.40966796875,6.0,0.0015214674870111552,0.8711574399768816,0.5476522818106996,0.9832310017991404,0.00015888637132721814,59.09152678378015,69.75369757450355,58.469544409345694,92.32200390481925,19055000.0,0.0022634015412446437,9.40966796875,,,,,,,,,,,,,,,,,,,,
1p'>,sell,2,0,234,2025/07/03 13:30,1p,False,False,,0,,1.3207336832163854,36.56005859375,5.0,0.005878890844288026,4.324043337021154,1.9037025544293573,4.065724222939934,0.0006532780862917533,88.64322529904956,79.08814481664767,62.3913725536946,112.48168934255379,0.0,,36.56005859375,,,,,,,,,,,,,,,,,,,,
1p'>,sell,3,0,235,2025/07/03 13:35,1p,False,False,,0,,2.010762764622409,38.7197265625,6.0,0.006226167427984667,6.583178308530547,2.726599842995676,6.01818899726095,0.0009666271331860005,88.8194968051697,84.59550646649791,69.79275052462903,114.20101835023567,44140932.0,,38.7197265625,,,,,,,,,,,,,,,,,,,,
1p'>,sell,4,0,237,2025/07/03 13:45,1p,False,False,,0,,2.4706840116933924,40.77001953125,8.0,0.0065558564116930534,8.088946980310473,4.705010170717775,8.749483660873011,0.001404311474569827,89.33781276170119,91.2108460983012,81.23835887947928,111.15582053594505,14816153.0,,40.77001953125,,,,,,,,,,,,,,,,,,,,
1p'>,sell,5,0,238,2025/07/03 13:50,1p,False,False,,0,,2.7243643002556195,47.75,9.0,0.007678243652014887,8.919488803715597,5.819946271182224,10.279690673040022,0.0016492061109339713,91.46852978037144,94.05671262574356,85.51114346156737,111.14785095409593,70332485.0,,47.75,,,,,,,,,,,,,,,,,,,,
1p'>,sell,6,0,239,2025/07/03 13:55,1p,False,False,,0,,2.7243643002556195,48.669921875,10.0,0.007826167930487524,8.346909960482401,6.863310016242525,11.036764996483726,0.001770049488042676,83.17136447385218,92.4579745296646,87.82675381759978,101.7204159537942,36720807.0,,48.669921875,,,,,,,,,,,,,,,,,,,,
1p'>,sell,7,0,240,2025/07/03 14:00,1p,False,False,,0,,2.7243643002556195,51.919921875,11.0,0.008348770901567071,8.374926205817399,7.910175791969701,12.0976388948784,0.0019393930569757058,85.72128037363358,94.36139099830845,90.00496621116933,103.07424057258666,43189872.0,,51.919921875,,,,,,,,,,,,,,,,,,,,
1p'>,sell,8,0,241,2025/07/03 14:05,1p,False,False,,0,,2.7243643002556195,52.65966796875,12.0,0.008467722749701914,7.9406646152683,8.902758868878239,12.87309117651239,0.0020628974625359143,86.03665604207359,95.79324849492127,91.93439363908664,103.51095820659054,40193380.0,,52.65966796875,,,,,,,,,,,,,,,,,,,,
1p'>,sell,9,0,242,2025/07/03 14:10,1p,False,False,,0,,2.7243643002556195,53.02001953125,13.0,0.008525667610377501,6.967360667682758,9.773678952338583,13.257359286179963,0.002123728670497044,84.17032138586902,94.63922447551563,92.8360039178963,98.2456655907543,39074643.0,,53.02001953125,,,,,,,,,,,,,,,,,,,,
