group,total_abs_coef,avg_abs_coef,n_features
macro_vix,11.022373594595313,0.6483749173291361,17
asset_daily_kline,8.890388354153483,0.5229640208325579,17
macro_dxy,7.341018619415187,0.4318246246714816,17
macro_us30y,6.687358271684591,0.3933740159814465,17
macro_nyxbt,6.57445857524414,0.38673285736730234,17
macro_us10y,6.324889922011709,0.37205234835363,17
macro_xau,5.47933314516493,0.3223137144214665,17
daily_bsp_context,3.071207004787065,0.34124522275411834,9
daily_regime,0.7479049778163342,0.24930165927211143,3
instrument_id,0.2082930378230372,0.2082930378230372,1
