date,equity,cash,pos,buy_th,sell_th,p_day,daily_action,daily_buy_level,daily_sell_level,QQQ,Return %,QQQ %
1/2/2024,100000,100000,0,1.8,1.4,0.136897654,FORCE_BUY,0.19,0.225,402.59,0.00%,0.00%
1/3/2024,100000,100000,0,0.45,-0.5,0.170295336,FORCE_BUY,0.19,0.225,398.33,0.00%,-1.06%
1/4/2024,100000,100000,0,0.35,-0.5,0.271870472,FORCE_SELL,0.19,0.225,396.28,0.00%,-1.57%
1/5/2024,100000,100000,0,0.35,-0.5,0.239533348,FORCE_SELL,0.19,0.225,396.75,0.00%,-1.45%
1/8/2024,100000,100000,0,-0.5,-0.5,0.285393469,FORCE_SELL,0.19,0.225,404.95,0.00%,0.59%
1/9/2024,100000,100000,0,-0.5,-0.5,0.244936835,FORCE_SELL,0.155,0.225,405.75,0.00%,0.78%
1/10/2024,100000,100000,0,-0.5,-0.5,0.242740465,FORCE_SELL,0.155,0.225,408.5,0.00%,1.47%
1/11/2024,100000,100000,0,0.05,-0.5,0.284825486,FORCE_SELL,0.155,0.225,409.35,0.00%,1.68%
1/12/2024,100041.9325,0,1,-0.05,-0.5,0.161038416,FREE,0.155,0.225,409.56,0.04%,1.73%
1/16/2024,99936.86236,99936.86236,0,1.3,1.5,0.176096319,FREE,0.155,0.225,409.52,-0.06%,1.72%
1/17/2024,100042.7681,0,1,-0.5,-0.5,0.149403092,FORCE_BUY,0.155,0.225,407.21,0.04%,1.15%
1/18/2024,100280.0044,100280.0044,0,1.25,1.55,0.168602198,FREE,0.155,0.225,412.99,0.28%,2.58%
1/19/2024,100280.0044,100280.0044,0,1.25,1.55,0.162673719,FORCE_BUY,0.19,0.225,421.18,0.28%,4.62%
1/22/2024,100141.1439,0,1,1.25,1.55,0.159300279,FORCE_BUY,0.19,0.225,421.73,0.14%,4.75%
1/23/2024,100644.3969,0,1,-0.5,1.55,0.13951043,FORCE_BUY,0.19,0.225,423.48,0.64%,5.19%
1/24/2024,100787.0829,0,1,-0.5,2,0.197154439,FREE,0.19,0.225,425.83,0.79%,5.77%
1/25/2024,101092.2655,0,1,1.5,1.75,0.153687502,FORCE_BUY,0.19,0.225,426.35,1.09%,5.90%
1/26/2024,101052.8202,0,1,1,1.45,0.152451886,FORCE_BUY,0.19,0.225,423.81,1.05%,5.27%
1/29/2024,101995.357,0,1,1,1.45,0.143204391,FORCE_BUY,0.145,0.225,428.15,2.00%,6.35%
1/30/2024,101563.5339,0,1,1.25,1.25,0.131219002,FORCE_BUY,0.145,0.225,425.3,1.56%,5.64%
1/31/2024,101490.8714,101490.8714,0,1.85,1.05,0.269561099,FORCE_SELL,0.145,0.24,416.97,1.49%,3.57%
2/1/2024,101775.3292,101775.3292,0,1,2.35,0.183234181,FREE,0.145,0.24,421.88,1.78%,4.79%
2/2/2024,102168.5958,0,1,0.9,2.25,0.196847616,FREE,0.19,0.24,429.01,2.17%,6.56%
2/5/2024,101953.3341,0,1,0.9,2.25,0.182334532,FORCE_BUY,0.19,0.24,428.45,1.95%,6.42%
2/6/2024,102212.0621,0,1,0.95,2.5,0.144210119,FORCE_BUY,0.19,0.24,427.59,2.21%,6.21%
2/7/2024,103027.5729,0,1,0.95,2.5,0.127589897,FORCE_BUY,0.19,0.24,431.99,3.03%,7.30%
2/8/2024,103089.6676,0,1,0.75,-0.5,0.116541782,FORCE_BUY,0.19,0.24,432.79,3.09%,7.50%
2/9/2024,103698.1959,0,1,0.8,1.8,0.134759139,FORCE_BUY,0.19,0.24,437.05,3.70%,8.56%
2/12/2024,103532.61,0,1,1.85,-0.5,0.177484704,FORCE_BUY,0.19,0.24,435.34,3.53%,8.13%
2/13/2024,103275.0772,103275.0772,0,2.2,-0.5,0.225553042,FREE,0.19,0.24,428.55,3.28%,6.45%
2/14/2024,103275.0772,103275.0772,0,1.75,2.05,0.156483365,FORCE_BUY,0.19,0.24,433.22,3.28%,7.61%
2/15/2024,103275.0772,103275.0772,0,1.75,2.05,0.14066776,FORCE_BUY,0.19,0.24,434.51,3.28%,7.93%
2/16/2024,103006.3739,0,1,1.2,-0.5,0.20284962,FREE,0.19,0.24,430.57,3.01%,6.95%
2/20/2024,102533.0427,0,1,2,1.45,0.164439937,FORCE_BUY,0.19,0.24,427.32,2.53%,6.14%
2/21/2024,103533.4457,0,1,1.8,-0.5,0.138136946,FORCE_BUY,0.19,0.24,425.61,3.53%,5.72%
2/22/2024,104864.5605,0,1,1.65,2.5,0.160781382,FORCE_BUY,0.19,0.24,438.07,4.86%,8.81%
2/23/2024,104804.619,0,1,1.35,1.85,0.15948396,FORCE_BUY,0.19,0.24,436.78,4.80%,8.49%
2/26/2024,104533.7661,0,1,1.35,1.85,0.191118643,FREE,0.19,0.24,436.55,4.53%,8.44%
2/27/2024,104732.2758,0,1,0.95,1.6,0.12763137,FORCE_BUY,0.19,0.24,437.6,4.73%,8.70%
2/28/2024,104391.2293,104391.2293,0,0.9,1.65,0.145558445,FREE,0.145,0.24,435.27,4.39%,8.12%
2/29/2024,104984.7574,104984.7574,0,0.85,2.3,0.164320687,FREE,0.145,0.24,439,4.98%,9.04%
3/1/2024,105761.4278,0,1,-0.5,2.1,0.1365339,FORCE_BUY,0.19,0.24,445.61,5.76%,10.69%
3/4/2024,105674.672,0,1,0.9,0.85,0.159501175,FORCE_BUY,0.19,0.24,444.02,5.67%,10.29%
3/5/2024,104720.359,0,1,2,-0.5,0.211871221,FREE,0.19,0.24,436.05,4.72%,8.31%
3/6/2024,105178.925,105178.925,0,1.05,1.6,0.191775985,FREE,0.19,0.24,438.79,5.18%,8.99%
3/7/2024,105983.7188,0,1,0.2,1.25,0.15892065,FORCE_BUY,0.19,0.29,445.45,5.98%,10.65%
3/8/2024,105091.1812,0,1,0.75,1.3,0.224731018,FREE,0.19,0.29,439.02,5.09%,9.05%
3/11/2024,105306.8518,0,1,1.75,1.75,0.141853112,FORCE_BUY,0.19,0.29,437.39,5.31%,8.64%
3/12/2024,106295.6135,106295.6135,0,1.35,1.85,0.171847544,FREE,0.145,0.2,443.66,6.30%,10.20%
3/13/2024,106474.7275,0,1,1.3,1.15,0.158441736,FREE,0.145,0.2,440.25,6.47%,9.35%
3/14/2024,106925.9595,0,1,-0.5,1.05,0.190961453,FREE,0.145,0.2,439.14,6.93%,9.08%
3/15/2024,106160.3318,0,1,2.45,-0.5,0.167112491,FREE,0.145,0.2,433.92,6.16%,7.78%
3/18/2024,106476.8616,106476.8616,0,2.45,-0.5,0.184689642,FREE,0.145,0.2,437.48,6.48%,8.67%
3/19/2024,106476.8616,106476.8616,0,1.55,2.3,0.14543291,FREE,0.145,0.2,438.57,6.48%,8.94%
3/20/2024,106476.8616,106476.8616,0,0.65,2.45,0.151361855,FREE,0.145,0.2,443.77,6.48%,10.23%
3/21/2024,106358.8772,0,1,0.45,1.8,0.178267411,FREE,0.145,0.2,445.87,6.36%,10.75%
3/22/2024,105931.6923,0,1,1.5,-0.5,0.167876504,FREE,0.145,0.2,446.38,5.93%,10.88%
3/25/2024,106002.8897,106002.8897,0,1.65,-0.5,0.161411239,FREE,0.14,0.2,444.76,6.00%,10.47%
3/26/2024,105567.9853,105567.9853,0,1.95,1.3,0.184755951,FREE,0.14,0.2,443.32,5.57%,10.12%
3/27/2024,105567.9853,105567.9853,0,1.8,1.65,0.132588839,FORCE_BUY,0.14,0.2,444.83,5.57%,10.49%
3/28/2024,105567.9853,105567.9853,0,1.6,1.65,0.16262298,FREE,0.14,0.2,444.01,5.57%,10.29%
4/1/2024,105567.9853,105567.9853,0,1.6,1.65,0.180375332,FREE,0.14,0.2,444.95,5.57%,10.52%
4/2/2024,105227.1816,0,1,2.3,1.3,0.138736207,FORCE_BUY,0.14,0.2,441.11,5.23%,9.57%
4/3/2024,105160.238,105160.238,0,1.35,1.65,0.16694005,FREE,0.14,0.2,442.1,5.16%,9.81%
4/4/2024,105160.238,105160.238,0,1.75,-0.5,0.324410391,FORCE_SELL,0.14,0.2,435.34,5.16%,8.13%
4/5/2024,105160.238,105160.238,0,1.7,-0.5,0.194827119,FREE,0.14,0.2,440.47,5.16%,9.41%
4/8/2024,105160.238,105160.238,0,1.5,1.7,0.15967988,FREE,0.14,0.2,440.6,5.16%,9.44%
4/9/2024,104651.6302,104651.6302,0,1.55,1.85,0.18040439,FREE,0.145,0.2,442.23,4.65%,9.85%
4/10/2024,104907.1473,0,1,1.9,-0.5,0.178880224,FORCE_BUY,0.19,0.29,438.37,4.91%,8.89%
4/11/2024,105937.3923,0,1,2.25,-0.5,0.189279675,FORCE_BUY,0.19,0.29,445.37,5.94%,10.63%
4/12/2024,105475.0678,105475.0678,0,2.15,-0.5,0.222522434,FREE,0.19,0.29,438.27,5.48%,8.86%
4/15/2024,105475.0678,105475.0678,0,2.5,-0.5,0.269541709,FORCE_SELL,0.19,0.215,431.06,5.48%,7.07%
4/16/2024,105475.0678,105475.0678,0,2.5,-0.5,0.169780435,FORCE_BUY,0.19,0.215,431.1,5.48%,7.08%
4/17/2024,105475.0678,105475.0678,0,1.9,-0.5,0.199463853,FREE,0.19,0.215,425.84,5.48%,5.78%
4/18/2024,105475.0678,105475.0678,0,1.55,-0.5,0.192776626,FREE,0.19,0.215,423.41,5.48%,5.17%
4/19/2024,104900.4278,0,1,1.55,-0.5,0.183930318,FORCE_BUY,0.19,0.215,414.65,4.90%,3.00%
4/22/2024,105884.3133,0,1,0.55,-0.5,0.165388547,FORCE_BUY,0.19,0.215,418.82,5.88%,4.03%
4/23/2024,107385.5868,0,1,0.55,2.25,0.142471203,FORCE_BUY,0.19,0.215,425.07,7.39%,5.58%
4/24/2024,106541.6505,0,1,1.15,1.65,0.151095496,FORCE_BUY,0.19,0.215,426.51,6.54%,5.94%
4/25/2024,107562.7234,107562.7234,0,0.75,2.4,0.145899363,FREE,0.145,0.18,424.45,7.56%,5.43%
4/26/2024,107713.1561,0,1,-0.5,-0.5,0.145897902,FREE,0.145,0.18,431,7.71%,7.06%
4/29/2024,107979.9702,0,1,0.65,1.35,0.124602607,FORCE_BUY,0.19,0.215,432.75,7.98%,7.49%
4/30/2024,107973.6163,107973.6163,0,1.45,-0.5,0.232819931,FORCE_SELL,0.19,0.215,424.59,7.97%,5.46%
5/1/2024,107973.6163,107973.6163,0,1.85,-0.5,0.241938755,FORCE_SELL,0.19,0.215,421.52,7.97%,4.70%
5/2/2024,107973.6163,107973.6163,0,0.55,2.3,0.16433468,FORCE_BUY,0.19,0.215,426.9,7.97%,6.04%
5/3/2024,109220.7695,0,1,1.1,2.45,0.141481666,FORCE_BUY,0.19,0.215,435.48,9.22%,8.17%
5/6/2024,110101.2383,0,1,-0.5,2,0.121355596,FORCE_BUY,0.19,0.215,440.25,10.10%,9.35%
5/7/2024,110286.7123,0,1,-0.5,2,0.145051306,FORCE_BUY,0.19,0.215,440.32,10.29%,9.37%
5/8/2024,110216.3601,0,1,0.3,1.65,0.138416004,FORCE_BUY,0.19,0.215,440.06,10.22%,9.31%
5/9/2024,110977.4433,0,1,1.1,2.1,0.118763184,FORCE_BUY,0.19,0.215,441.02,10.98%,9.55%
5/10/2024,110841.0026,0,1,0.45,2,0.147481835,FORCE_BUY,0.19,0.215,442.06,10.84%,9.80%
5/13/2024,111026.4767,0,1,0.45,2,0.153716928,FORCE_BUY,0.19,0.215,443.08,11.03%,10.06%
5/14/2024,111625.5366,0,1,1.15,1.15,0.12818799,FORCE_BUY,0.145,0.18,445.93,11.63%,10.77%
5/15/2024,113028.3174,0,1,1.15,1.15,0.139861107,FORCE_BUY,0.145,0.18,452.9,13.03%,12.50%
5/16/2024,112993.9804,112993.9804,0,-0.5,0.95,0.175219666,FREE,0.145,0.18,451.98,12.99%,12.27%
5/17/2024,113297.7622,0,1,1.35,0.75,0.125785638,FORCE_BUY,0.145,0.18,451.76,13.30%,12.21%
5/20/2024,113400.449,113400.449,0,-0.5,1.05,0.151541361,FREE,0.145,0.18,454.91,13.40%,13.00%
5/21/2024,113727.8929,0,1,1,0.7,0.136188846,FORCE_BUY,0.145,0.18,455.8,13.73%,13.22%
5/22/2024,113634.7966,113634.7966,0,1.25,1.65,0.17702078,FREE,0.145,0.18,455.71,13.63%,13.19%
5/23/2024,113634.7966,113634.7966,0,1.2,1.1,0.299671138,FORCE_SELL,0.145,0.18,453.66,13.63%,12.69%
5/24/2024,113800.2259,0,1,2,1.7,0.154206915,FREE,0.145,0.18,457.95,13.80%,13.75%
5/28/2024,113776.5793,0,1,1.1,1,0.153736942,FORCE_BUY,0.19,0.215,459.68,13.78%,14.18%
5/29/2024,113148.6819,0,1,0.95,-0.5,0.157131049,FREE,0.145,0.18,456.44,13.15%,13.38%
5/30/2024,113137.8878,113137.8878,0,1.2,1.05,0.219889602,FORCE_SELL,0.145,0.18,451.55,13.14%,12.16%
5/31/2024,113137.8878,113137.8878,0,0.75,1.3,0.243511187,FORCE_SELL,0.145,0.18,450.71,13.14%,11.95%
6/3/2024,113137.8878,113137.8878,0,0.75,1.3,0.247043116,FORCE_SELL,0.145,0.18,453.13,13.14%,12.55%
6/4/2024,113137.8878,113137.8878,0,0.85,1.8,0.206487518,FORCE_SELL,0.145,0.18,454.37,13.14%,12.86%
6/5/2024,113137.8878,113137.8878,0,0.55,2.1,0.219375829,FREE,0.145,0.22,463.53,13.14%,15.14%
6/6/2024,113237.4623,0,1,0.95,1.25,0.189542354,FORCE_BUY,0.19,0.22,463.37,13.24%,15.10%
6/7/2024,113332.7997,113332.7997,0,-0.5,1.05,0.23986857,FORCE_SELL,0.19,0.22,462.96,13.33%,15.00%
6/10/2024,113815.1574,0,1,-0.5,0.7,0.180200775,FORCE_BUY,0.19,0.22,464.83,13.82%,15.46%
6/11/2024,114118.0857,114118.0857,0,-0.5,1.3,0.19246106,FREE,0.19,0.22,468.02,14.12%,16.25%
6/12/2024,114118.0857,114118.0857,0,1.6,2.4,0.144696514,FORCE_BUY,0.145,0.22,474.15,14.12%,17.77%
6/13/2024,114366.8468,0,1,0.55,1.4,0.131867118,FORCE_BUY,0.145,0.22,476.72,14.37%,18.41%
6/14/2024,114440.6319,0,1,0.65,1.55,0.118315982,FORCE_BUY,0.145,0.22,479.19,14.44%,19.03%
