date,train_start,train_end,strategy_return,signals,trades,win_rate,buy_threshold,sell_threshold,buy_hold_cum_return,strategy_cum_return
2022-02-17,2022-01-04,2022-02-15,0.0,35,0,0.0,2.0,1.75,-8.263387611213702,0.0
2022-02-18,2022-01-05,2022-02-16,-0.025203922646876986,14,1,0.0,2.0,1.875,-9.304179956353863,-0.025203922646880983
2022-02-23,2022-01-07,2022-02-18,-2.3997502418580896,55,2,0.0,3.0,-0.5,-12.109702870572436,-2.424349333310289
2022-02-24,2022-01-10,2022-02-22,3.639461057133264,20,3,66.66666666666666,3.0,-0.5,-10.62825247607856,1.1268784739482811
2022-02-25,2022-01-11,2022-02-23,3.3440160312207645,56,2,100.0,-0.5,3.0,-8.154272284707066,4.508577501990246
2022-02-28,2022-01-12,2022-02-24,1.2734363306096341,39,3,66.66666666666666,1.75,3.0,-8.387191539365457,5.839427696503918
2022-03-01,2022-01-13,2022-02-25,0.2215299411560956,40,2,50.0,2.125,-0.5,-9.434278999496382,6.07389371839993
2022-03-02,2022-01-14,2022-02-28,0.0,26,0,0.0,1.875,2.0,-8.24240389457781,6.07389371839993
2022-03-03,2022-01-18,2022-03-01,-1.3086421567186868,49,2,50.0,-0.5,2.75,-9.935789827094176,4.6857660279279685
2022-03-04,2022-01-19,2022-03-02,0.0,39,0,0.0,2.625,1.375,-9.501426892731246,4.6857660279279685
2022-03-07,2022-01-20,2022-03-03,0.7515251368502174,46,4,50.0,1.875,1.75,-12.069833808964237,5.472505874332057
2022-03-08,2022-01-21,2022-03-04,0.18617144565462596,62,2,50.0,2.875,-0.5,-12.403474903474908,5.668865563286445
2022-03-09,2022-01-24,2022-03-07,1.1350737797956922,41,1,100.0,1.625,3.0,-10.349169044821217,6.868285149702885
2022-03-10,2022-01-25,2022-03-08,0.0,40,0,0.0,1.875,2.625,-10.808712439147216,6.868285149702885
2022-03-11,2022-01-26,2022-03-09,-0.07611798287345817,24,1,0.0,1.5,2.875,-11.878881987577639,6.78693916671547
2022-03-14,2022-01-27,2022-03-10,-0.19268281972243395,62,6,33.33333333333333,1.625,-0.5,-12.311146550276986,6.5811790812337705
2022-03-15,2022-01-28,2022-03-11,2.5709467598169056,35,1,100.0,2.875,1.875,-10.735269430921612,9.321324451397402
2022-03-16,2022-01-31,2022-03-14,0.0,41,0,0.0,3.0,2.25,-8.458536175927478,9.321324451397402
2022-03-17,2022-02-01,2022-03-15,1.3191941595046774,50,1,100.0,1.375,3.0,-7.984304179956359,10.76348497865338
2022-03-18,2022-02-02,2022-03-16,1.917137562627258,41,1,100.0,0.625,2.125,-6.519640758771194,12.886973354854135
2022-03-21,2022-02-03,2022-03-17,0.29817256651303303,41,2,100.0,1.25,1.5,-6.895249286553639,13.2235713405652
2022-03-22,2022-02-04,2022-03-18,0.21864750898017427,39,1,100.0,1.5,2.375,-5.556488165183826,13.471131858879744
2022-03-23,2022-02-07,2022-03-21,0.0,38,0,0.0,1.875,2.125,-6.760953500083944,13.471131858879744
2022-03-24,2022-02-08,2022-03-22,0.6091928753932718,43,3,66.66666666666666,-0.5,1.375,-5.5250125902299825,14.162389909792125
2022-03-25,2022-02-09,2022-03-23,0.0,28,0,0.0,1.125,2.75,-4.9647473560517135,14.162389909792125
2022-03-28,2022-02-10,2022-03-24,0.050784304810691516,44,3,66.66666666666666,-0.5,2.75,-4.354121201947292,14.220366485863096
2022-03-29,2022-02-11,2022-03-25,0.0,45,0,0.0,1.375,2.75,-3.24408259190867,14.220366485863096
2022-03-30,2022-02-14,2022-03-28,-0.6679140196675593,38,1,0.0,1.75,0.75,-3.709921101225455,13.45747264478834
