entry_time,entry_price,direction,exit_time,exit_price,pnl,return_pct,test_date
2022-02-18 08:30:00,436.44,buy,2022-02-18 15:00:00,436.33,-25.20392264687689,-0.02520392264687689,2022-02-18
2022-02-23 10:05:00,429.76,buy,2022-02-23 11:50:00,428.6299,-262.9607222635823,-0.2629607222635823,2022-02-23
2022-02-23 12:55:00,428.02,buy,2022-02-23 19:55:00,418.85,-2136.789519594502,-2.142423251249932,2022-02-23
2022-02-24 04:00:00,414.51,buy,2022-02-24 15:50:00,428.51,3377.48184603508,3.3774818460350797,2022-02-24
2022-02-24 18:20:00,426.17,buy,2022-02-24 19:25:00,427.25,261.97921109819436,0.25341999671492504,2022-02-24
2022-02-24 19:50:00,425.9,buy,2022-02-24 19:50:00,425.9,0.0,0.0,2022-02-24
2022-02-25 04:00:00,423.31,buy,2022-02-25 07:55:00,429.17,1384.3282700621348,1.3843282700621347,2022-02-25
2022-02-25 09:10:00,429.4,buy,2022-02-25 19:55:00,437.7,1959.6877611586242,1.9329296693060025,2022-02-25
2022-02-28 08:00:00,432.14,buy,2022-02-28 13:10:00,435.0,661.8225575045071,0.6618225575045071,2022-02-28
2022-02-28 14:05:00,431.21,buy,2022-02-28 15:20:00,433.83,611.6137731051276,0.6075925882980456,2022-02-28
2022-02-28 19:45:00,436.0,buy,2022-02-28 19:45:00,436.0,0.0,0.0,2022-02-28
2022-03-01 05:05:00,433.35,buy,2022-03-01 06:30:00,434.31,221.52994115609908,0.2215299411560991,2022-03-01
2022-03-01 15:50:00,429.27,buy,2022-03-01 15:50:00,429.27,0.0,0.0,2022-03-01
2022-03-03 05:15:00,436.8,buy,2022-03-03 08:40:00,439.4,595.2380952380918,0.5952380952380918,2022-03-03
2022-03-03 10:20:00,437.49,buy,2022-03-03 19:55:00,429.21,-1903.8802519567835,-1.8926146883357375,2022-03-03
2022-03-07 04:35:00,425.42,buy,2022-03-07 05:15:00,426.23,190.40007521977532,0.1904000752197753,2022-03-07
2022-03-07 06:00:00,424.73,buy,2022-03-07 09:20:00,432.01,1717.293604284132,1.714030089704046,2022-03-07
2022-03-07 11:55:00,424.17,buy,2022-03-07 12:50:00,423.19,-235.44696656038286,-0.23103944173327604,2022-03-07
2022-03-07 14:40:00,421.83,buy,2022-03-07 18:30:00,418.01,-920.7215760933177,-0.9055780764763054,2022-03-07
2022-03-08 14:00:00,418.6,buy,2022-03-08 14:25:00,420.83,532.728141423795,0.532728141423795,2022-03-08
2022-03-08 15:30:00,417.73,buy,2022-03-08 18:30:00,416.29,-346.5566957691626,-0.3447202738611113,2022-03-08
2022-03-09 06:45:00,422.88,buy,2022-03-09 14:35:00,427.68,1135.0737797956826,1.1350737797956827,2022-03-09
2022-03-11 15:50:00,420.4,buy,2022-03-11 15:55:00,420.08,-76.11798287346028,-0.07611798287346028,2022-03-11
2022-03-14 04:30:00,422.07,buy,2022-03-14 05:00:00,423.2,267.7281019735965,0.26772810197359653,2022-03-14
2022-03-14 06:45:00,423.46,buy,2022-03-14 08:55:00,422.2699,-281.7943211027159,-0.2810418929768982,2022-03-14
2022-03-14 09:35:00,419.74,buy,2022-03-14 10:10:00,422.95,764.6515639123973,0.7647591366083626,2022-03-14
2022-03-14 11:35:00,421.655,buy,2022-03-14 12:40:00,419.49,-517.3068439161289,-0.513452941385729,2022-03-14
2022-03-14 12:45:00,418.9002,buy,2022-03-14 14:55:00,417.12,-425.96132058958756,-0.42496995704465795,2022-03-14
2022-03-14 19:10:00,417.94,buy,2022-03-14 19:10:00,417.94,0.0,0.0,2022-03-14
2022-03-15 04:20:00,415.1,buy,2022-03-15 15:25:00,425.772,2570.946759816914,2.570946759816914,2022-03-15
2022-03-17 06:05:00,432.84,buy,2022-03-17 19:30:00,438.55,1319.1941595046665,1.3191941595046666,2022-03-17
2022-03-18 04:30:00,437.11,buy,2022-03-18 19:55:00,445.49,1917.1375626272493,1.9171375626272493,2022-03-18
2022-03-21 05:05:00,443.65,buy,2022-03-21 10:50:00,444.51,193.84650061985303,0.19384650061985303,2022-03-21
2022-03-21 13:00:00,441.78,buy,2022-03-21 14:00:00,442.24,104.32606589318311,0.10412422472725177,2022-03-21
2022-03-22 12:30:00,448.21,buy,2022-03-22 15:50:00,449.19,218.6475089801679,0.21864750898016794,2022-03-22
2022-03-24 05:55:00,446.4,buy,2022-03-24 12:55:00,447.7502,302.46415770609747,0.30246415770609747,2022-03-24
2022-03-24 14:45:00,447.64,buy,2022-03-24 15:15:00,449.0089,306.72871768717596,0.30580377088732813,2022-03-24
2022-03-24 19:10:00,450.04,buy,2022-03-24 19:10:00,450.04,0.0,0.0,2022-03-24
2022-03-28 04:05:00,451.43,buy,2022-03-28 04:40:00,452.11,150.63243470749876,0.15063243470749876,2022-03-28
2022-03-28 05:20:00,452.04,buy,2022-03-28 06:15:00,452.68,141.79365710602724,0.14158039111582107,2022-03-28
2022-03-28 11:25:00,452.4,buy,2022-03-28 12:40:00,451.31,-241.64178700282355,-0.24093722369584575,2022-03-28
2022-03-30 04:50:00,459.64,buy,2022-03-30 15:20:00,456.57,-667.914019667558,-0.667914019667558,2022-03-30
